#geography multi word dictionary extracted from Bharatvani site by Prashant. Formatted by Roja (03-10-2019)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head
#	   5) Removed information present in  ( ) Ex:Advective thunder storm aBivahanI wadZIw JaMJA (aBivAhI wadZiw JaMJA)
			to advective_thunder_storm	aBivahanI_wadZIw_JaMJA
#################################################################################
accumulated_rainfall	saMciwa_varRA#saMciwa_varRA#noun#2#RM
accumulated_temperature	saMciwa_wApa#saMciwa_wApa#noun#2#RM
accumulation_mountain	saMcayana_parvawa#saMcayana_parvawa#noun#2#RM
accumulation_slope	saMcayana_DAla#saMcayana_DAla#noun#2#RM
accumulation_zone	saMcayana_kRewra#saMcayana_kRewra#noun#2#RM
achaean_cofederacy	EkiyA_rAjyasaMGa#EkiyA_rAjyasaMGa#noun#2#RM
achemenian_monarch	EkeminidI_vaMSaja_rAjA#EkeminidI_vaMSaja_rAjA#noun#2#RM
acheulilan_(_=acheulean_)	aSUlI/uwwara-purApARANI#aSUlI/uwwara-purApARANI#noun#3#RM
acid_deposit	amla_nikRepa#amla_nikRepa#noun#2#RM
acid_humus	amla_hyayUmasa#amla_hyayUmasa#noun#2#RM
acid_lava	amla_lAvA#amla_lAvA#noun#2#RM
acid_rain	amla_varRA#amla_varRA#noun#2#RM
acidoid_type	amlABa_prarUpa#amlABa_prarUpa#noun#2#RM
acidum_boricum	borika_amla#borika_amla#noun#2#RM
acoustic_sounding	XvAnika_parijFApana#XvAnika_parijFApana#noun#2#RM
acoustic_wave	Xvani_waraMga#Xvani_waraMga#noun#2#RM
acquittance_roll	BugawAna_citTA/vewana_citTA#BugawAna_citTA/vewana_citTA#noun#2#RM
acre_foot	ekadZa_Puta#ekadZa_Puta#noun#2#RM
acropolils_site	Ekropolisa_sWAna#Ekropolisa_sWAna#noun#2#RM
acryl_aldehyde	Ekrila-EldihAida#Ekrila-EldihAida#noun#2#RM
actic_region	Ektika_praxeSa#Ektika_praxeSa#noun#2#RM
action_space	kriyA_kRewra#kriyA_kRewra#noun#2#RM
active_acidity	sakriya_amlawA#sakriya_amlawA#noun#2#RM
active_centre	sakriya_kenxra#sakriya_kenxra#noun#2#RM
active_distributary	sakriya_jalaviwarikA#sakriya_jalaviwarikA#noun#2#RM
active_dune	sakriya_tibbA#sakriya_tibbA#noun#2#RM
active_fault	sakriya_BraMSa#sakriya_BraMSa#noun#2#RM
active_ice	sakriya_hima#sakriya_hima#noun#2#RM
active_population	arjaka_jana-saMKyA#arjaka_jana-saMKyA#noun#2#RM
active_remote-sensing_system	sakriya_xUra-saMvexana_prANAlI#sakriya_xUra-saMvexana_prANAlI#noun#3#RM
active_state	sakriya_rAjya#sakriya_rAjya#noun#2#RM
active_volcano	sakriya_jvAlAmuKI#sakriya_jvAlAmuKI#noun#2#RM
activity_allocation_model	sakriyawA_niyawana_moYdala/sakriyawA_niyawana_nixarSa#sakriyawA_niyawana_moYdala/sakriyawA_niyawana_nixarSa#noun#3#RM
activity_centre	kriyA_keMxra/kArya_keMxra#kriyA_keMxra/kArya_keMxra#noun#2#RM
activity_space	sakriyawA_kRewra#sakriyawA_kRewra#noun#2#RM
actual_evapotranspiration	vAswavika_vARpana-vARpowsarjana#vAswavika_vARpana-vARpowsarjana#noun#2#RM
actual_isotherm	vAswavika_samawApa_reKA#vAswavika_samawApa_reKA#noun#2#RM
actuation_energy	pravarwana_UrjA#pravarwana_UrjA#noun#2#RM
added_entry	iwara_praviRti#iwara_praviRti#noun#2#RM
adiabatic_atmosphere	ruxXoRma_vAyumaMdala#ruxXoRma_vAyumaMdala#noun#2#RM
adiabatic_change	rUxXoRma_parivarwana#rUxXoRma_parivarwana#noun#2#RM
adiabatic_chart	ruxXoRma_saMciwra#ruxXoRma_saMciwra#noun#2#RM
adiabatic_cooling	ruxXoRma_SIwalana#ruxXoRma_SIwalana#noun#2#RM
adiabatic_drift	rUxXoRma_visWApana#rUxXoRma_visWApana#noun#2#RM
adiabatic_effect	rUxxoRma_praBAva#rUxxoRma_praBAva#noun#2#RM
adiabatic_equilibrium	ruxXoRma_sAmyAvasWA#ruxXoRma_sAmyAvasWA#noun#2#RM
adiabatic_lapse_rate	ruxXoRma_hrAsa_xara#ruxXoRma_hrAsa_xara#noun#3#RM
adiabatic_process	ruxXoRma_prakriyA#ruxXoRma_prakriyA#noun#2#RM
adiabatic_temperature_gradient	rUxXoRma_wApa_pravaNawA#rUxXoRma_wApa_pravaNawA#noun#3#RM
adiabatic_warming	ruxXoRma_uRNana#ruxXoRma_uRNana#noun#2#RM
adjacent_country	Asanna_xeSa#Asanna_xeSa#noun#2#RM
adjacent_extreme_point	Asanna_carama_binxu#Asanna_carama_binxu#noun#3#RM
adjacent_station	saMlagna_cAzxA/nikatavarwI_steSana#saMlagna_cAzxA/nikatavarwI_steSana#noun#2#RM
adjacent_stream	saMlagna_sariwA#saMlagna_sariwA#noun#2#RM
adjoining_sheet	saMlagna_SIta#saMlagna_SIta#noun#2#RM
adjustable_cross-staff	samAyojya_guniyA#samAyojya_guniyA#noun#2#RM
adjusted_stream	samAyojiwa_XArA#samAyojiwa_XArA#noun#2#RM
adjustment_of_edge	kinArA-samAyojana#kinArA-samAyojana#noun#3#RM
adjustment_of_instrument	yaMwra_samAyojana#yaMwra_samAyojana#noun#3#RM
administered_territory	praSAsiwa_BUBAga#praSAsiwa_BUBAga#noun#2#RM
administrative_area	praSAsana_kRewra#praSAsana_kRewra#noun#2#RM
administrative_boundary	praSAsana_sImA#praSAsana_sImA#noun#2#RM
administrative_centre	praSAsI_kenxra#praSAsI_kenxra#noun#2#RM
administrative_connection	praSAsanika_saMbaMXa#praSAsanika_saMbaMXa#noun#2#RM
administrative_index	praSAsanika_anukramaNika#praSAsanika_anukramaNika#noun#2#RM
administrative_set-up	praSAsanika_vyavasWA#praSAsanika_vyavasWA#noun#2#RM
adobe_flat	Edoba_mExAna#Edoba_mExAna#noun#2#RM
adobe_hut	Edoba_kutI#Edoba_kutI#noun#2#RM
adobe_soil	Edoba_mqxA#Edoba_mqxA#noun#2#RM
adolescent_stage	pAkapUrvAvasWA#pAkapUrvAvasWA#noun#2#RM
adsorbed_water	aXiSoRiwa_jala#aXiSoRiwa_jala#noun#2#RM
adult_town	prODZa_nagara#prODZa_nagara#noun#2#RM
advancing_coast	agragAmI_wata#agragAmI_wata#noun#2#RM
advection_fog	aBivahana_kuharA#aBivahana_kuharA#noun#2#RM
advection_frost	aBivahana_wuRAra#aBivahana_wuRAra#noun#2#RM
advective_process	aBivAhI_prakrama#aBivAhI_prakrama#noun#2#RM
advective_region	aBivAhI_vAyumaMdala#aBivAhI_vAyumaMdala#noun#2#RM
advective_thunder_storm	aBivahanI_wadZIw_JaMJA#aBivahanI_wadZIw_JaMJA#noun#3#RM
adventitious_rural_population	AMgawuka_grAmINa_janasaMKyA#AMgawuka_grAmINa_janasaMKyA#noun#3#RM
adventive_cone	apasWAnika_SaMku#apasWAnika_SaMku#noun#2#RM
adventive_crater	apasWAnika_kretara#apasWAnika_kretara#noun#2#RM
adventive_species	Aganwuka_jAwi#Aganwuka_jAwi#noun#2#RM
advisory_forecast	parAmArSikA_pUrvAnumAna/parAmarSI_pUrvAnumAna#parAmArSikA_pUrvAnumAna/parAmarSI_pUrvAnumAna#noun#2#RM
