#space multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head
#################################################################################
a._c._conductivity	e.sI._cAlakawA#e.sI._cAlakawA#noun#3#RM
conditional_statement	saSarwa_prakaWana#saSarwa_prakaWana#noun#2#RM
conduction_loss	cAlana_kRawi#cAlana_kRawi#noun#2#RM
conduction_of_heat	URmA_cAlana#URmA_cAlana#noun#3#RM
conductor_attenuation	cAlaka_kRINana#cAlaka_kRINana#noun#2#RM
conformal_coating	anurUpiwa_vilepana#anurUpiwa_vilepana#noun#2#RM
conformal_mapping	anurUpiwa_mAnaciwraNa#anurUpiwa_mAnaciwraNa#noun#2#RM
congruent_transformation	saMgawa_rUpAMwaraNa#saMgawa_rUpAMwaraNa#noun#2#RM
conical_horn	SaMku-SqMga/SaMku-hArna#SaMku-SqMga/SaMku-hArna#noun#2#RM
conical_input_section	SaMkurUpa_niveSa_piMda/SaMkurUpa_inaputa_sekSana/SaMKarUpa_niveSa_piMda#SaMkurUpa_niveSa_piMda/SaMkurUpa_inaputa_sekSana/SaMKarUpa_niveSa_piMda#noun#3#RM
conical_nozzle	SaMkurUpa_wuMda/SaMKarUpa_wuMda#SaMkurUpa_wuMda/SaMKarUpa_wuMda#noun#2#RM
conical_scanning	SaMku_kramavIkRaNa/SaMKa_kramavIkRaNa#SaMku_kramavIkRaNa/SaMKa_kramavIkRaNa#noun#2#RM
conical_section	SaMku_kAta/SaMKa_kAta#SaMku_kAta/SaMKa_kAta#noun#2#RM
conical_shell	SaMkurUpa_kavaca/SaMKarUpa_kavaca#SaMkurUpa_kavaca/SaMKarUpa_kavaca#noun#2#RM
conservation_of_energy	UrjA-saMrakRaNa#UrjA-saMrakRaNa#noun#3#RM
conservative_design	rUDZa_aBikalpa#rUDZa_aBikalpa#noun#2#RM
conservative_field	saMrakRI_kRewra#saMrakRI_kRewra#noun#2#RM
conservative_force	saMrakRI_bala#saMrakRI_bala#noun#2#RM
constant_luminance_system	aparivarwI_jyowirmayawA_waMwra#aparivarwI_jyowirmayawA_waMwra#noun#3#RM
constitutive_equation	saMGataka_samIkaraNa#saMGataka_samIkaraNa#noun#2#RM
constrained_lens	vyavaruxXa_lensa#vyavaruxXa_lensa#noun#2#RM
constraint_length	vyavaroXa_xErGya/vyavaroXa_laMbAI#vyavaroXa_xErGya/vyavaroXa_laMbAI#noun#2#RM
construction_material	nirmANa_sAmagrI#nirmANa_sAmagrI#noun#2#RM
contact_angle	sparSa_koNa#sparSa_koNa#noun#2#RM
contact_area	sparSa_kRewra#sparSa_kRewra#noun#2#RM
contact_coil	saMparka_kuMdalI#saMparka_kuMdalI#noun#2#RM
contact_loss	sparSa_hAni#sparSa_hAni#noun#2#RM
contact_microphone	saMparka_mAikroPZona#saMparka_mAikroPZona#noun#2#RM
contact_print	kAntekta_printa#kAntekta_printa#noun#2#RM
contaminating_particle	saMxURiwa_kaNa#saMxURiwa_kaNa#noun#2#RM
contextual_dependency	saMxarBiwa_aASriwawA#saMxarBiwa_aASriwawA#noun#2#RM
continuation_card	sAwawya_kArda#sAwawya_kArda#noun#2#RM
continuity_equation	sAwawya_samIkaraNa#sAwawya_samIkaraNa#noun#2#RM
continuous_array	sawawa_AvyUha#sawawa_AvyUha#noun#2#RM
continuous_phase_frequency_shift_keying_(_cpfsk_)	sawawa_kalA_Avqwwi_SiPta_kIiMga_(sIpIePaesake)#sawawa_kalA_Avqwwi_SiPta_kIiMga_(sIpIePaesake)#noun#7#RM
continuous_structure_continuous_wave	sawawa_saMracanA_sawawa_waraMga#sawawa_saMracanA_sawawa_waraMga#noun#4#RM
continuously_variable_slope_delta_(_cvsd_)	sawawa_cara_slopa_deltA_(sIvIesadI)#sawawa_cara_slopa_deltA_(sIvIesadI)#noun#6#RM
contour_line	kantUra_reKA#kantUra_reKA#noun#2#RM
contour_map	kantUra_mAnaciwra#kantUra_mAnaciwra#noun#2#RM
contour_nozzle	kantUra_wuMda/kantUra_noYjZala#kantUra_wuMda/kantUra_noYjZala#noun#2#RM
contour_surface	paripqRTa#paripqRTa#noun#2#RM
contour_survey	kantUra_sarvekRaNa#kantUra_sarvekRaNa#noun#2#RM
contouring_effect	kantUriMga_praBAva#kantUriMga_praBAva#noun#2#RM
contraction_coefficient_of_discharge	visarjana_guNAMka#visarjana_guNAMka#noun#4#RM
contrast_control	viparyAsa_niyaMwraNa#viparyAsa_niyaMwraNa#noun#2#RM
contrast_enhancement	viparyAsa_saMvarXana#viparyAsa_saMvarXana#noun#2#RM
contrast_stretching	kantrAsta_streciMga/viparyAsa_wanana#kantrAsta_streciMga/viparyAsa_wanana#noun#2#RM
control_and_guidance	niyaMwraNa_evaM_nirxeSana#niyaMwraNa_evaM_nirxeSana#noun#3#RM
control_centre	niyaMwraNa_keMxra#niyaMwraNa_keMxra#noun#2#RM
control_data_card	kantrola_detA_kArda#kantrola_detA_kArda#noun#3#RM
control_electronics	niyaMwraNa_ilektroYnikI#niyaMwraNa_ilektroYnikI#noun#2#RM
control_grid	niyaMwraka_grida#niyaMwraka_grida#noun#2#RM
control_panel_operator	niyaMwraka_pEnala_pracAlaka#niyaMwraka_pEnala_pracAlaka#noun#3#RM
control_plant_interface	niyaMwraNa_saMyaMwra_aMwarApqRTa#niyaMwraNa_saMyaMwra_aMwarApqRTa#noun#3#RM
control_point	niyaMwraNa_sWala#niyaMwraNa_sWala#noun#2#RM
control_power_plant	niyaMwraNa_Sakwi_saMyaMwra#niyaMwraNa_Sakwi_saMyaMwra#noun#3#RM
control_rocket	niyaMwraNa_rAketa#niyaMwraNa_rAketa#noun#2#RM
control_room	niyaMwraNa_kakRa#niyaMwraNa_kakRa#noun#2#RM
control_section	niyaMwraNa_anuBAga#niyaMwraNa_anuBAga#noun#2#RM
control_signal	niyaMwraNa_signala#niyaMwraNa_signala#noun#2#RM
control_statement	niyaMwraNa_kaWana#niyaMwraNa_kaWana#noun#2#RM
control_strip	niyaMwraNa_pattikA#niyaMwraNa_pattikA#noun#2#RM
control_system	niyaMwraNa_praNAlI#niyaMwraNa_praNAlI#noun#2#RM
control_track	niyaMwraNa_paWa#niyaMwraNa_paWa#noun#2#RM
control_track_pulse	niyaMwraNa_paWa_spaMxa#niyaMwraNa_paWa_spaMxa#noun#3#RM
control_unit	niyaMwraNa_ikAI#niyaMwraNa_ikAI#noun#2#RM
controlled_rectifier_)	xiRtakArI_(esa.sI.Ara.)#xiRtakArI_(esa.sI.Ara.)#noun#2#RM
controller_frequency_response	niyaMwraka_Avqwwi_anukriyA#niyaMwraka_Avqwwi_anukriyA#noun#3#RM
convection_coefficient	saMvahana_guNAMka#saMvahana_guNAMka#noun#2#RM
convection_flow	saMvahana_pravAha#saMvahana_pravAha#noun#2#RM
convection_heat_transfer	saMvahana_URmA_aMwaraNa#saMvahana_URmA_aMwaraNa#noun#3#RM
convective_cloud	saMvahanI_meGa#saMvahanI_meGa#noun#2#RM
conventional_analysis	paramparAgawa_viSleRaNa#paramparAgawa_viSleRaNa#noun#2#RM
convergence_angle	aBisaraNa_koNa#aBisaraNa_koNa#noun#2#RM
convergence_magnet	aBisaraNa_cuMbaka#aBisaraNa_cuMbaka#noun#2#RM
convergent-divergent_nozzle	aBisArI-apasArI_noYjZala#aBisArI-apasArI_noYjZala#noun#2#RM
convergent_half-angle	aBisArI_koNArXa#aBisArI_koNArXa#noun#2#RM
convergent_photography	aBisaraNa_PZotogrAPZI#aBisaraNa_PZotogrAPZI#noun#2#RM
convergent_section	aBisArI_KaMda#aBisArI_KaMda#noun#2#RM
conversion_efficiency	rUpAMwaraNa_xakRawA#rUpAMwaraNa_xakRawA#noun#2#RM
conversion_gain	rUpAMwaraNa_labXi#rUpAMwaraNa_labXi#noun#2#RM
conversion_point	pariNamana_biMxu#pariNamana_biMxu#noun#2#RM
convolution_code	saMvalana_koda#saMvalana_koda#noun#2#RM
cook_bellow	kuka_XOMkanI#kuka_XOMkanI#noun#2#RM
coolant_flow	SIlawara_pravAha#SIlawara_pravAha#noun#2#RM
cooling_agent	SIwalakArI#SIwalakArI#noun#2#RM
cooling_coil	SIwalaka_kuMdalI#SIwalaka_kuMdalI#noun#2#RM
cooling_rate	SIwalana_xara#SIwalana_xara#noun#2#RM
cooling_system	SIwalana_waMwra#SIwalana_waMwra#noun#2#RM
coordinate_conversion	nirxeSAMka_rUpAMwaraNa#nirxeSAMka_rUpAMwaraNa#noun#2#RM
copernican_system	koYparnikana_paxXawi/koYparnikana_praNAlI#koYparnikana_paxXawi/koYparnikana_praNAlI#noun#2#RM
copying_machine	prawilipi_maSIna/koYpIiMga_maSIna#prawilipi_maSIna/koYpIiMga_maSIna#noun#2#RM
core_density	kora_Ganawva#kora_Ganawva#noun#2#RM
core_line	kora_lAina#kora_lAina#noun#2#RM
core_matrix	kora_mEtriksa/kroda_AvyUha#kora_mEtriksa/kroda_AvyUha#noun#2#RM
core_memory	kora_memorI#kora_memorI#noun#2#RM
core_sampling	kora_prawicayana#kora_prawicayana#noun#2#RM
coriolis_force	koriyoYlisa_bala#koriyoYlisa_bala#noun#2#RM
corner_reflector	konA_parAvarwaka#konA_parAvarwaka#noun#2#RM
cornus_spiral	kArnU_sarpila#kArnU_sarpila#noun#2#RM
corona_discharge	kirIta_visarjana#kirIta_visarjana#noun#2#RM
coronal_hole	praBAmaMdalIya_Cixra#praBAmaMdalIya_Cixra#noun#2#RM
correction_factor	saMSoXana_guNaka#saMSoXana_guNaka#noun#2#RM
correlation_coding	sahasaMbaMXana_kodana#sahasaMbaMXana_kodana#noun#2#RM
correlation_coefficient	sahasaMbaMXa_guNAMka#sahasaMbaMXa_guNAMka#noun#2#RM
correlation_function	sahasaMbaMXana_Palana#sahasaMbaMXana_Palana#noun#2#RM
correlation_matrix	sahasaMbaMXana_mEtriksa#sahasaMbaMXana_mEtriksa#noun#2#RM
correlative_code	sahasaMbaMXI_koda#sahasaMbaMXI_koda#noun#2#RM
corrosion_test	saMkRAraNa_parIkRaNa#saMkRAraNa_parIkRaNa#noun#2#RM
corrugated_core	nAlIxAra_kora#nAlIxAra_kora#noun#2#RM
cosine_distribution	kosAina_Palana#kosAina_Palana#noun#2#RM
cosine_integral	kosAina_avakala#kosAina_avakala#noun#2#RM
cosine_pulse	kosAina_spaMxa#kosAina_spaMxa#noun#2#RM
cosmetic_correction	sajAvatI_suXAra#sajAvatI_suXAra#noun#2#RM
cosmic_burst	brahmAMda_prasPota#brahmAMda_prasPota#noun#2#RM
cosmic_dust	aMwarikRa_XUli#aMwarikRa_XUli#noun#2#RM
cosmic_noise	aMwarikRa_rava/brahmAMdIya_rava#aMwarikRa_rava/brahmAMdIya_rava#noun#2#RM
cosmic_origin	aMwarikRI_uwpawwi/aMwarikRI_janiwa#aMwarikRI_uwpawwi/aMwarikRI_janiwa#noun#2#RM
cosmic_phenomenon	aMwarikRa_pariGatanA#aMwarikRa_pariGatanA#noun#2#RM
cosmic_radiation	brahmAMdIya_vikiraNa#brahmAMdIya_vikiraNa#noun#2#RM
cosmic_ray	koYsmika_kiraNa#koYsmika_kiraNa#noun#2#RM
cosmonaut_(_=astronaut_)	aMwarikRayAwrI#aMwarikRayAwrI#noun#3#RM
costas_carrier_loop	kostA_vAhaka_pASa#kostA_vAhaka_pASa#noun#3#RM
costas_loop	kostA_pASa#kostA_pASa#noun#2#RM
coulomb_law_of_force	kUloYma_kA_bala_niyama#kUloYma_kA_bala_niyama#noun#4#RM
count_down	ultI_ginawI/kAunta_dAuna#ultI_ginawI/kAunta_dAuna#noun#2#RM
count_up	sIXI_ginawI/kAunta-apa#sIXI_ginawI/kAunta-apa#noun#2#RM
counter_clock-wise_sector_(_ccws_)	kAuntara_klAka-vAijZa/vAmAvarwa_sektara_(sI.sI.dablyU.esa)#kAuntara_klAka-vAijZa/vAmAvarwa_sektara_(sI.sI.dablyU.esa)#noun#5#RM
counter_electrojet	prawivixyuwavAha#prawivixyuwavAha#noun#2#RM
counter_pressure	prawixAba#prawixAba#noun#2#RM
counter_rotating_wheel	prawiGUrNI_pahiyA#prawiGUrNI_pahiyA#noun#3#RM
couplant_(_coupler_)	yugmaka#yugmaka#noun#3#RM
coupling_coefficient	yugmana_guNAMka#yugmana_guNAMka#noun#2#RM
coupling_constant	yugmanAMka#yugmanAMka#noun#2#RM
coupling_device	yugmana_upakaraNa#yugmana_upakaraNa#noun#2#RM
coupling_loop	yugmana_lUpa#yugmana_lUpa#noun#2#RM
coupling_section	yugmana_KaMda#yugmana_KaMda#noun#2#RM
coupling_unit	yugmana_ekaka/yugmana_ikAI#yugmana_ekaka/yugmana_ikAI#noun#2#RM
covariance_matrix	sahaprasaraNa_mEtriksa#sahaprasaraNa_mEtriksa#noun#2#RM
coverage_area	viswAra_kRewra#viswAra_kRewra#noun#2#RM
coxa_inferior	nimna_kakRAMga#nimna_kakRAMga#noun#2#RM
cradle_relay	kredala_rile#kredala_rile#noun#2#RM
creep_pattern	krIpa_ciwrAma#krIpa_ciwrAma#noun#2#RM
creep_rate	krIpa_xara#krIpa_xara#noun#2#RM
creeping_motion	maMxa_gamana#maMxa_gamana#noun#2#RM
crevice_corrosion	xarAra_saMkRAraNa#xarAra_saMkRAraNa#noun#2#RM
crippling_stress	paMgu_prawibala/kripaliMga_stresa#paMgu_prawibala/kripaliMga_stresa#noun#2#RM
critical_angle	krAMwika_koNa#krAMwika_koNa#noun#2#RM
critical_coupling	krAMwika_yugmana#krAMwika_yugmana#noun#2#RM
critical_damping	krAMwika_avamaMxana#krAMwika_avamaMxana#noun#2#RM
critical_dependence	krAMwika_ASriwawA#krAMwika_ASriwawA#noun#2#RM
critical_equilibrium	krAMwika_saMwulana#krAMwika_saMwulana#noun#2#RM
critical_escape_altitude	krAMwika_palAyana_wuMgawA#krAMwika_palAyana_wuMgawA#noun#3#RM
critical_experiment	krAMwika_prayoga#krAMwika_prayoga#noun#2#RM
critical_frequency	krAMwika_Avqwwi#krAMwika_Avqwwi#noun#2#RM
critical_load	krAMwika_BAra#krAMwika_BAra#noun#2#RM
critical_loading	krAMwika_BAraNa#krAMwika_BAraNa#noun#2#RM
critical_mass	krAMwika_xravyamAna#krAMwika_xravyamAna#noun#2#RM
critical_miscibility	krAMwika_miSraNIyawA#krAMwika_miSraNIyawA#noun#2#RM
critical_moisture_conten	xya_krAMwika_namI_aMSa#xya_krAMwika_namI_aMSa#noun#3#RM
critical_operation	krAMwika_pracAlana/krAMwika_saMkriyA#krAMwika_pracAlana/krAMwika_saMkriyA#noun#2#RM
critical_path_method	krAMwika_paWa_viXi#krAMwika_paWa_viXi#noun#3#RM
critical_point	krAMwika_biMxu#krAMwika_biMxu#noun#2#RM
critical_solution_temperature	krAMwika_vilayana_wApa#krAMwika_vilayana_wApa#noun#3#RM
critical_speed	krAMwika_cAla#krAMwika_cAla#noun#2#RM
critical_stress	krAMwika_prawibala#krAMwika_prawibala#noun#2#RM
critical_temperature	krAMwika_wApa#krAMwika_wApa#noun#2#RM
critical_throat_diameter	krAMwika_kaMTa_vyAsa#krAMwika_kaMTa_vyAsa#noun#3#RM
critical_velocity	krAMwika_vega#krAMwika_vega#noun#2#RM
crooked_holes	vakra_Cixra#vakra_Cixra#noun#2#RM
crop_canopy	Pasala_viwAna#Pasala_viwAna#noun#2#RM
crop_nutrient_deficiency	Pasala_poRaNa_nyUnawA#Pasala_poRaNa_nyUnawA#noun#3#RM
crop_production_forecast	PasalowpAxana_pUrvAnumAna#PasalowpAxana_pUrvAnumAna#noun#3#RM
cross_banding	paraspara_saMcaraNa#paraspara_saMcaraNa#noun#2#RM
cross_bar_transition	wiryak_bAra_saMkramaNa#wiryak_bAra_saMkramaNa#noun#3#RM
cross_connection	anuuprasWa_saMbaMXana#anuuprasWa_saMbaMXana#noun#2#RM
cross_correlation	vyawi_sahasaMbaMXana#vyawi_sahasaMbaMXana#noun#2#RM
cross_correlation_limiter	vyawi_sahasaMbaMXana_sImaka#vyawi_sahasaMbaMXana_sImaka#noun#3#RM
cross_coupling	wiryak_yugmana/krAsa_yugmana#wiryak_yugmana/krAsa_yugmana#noun#2#RM
cross_flow	krAsa_pravAha#krAsa_pravAha#noun#2#RM
cross_linking	krAsa_baMXana/wiryak_baMXana#krAsa_baMXana/wiryak_baMXana#noun#2#RM
cross_linking_effect	krAsa_baMXana_praBAva#krAsa_baMXana_praBAva#noun#3#RM
cross_polarisation	krAsa_XruvaNa#krAsa_XruvaNa#noun#2#RM
cross_product	saxiSa_guNana_Pala/axiSa_guNana_Pala#saxiSa_guNana_Pala/axiSa_guNana_Pala#noun#2#RM
cross_section	anuprasWa_kAta#anuprasWa_kAta#noun#2#RM
cross_talk	aprAsaMgika_signala/vArwA/aboXagamya_wiryaka-vArwA#aprAsaMgika_signala/vArwA/aboXagamya_wiryaka-vArwA#noun#2#RM
cross_talk_coupling	kroYsa_vArwA_yugmana#kroYsa_vArwA_yugmana#noun#3#RM
cross_talk_loss	kroYsa_vArwA_hAni#kroYsa_vArwA_hAni#noun#3#RM
cross_talk_unit	kroYsa_vArwA_ikAI#kroYsa_vArwA_ikAI#noun#3#RM
crossed_field_instability	kroYsiwa_kRewra_asWAyiwva#kroYsiwa_kRewra_asWAyiwva#noun#3#RM
crossover_frequency	saMkramaNa_Avqwwi#saMkramaNa_Avqwwi#noun#2#RM
crossover_network	saMkramaNa_netavarka#saMkramaNa_netavarka#noun#2#RM
crown_closure	krAuna_klojZara/vanaspawi_SiKarAcCAxana#krAuna_klojZara/vanaspawi_SiKarAcCAxana#noun#2#RM
cruciform_grain	krAsarUpI_gena_krAsarUpI_paMKa#krAsarUpI_gena_krAsarUpI_paMKa#noun#2#RM
cruciform_wing_cruising_rocket_engine	krUjiMga_rAketa_iMjana#krUjiMga_rAketa_iMjana#noun#5#RM
crystal_aging	kristala_kAla-_praBAvana#kristala_kAla-_praBAvana#noun#2#RM
crystal_counter	kristala_kAuntara/gaNaka#kristala_kAuntara/gaNaka#noun#2#RM
crystal_detector	kristala_saMsUcaka#kristala_saMsUcaka#noun#2#RM
crystal_oscillator	kristala_xoliwra#kristala_xoliwra#noun#2#RM
crystal_structure	kristala_saMracanA#kristala_saMracanA#noun#2#RM
crystallinity_index	kristalawA_sUcakAMka#kristalawA_sUcakAMka#noun#2#RM
crystallinity_ratio	kristalawA_anupAwa#kristalawA_anupAwa#noun#2#RM
crystallographic_notation	kristalIya_saMkewana#kristalIya_saMkewana#noun#2#RM
crystallographic_space	kristalIya_aMwarAla#kristalIya_aMwarAla#noun#2#RM
cubic_convolution	GanIya_saMvalana#GanIya_saMvalana#noun#2#RM
cubic_phase_distribution	GanIya_kalA_viwaraNa#GanIya_kalA_viwaraNa#noun#3#RM
cumulative_damage	saMcayI_kRawi#saMcayI_kRawi#noun#2#RM
cumulative_effect	saMcayI_praBAva#saMcayI_praBAva#noun#2#RM
cumulo-nimbus_cloud	kapAsI_meGa#kapAsI_meGa#noun#2#RM
cumulus_congestus	kyUmulasa_kanjestasa#kyUmulasa_kanjestasa#noun#2#RM
cup_and_ball_structure	pyAlA-golA_saMracanA#pyAlA-golA_saMracanA#noun#4#RM
curl-free_current	karla-PrI_XArA#karla-PrI_XArA#noun#2#RM
current_distribution	XArA-viwaraNa#XArA-viwaraNa#noun#2#RM
current_location	wAwkAlika_sWiwi#wAwkAlika_sWiwi#noun#2#RM
current_mode_circuit	XArA_viXA_paripaWa#XArA_viXA_paripaWa#noun#3#RM
current_moment	XArA_AGUrNa#XArA_AGUrNa#noun#2#RM
current_state	varwamAna_avasWA#varwamAna_avasWA#noun#2#RM
curtain_array	JAlara_EntenA#JAlara_EntenA#noun#2#RM
curve_ranging	vakrana#vakrana#noun#2#RM
curved_beam	vakriwa_xaMda#vakriwa_xaMda#noun#2#RM
curved_web	vakriwa_jAla#vakriwa_jAla#noun#2#RM
cut_off_frequency	aMwaka_Avqwwi#aMwaka_Avqwwi#noun#3#RM
cut_off_lake	cApa_JIla#cApa_JIla#noun#3#RM
cut_off_length	aMwaka_xErGya#aMwaka_xErGya#noun#3#RM
cut_off_wavelength	aMwaka_waraMga_xErGya#aMwaka_waraMga_xErGya#noun#3#RM
cut_out	kata-Auta#kata-Auta#noun#2#RM
cw_radar_(_continuous_wave_radar_)	sI.dablyU._redAra_(sawawa_waraMga_redAra)#sI.dablyU._redAra_(sawawa_waraMga_redAra)#noun#6#RM
cycle_criterion	cakra_krAiteriyana/mAnaxaMda#cakra_krAiteriyana/mAnaxaMda#noun#2#RM
cycle_efficiency	cakra_xakRawA#cakra_xakRawA#noun#2#RM
cycle_index	cakra_sUcakAMka#cakra_sUcakAMka#noun#2#RM
cycle_per_second	sAikila_prawi_sekaMda#sAikila_prawi_sekaMda#noun#3#RM
cycle_slipping	cakra_Pisalana#cakra_Pisalana#noun#2#RM
cycle_time	Avarwana_kAla#Avarwana_kAla#noun#2#RM
cyclic_accelerator	cakrIya_wvariwra#cakrIya_wvariwra#noun#2#RM
cyclic_code	Avarwana_koda#Avarwana_koda#noun#2#RM
cyclic_load	cakrIya_loda#cakrIya_loda#noun#2#RM
cyclone_eye	cakravAwa_kenxra#cakravAwa_kenxra#noun#2#RM
cylindrical_air_bearing	belanIya_vAyu_beyariMga#belanIya_vAyu_beyariMga#noun#3#RM
cylindrical_antenna	belanAkAra_EntenA#belanAkAra_EntenA#noun#2#RM
cylindrical_chamber	belanAkAra_koRTa#belanAkAra_koRTa#noun#2#RM
cylindrical_parabolic_reflector	belanAkAra_paravalayI_parAvarwaka#belanAkAra_paravalayI_parAvarwaka#noun#3#RM
d.c._amplifier	dI.sI.pravarXaka#dI.sI.pravarXaka#noun#2#RM
d.c._dump	dI.sI.niRkAsa#dI.sI.niRkAsa#noun#2#RM
d.c._erasing	dI.sI.vyAmArjana#dI.sI.vyAmArjana#noun#2#RM
dal-kirkhan_telescope	dAla-karkahAna_xUraxarSI#dAla-karkahAna_xUraxarSI#noun#2#RM
damped_oscillation	avamaMxiwa_xolana#avamaMxiwa_xolana#noun#2#RM
damping_capacity	avamaMxana_kRamawA#avamaMxana_kRamawA#noun#2#RM
damping_coefficient	avamaMxana_guNAMka#avamaMxana_guNAMka#noun#2#RM
damping_constant	avamaMxana_sWirAMka#avamaMxana_sWirAMka#noun#2#RM
damping_control	avamaMxI_niyaMwraNa/avamaMxI_niyaMwraka#avamaMxI_niyaMwraNa/avamaMxI_niyaMwraka#noun#2#RM
damping_force	avamaMxana_bala#avamaMxana_bala#noun#2#RM
damping_network	avamaMxana_jAla-krama#avamaMxana_jAla-krama#noun#2#RM
damping_ratio	avamaMxana_anupAwa#avamaMxana_anupAwa#noun#2#RM
damping_torque	avamaMxI_eTana/bala-AGUrNa#avamaMxI_eTana/bala-AGUrNa#noun#2#RM
danger_area	KawarA_kRewra#KawarA_kRewra#noun#2#RM
dark_chamber	wimira_kakRa#wimira_kakRa#noun#2#RM
dark_field	wimira_kRewra#wimira_kRewra#noun#2#RM
dark_field_illumination	wimira_kRewra_praxIpwi#wimira_kRewra_praxIpwi#noun#3#RM
dark_room	wimira_kakRa#wimira_kakRa#noun#2#RM
dark_space	wimira_praxeSa#wimira_praxeSa#noun#2#RM
dash_pot	dESapAta#dESapAta#noun#2#RM
data_access_system	detA_aBigama_waMwra#detA_aBigama_waMwra#noun#3#RM
data_acquisition	detA_prApwi/detA_arjana#detA_prApwi/detA_arjana#noun#2#RM
data_analysis_system	detA_viSleRaNa_waMwra#detA_viSleRaNa_waMwra#noun#3#RM
data_analyst	detA_viSleRaka#detA_viSleRaka#noun#2#RM
data_archive	detA_aBisaMgrahaNa#detA_aBisaMgrahaNa#noun#2#RM
data_bank	detA_bEMka#detA_bEMka#noun#2#RM
data_block	detA_blAka#detA_blAka#noun#2#RM
data_catalogue	detA_prasUcI#detA_prasUcI#noun#2#RM
data_collection_platform	detA_saMgrahaNa_pletaPZArma/dAtA_saMgrahaNa_maMca#detA_saMgrahaNa_pletaPZArma/dAtA_saMgrahaNa_maMca#noun#3#RM
data_compression	detA_saMkucana#detA_saMkucana#noun#2#RM
data_correlation	detA_sahasaMbaMXana#detA_sahasaMbaMXana#noun#2#RM
data_cycle	detA_cakra#detA_cakra#noun#2#RM
data_dimension	detA_viswAra#detA_viswAra#noun#2#RM
data_dimensionality	detA_vimIyawA#detA_vimIyawA#noun#2#RM
data_enhancement	detA_saMvarXana#detA_saMvarXana#noun#2#RM
data_extraction	detA_niRkarRaNa#detA_niRkarRaNa#noun#2#RM
data_flow	detA_pravAha#detA_pravAha#noun#2#RM
data_format	detA_anukrama#detA_anukrama#noun#2#RM
data_handling	AzkadZA_prabaMXa/detA_prabaMXa#AzkadZA_prabaMXa/detA_prabaMXa#noun#2#RM
data_handling_capacity	detA_prabaMXa_kRamawA#detA_prabaMXa_kRamawA#noun#3#RM
data_line	detA_lAina#detA_lAina#noun#2#RM
data_link	detA_kadZI#detA_kadZI#noun#2#RM
data_management_report	detA_prabaMXa_riporta#detA_prabaMXa_riporta#noun#3#RM
data_mining	detA_mAiniMga/detA_Kanana/detA_maMWana#detA_mAiniMga/detA_Kanana/detA_maMWana#noun#2#RM
data_processing	detA_saMsAXana/AzkadZA_saMsAXana#detA_saMsAXana/AzkadZA_saMsAXana#noun#2#RM
data_processor	detA_saMsAXiwra/AzkadZA_saMsAXiwra#detA_saMsAXiwra/AzkadZA_saMsAXiwra#noun#2#RM
data_products	detA_uwpAxa#detA_uwpAxa#noun#2#RM
data_reduction	detA_samAnayana#detA_samAnayana#noun#2#RM
data_registration	detA_paMjIkaraNa#detA_paMjIkaraNa#noun#2#RM
data_retrieval	detA_puna:_prApwi/detA_prawyAnayana#detA_puna:_prApwi/detA_prawyAnayana#noun#2#RM
data_set	detA_seta#detA_seta#noun#2#RM
data_smoothing	detA_pariSoXana#detA_pariSoXana#noun#2#RM
data_storage	detA_saMcaya#detA_saMcaya#noun#2#RM
data_terminal	detA_tarminala#detA_tarminala#noun#2#RM
data_transcription	detA_rUpAMwaraNa#detA_rUpAMwaraNa#noun#2#RM
date_line	xinAMka-reKA#xinAMka-reKA#noun#2#RM
dawn_rocket	prAwa:_rAketa#prAwa:_rAketa#noun#2#RM
day_glow	xivA_xIpwi#xivA_xIpwi#noun#2#RM
daytime_shower	xina_samaya/xivA_PuhAra#xina_samaya/xivA_PuhAra#noun#2#RM
dead_loading	jadZa_BAraNa/swabXa_BAraNa#jadZa_BAraNa/swabXa_BAraNa#noun#2#RM
dead_reckoning	nigamiwa_sWiwi_nirXAraNa#nigamiwa_sWiwi_nirXAraNa#noun#2#RM
dead_space	niRkriya_BAga/jadZa_BAga#niRkriya_BAga/jadZa_BAga#noun#2#RM
dead_spot	AUka_sWala#AUka_sWala#noun#2#RM
dead_weight	niRkriya_BAra/jadZa_BAra#niRkriya_BAra/jadZa_BAra#noun#2#RM
dead_weight_tester	niRkriya_BAra_parIkRiwra/jadZa_BAra_parIkRiwra#niRkriya_BAra_parIkRiwra/jadZa_BAra_parIkRiwra#noun#3#RM
dead_zone	niRkriya_kRewra#niRkriya_kRewra#noun#2#RM
deadening_effect	SAmaka_praBAva#SAmaka_praBAva#noun#2#RM
debug_,_debugging	xoRamArjana#xoRamArjana#noun#3#RM
decay_constant	kRayAMka#kRayAMka#noun#2#RM
decay_curve	kRaya_vakra#kRaya_vakra#noun#2#RM
decay_factor	kRaya_guNAMka#kRaya_guNAMka#noun#2#RM
decay_time	kRayakAla#kRayakAla#noun#2#RM
deceleration_rate	maMxana_xara#maMxana_xara#noun#2#RM
deceleration_time	maMxana_kAla#maMxana_kAla#noun#2#RM
