usa_jagaha	vahAz/usa_jagaha
avaSya	niHsaMxeha/nissaMxeha/jarUra/jZarUra/niHsanxeha/nissanxeha/nisaMxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakZInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASinxA/bASinxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikaMka/avaSya/jarUra/jZarUra
jugawa_lagAkara	yukwipUrvaka/upAyawaH/upAya_se/jugawa_lagAkara/warakIba_se/warIkZe_se
ultA_pultA	ulatA-pulatA/ulatA_pulatA/ulatA-palatA/ultA-paltA/ultA-pultA/ultA_pultA
xogunA	xugunA/xUnA/xogunA/xuganA/xviguNa/xviguNiwa
subaha	sabere/savere/subaha/wadZake/subaha-subaha/subaha_savere
haraxama	hameSA/saxA/niwya/saxEva/niwya_prawi/sarvaxA/sarvaWA/haraxama/haravakwa/harasamaya/xina-rAwa/xinarAwa/xina_rAwa/rAwa-xina/rAwaxina/niSixina/nisa-vAsara/nisavAsara/niSivAsara/niranwara/niraMwara/anavaXi/sarvaxEva/aharaha/pinnA/aharniSa/ahorAwra
awaH	isalie/isIlie/awaeva/awaH/lihAjA/lihAjZA
jAnabUJa_kara	jAna-bUJakara/jAnabUJakara/jAnabUJa_kara/amaxana/icCApUrvaka/mawipUrva/irAxawana
wakarIbana	aMxAjana/aMxAjZana/anxAjZana/anxAjana/lagaBaga/wakZarIbana/wakarIbana/kZarIba/karIba/karIbakarIba/karIbana/kZarIbakZarIba/kZarIbana/anumAnawaH/anakZarIba/anakarIba/waKZamInana/aMxAja_se/ukavAz
nikata_meM	pAsa_meM/najZaxIka/najaxIka/nikata_meM/kZarIba_meM/samIpa/nikata/pAsa/kZarIba/karIba/sannikata/najIka/muwwasila/arvAka/avixUra/Are/AsapAsa/Asa-pAsa
hole-hole	XIre-XIre/XIre_XIre/Ahiswe-Ahiswe/AhiswA-AhiswA/hOle-hOle/hole-hole/raPwA-raPwA/alpaSaH
paxa_prawi_paxa	kZaxama_ba_kZaxama/eka_eka_daga/paxa_prawi_paxa
asamaya	kusamaya/gZalawa_vakZwa_para/asamaya/bevakZwa/galawa_vakwa_para/bevakwa/bemOke/asamaya/bevakZwa/bevakwa/gZalawa_samaya_para/galawa_samaya_para/bemOke
jZyAxA	Upara/aXika/jyAxA/jZyAxA/bahuwa/KZUba/KUba/badZA/jyAxA/jZyAxA/aXika/kAPZI/kAPI/kadZA/jamakara/datakara
cUdZAnwa	awyaMwa/awyanwa/awyaXika/be-iMwahA/beiMwahA/bahuwa_aXika/bahuwa_hI/bepanAha/saKZwa/saKwa/jamakara/mahA/nihAyawa/cUdZAMwa/cUdZAnwa/aByaXika/Agara
yaWAkrama	kramaSaH/kramAnusAra/yaWAkrama/silasilevAra/bArI-bArI_se/kramavAra/warawIbavAra/ayugapaxa/alpaSaH
anuxina	prawixina/haraxina/niwya/hararojZa/rojZa/niwa/roja/rojZAnA/rojAnA/anuxina/niwyaprawi/anuxivasa/aharaha
avAk	cupacApa/cupa/mOna/SAMwa/SAnwa/KZAmoSI_se/KAmoSI_se/niSSabxa/avAka/avAk/bina_bole/mOnawaH
avAka	cupacApa/cupa/mOna/SAMwa/SAnwa/KZAmoSI_se/KAmoSI_se/niSSabxa/avAka/avAk/bina_bole/mOnawaH
niHsanxeha	niHsaMxeha/nissaMxeha/jarUra/jZarUra/niHsanxeha/nissanxeha/nisaMxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakZInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASinxA/bASinxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikaMka
havA_ke_anukUla	havA_ke_anukUla/havAnukUla/havA_kI_ora/havA_kI_waraPa
aXikArapUrvaka	aXikArapUrvaka/sAXikAra/aXikArawaH
iwaswawaH	iXara-uXara/jahAz-wahAz/yahAz-vahAz/iwauwa/iwaswawaH
svecCApUrvaka	svecCApUrvaka/icCA_se/KZuSI_KZuSI/KZuSI_se/svecCayA/svecCawaH
sarvopari	sarvopari
sahI_salAmawa	sakuSala/kuSalawApUrvaka/kuSalapUrvaka/sahI_salAmawa/sahI-salAmawa/TIka-TAka/TIka_se/TIka-TAka_se/TIkaTAka/baKZEra/baKEra/baKZErIya/baKErIyawa/surakRiwawaH
avyavasWiwawaH	kramahInawaH/akramawaH/avyavasWiwawaH/jahAz_wahAz
paScAw	bAxa/bAxa_meM/paScAw/uparAMwa/anaMwara/paScAwa/uparAnwa/ananwara/pICe/uwwara/aWa/anupaxa/anvakRa
xinaBara	xinaBara/pUrexina
ayAciwawaH	binamAzge/bina_mAzge/anamAzge/ayAciwawaH
AxyopAMwa	AxyopAMwa/AxyopAnwa/AxyAMwa/AxyAnwa
nalla	nalla/nalla/nalla/nalla/nalla/nalla/nalla/nalla
bilakula	niHsaMxeha/nissaMxeha/jarUra/jZarUra/niHsanxeha/nissanxeha/nisaMxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakZInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASinxA/bASinxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikaMka/bilkula/bilakula/ekaxama/nipata/sarAsara/TIka/niwAMwa/niwAnwa/pUrNawaH/pUrI_waraha_se/pUrNawayA/saMpUrNawaH/saMpUrNawayA/pUrNarupeNa/AmUlacUla/Sawa-prawiSawa
soxxeSya	uxxeSyapUrvaka/uxxeSyawaH/sABiprAyaH/soxxeSya
irAxe_se	saMkalpapUrvaka/irAxawana/irAxe_se/xqDZawApUrvaka/niScayapUrvaka
prayawna_se	prayawnapUrvaka/sAyAsa/prayawnawaH/prayawna_se
sAxeSa	AjFApUrvaka/AxeSapUrvaka/sAxeSa/AxeSa_se
PIsaxI	prawiSawa/PZIsaxI/PIsaxI/paraseMta
yahIM	yahIM/isI_jagaha/ihavEM
hAWo-hAWa	Jatapata/catapata/PatAPata/wuraMwa/wuranwa/wawkAla/avilaMba/avilamba/PZOrana/POrana/KatAka_se/wawkRaNa/wadZAka_se/wadZa_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wadZa_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
cAroM_xiSAoM_meM	cAroM_ora/cAroM_waraPZa/cAroM_waraPa/cahuz_ora/sarvawra/saBI_waraPZa/cAroM_xiSAoM_meM/hara_jagaha/irxa-girxa
SAnwipUrvaka	SAMwipUrvaka/SAnwipUrvaka
ikahAU	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka/Jatapata/catapata/PatAPata/wuraMwa/wuranwa/wawkAla/avilaMba/avilamba/PZOrana/POrana/KatAka_se/wawkRaNa/wadZAka_se/wadZa_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wadZa_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
Barapeta	Barapeta/petaBara
agrawaH	Age/agrawaH
TIka-TAka	TIka-TAka/TIkaTAka/TIka/acCA/baDZiyA/sakuSala/kuSalawApUrvaka/kuSalapUrvaka/sahI_salAmawa/sahI-salAmawa/TIka-TAka/TIka_se/TIka-TAka_se/TIkaTAka/baKZEra/baKEra/baKZErIya/baKErIyawa/surakRiwawaH
kAPI	bahuwa/KZUba/KUba/badZA/jyAxA/jZyAxA/aXika/kAPZI/kAPI/kadZA/jamakara/datakara/paryApwa/kAPI/kAPZI/yaWeRta/alam/alaM
ikahAI	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka/Jatapata/catapata/PatAPata/wuraMwa/wuranwa/wawkAla/avilaMba/avilamba/PZOrana/POrana/KatAka_se/wawkRaNa/wadZAka_se/wadZa_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wadZa_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
aBI_aBI	aBI-aBI/aBI_aBI/aBI_hI/isI_vakwa/isI_kRaNa
virAmawaH	ruka-ruka_kara/ruka-rukakara/virAmawaH/Tahara_Tahara_kara/savirAmawaH
Sawa-prawiSawa	bilkula/bilakula/ekaxama/nipata/sarAsara/TIka/niwAMwa/niwAnwa/pUrNawaH/pUrI_waraha_se/pUrNawayA/saMpUrNawaH/saMpUrNawayA/pUrNarupeNa/AmUlacUla/Sawa-prawiSawa
isI_prakAra	isI_waraha/isI_prakAra/iwWaMmeva
AxeSa_se	AjFApUrvaka/AxeSapUrvaka/sAxeSa/AxeSa_se
baDZAcaDZAkara	baDZA-caDZAkara/baDZAcaDZAkara
iwimAwra	iwanA_hI/iwimAwra
AjakAla	PilahAla/PZilahAla/aba/varwamAna_meM/Aja-kala/Ajakala/Aja_kala/AjakAla/ina_xinoM/isa_samaya/saMprawi
AsAnI_se	AsAnI_se/sahajawA_se/saralawA_se/Kela_Kela_meM/sahajawaH/anEse
cAroM_ora	cAroM_ora/cAroM_waraPZa/cAroM_waraPa/cahuz_ora/sarvawra/saBI_waraPZa/cAroM_xiSAoM_meM/hara_jagaha/irxa-girxa
wanahA	akelA/akele/kevala/sirPZa/mAwra/KAlI/KZAlI/basa/nipata/mahajZa/sirPa/wanhA/wanahA/ekAkI/ekameva/ekaMga/ikelA
TaMde_TaMde	TaMde-TaMde/TaMde_TaMde/TaMDe-TaMDe/TaMDe_TaMDe
aXikawaH	aXikawaH/aXikAMSawaH/prAyaH/aXikAMSawayA
prayawnahInawaH	anAyAsa/binA_pariSrama/aprayawnawaH/prayawnahInawaH/ayAsa
wuranwa	Jatapata/catapata/PatAPata/wuraMwa/wuranwa/wawkAla/avilaMba/avilamba/PZOrana/POrana/KatAka_se/wawkRaNa/wadZAka_se/wadZa_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wadZa_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
IrRyApUrvaka	IrRyApUrvaka/IrRyawaH/xveRapUrvaka/sAsUya/IrRyApUrNawaH
CaHgunA	CahagunA/COgunA/CaHgunA
iwauwa	iXara-uXara/jahAz-wahAz/yahAz-vahAz/iwauwa/iwaswawaH
acaka	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka
prayawnapUrvaka	prayawnapUrvaka/sAyAsa/prayawnawaH/prayawna_se
kala	kala/kAlha/kala
aBisWira	aBisWira
wadZAka_se	Jatapata/catapata/PatAPata/wuraMwa/wuranwa/wawkAla/avilaMba/avilamba/PZOrana/POrana/KatAka_se/wawkRaNa/wadZAka_se/wadZa_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wadZa_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU/wadZa_se/wadZAka_se
hUbahU	prawirUpawaH/hUbahU/hU-ba-hU
hameSA_kI_waraha	hasbemAmUla/hasbe-mAmUla/hasba-e-mAmUla/hameSA_kI_waraha
xayApUrvaka	xayApUrvaka/kqpA_kara_ke/kqpApUrvaka/xayA_se/barAe_meharabAnI
jahAz	jahAz
xerI_se	vilaMbawaH/aSIGrawaH/xerI_se/vilaMbapUrvaka/xera_meM
UzcAI_para	Upara/UzcAI_para/UrxXva/UrXva
kisI_samaya	kaBI/kisI_samaya
apalaka	apalaka/nirnimeRa/nirnimiRa/nirnimeKa
kAraNavaSa	kAraNavaSa/kAraNawaH
Asafga	lagAwAra/anavarawa/niraMwara/niranwara/wAbadZawodZa/xanAxana/sawawa/XUAzXAra/anaMwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadZAXadZa/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAMwa/asarAra/aharaha/AsaMga/Asafga/ikawAra
aMwa_meM	aMwawaH/aMwawogawvA/aMwa_meM/AKira/AKZira/AKZirakAra/AKirakAra/howe_havAwe
waxananwara	wawapaScAwa/waxanaMwara/waxauparAMwa/waxoparAMwa/waxaMwara/waxananwara/waxuparAMwa/waxuparAnwa/waxoparAMwa/waxoparAnwa/waxanwara
svawaH	svayaM/svawaH/Kuxa/KZuxa/Apa/ApahI/apaneApa/KZuxa_hI/sAkRAw/sAkRAwa/asAlawana/AparUpa/svawaH/apaneApa/KZuxa-ba-KZuxa/KZuxabaKZuxa/Kuxa-ba-Kuxa/KuxabaKuxa
Are	pAsa_meM/najZaxIka/najaxIka/nikata_meM/kZarIba_meM/samIpa/nikata/pAsa/kZarIba/karIba/sannikata/najIka/muwwasila/arvAka/avixUra/Are/AsapAsa/Asa-pAsa
muAPZikZa	anusAra/mAPika/muwAbika/anukUla/muAPZikZa/muAPika/muwAbikZa/aprawIRa
viXivawa	viXipUrvaka/kZAyaxe_se/DaMga_se/warIkZe_se/bawOra/bAkZAyaxA/viXivaw/viXivawa
hakZIkZawana	vAkaI/vAkZaI/vAswava_meM/hakIkawana/hakZIkZawana/xaraasala/asala_meM/sacamuca/saccI-muccI/saccI_muccI/sawyawaH/vaswuwaH
xera_meM	vilaMbawaH/aSIGrawaH/xerI_se/vilaMbapUrvaka/xera_meM
karInAvAra	warIkZe_se/warIke_se/warawIba_se/kZarIne_se/karIne_se/vyavasWApUrvaka/vyavasWiwawaH/kZarInAvAra/karInAvAra
besoce_samaJe	vicArahInawaH/anasoce/besoce_samaJe
cAragunA	cOgunA/cAra_gunA/cAragunA/cawurguNa
soca_samaJa_kara	soca-vicArakara/samaJa-bUJakara/vicArapUrvaka/soca-samaJakara/soca_vicAra_kara/samaJa_bUJa_kara/soca_samaJa_kara/vicAriwawaH
bewarIkZe	viXihInawaH/kuviXipUrvaka/bewarIkZe
hara_kRaNa	prawikRaNa/pala_pala/pala-pala/prawipala/hara_kRaNa/kRaNa-kRaNa/haraGadZI/hara_GadZI/prawi_kRaNa/kRaNakRaNa/anukRaNa/CinaCina/Cina-Cina/AKana
awIwa_meM	awIwa_meM/pahale/BUwa_meM/BUwa_kAla_meM/pICe/piCale_xinoM_meM
aBimAna_se	aBimAnapUrvaka/aBimAna_se/sagarva/sABimAna
AxyAnwa	AxyopAMwa/AxyopAnwa/AxyAMwa/AxyAnwa
bAijZjZawa	bAijjawa/bAijZjZawa/sasammAna
xinoM-xina	xina-prawixina/xina-xina/xina-para-xina/xina-baxina/xina-ba_xina/xinaprawixina/xinaxina/xinabaxina/xinoM-xina/xinoMxina
teDZA	wiraCA/wiryaka/AdZA/teDZA/bAzkA/wirapata
anekaSaH	kaI_bAra/bahuwa_bAra/anekaSaH
kaTinAI_se	kaTinAI_se/jEse_wEse/muSkila_se/bamuSkila/kaTinawaH/nITi
bIcobIca	bIcobIca/bIcoMbIca/bIcoM-bIca/bIcama_bIca/bIcoM_bIca
acAka	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka
siwAba	Jatapata/catapata/PatAPata/wuraMwa/wuranwa/wawkAla/avilaMba/avilamba/PZOrana/POrana/KatAka_se/wawkRaNa/wadZAka_se/wadZa_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wadZa_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
isI_kAraNa	waBI/isI_kAraNa
burA	burA/KarAba/burI_waraha
usI_GadZI	waBI/waba_hI/usI_samaya/usI_GadZI
rojZa	prawixina/haraxina/niwya/hararojZa/rojZa/niwa/roja/rojZAnA/rojAnA/anuxina/niwyaprawi/anuxivasa/aharaha
be-iMwahA	awyaMwa/awyanwa/awyaXika/be-iMwahA/beiMwahA/bahuwa_aXika/bahuwa_hI/bepanAha/saKZwa/saKwa/jamakara/mahA/nihAyawa/cUdZAMwa/cUdZAnwa/aByaXika/Agara
Barose	Barose/mAWe
saxA	hameSA/saxA/niwya/saxEva/niwya_prawi/sarvaxA/sarvaWA/haraxama/haravakwa/harasamaya/xina-rAwa/xinarAwa/xina_rAwa/rAwa-xina/rAwaxina/niSixina/nisa-vAsara/nisavAsara/niSivAsara/niranwara/niraMwara/anavaXi/sarvaxEva/aharaha/pinnA/aharniSa/ahorAwra
iwWe	iXara/isa_ora/yahAz_para/iwaH/iwa/iwE/iwWe
acAkA	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka
jahAz-wahAz	iXara-uXara/jahAz-wahAz/yahAz-vahAz/iwauwa/iwaswawaH
bArIkI_se	bArIkZI_se/bArIkI_se/sUkRmawaH
kAraNa_se	prayojanawaH/kAma_se/kAraNa_se/saprayojana
nAgahAz	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka
TIkaTAka	TIka-TAka/TIkaTAka/TIka/acCA/baDZiyA/sakuSala/kuSalawApUrvaka/kuSalapUrvaka/sahI_salAmawa/sahI-salAmawa/TIka-TAka/TIka_se/TIka-TAka_se/TIkaTAka/baKZEra/baKEra/baKZErIya/baKErIyawa/surakRiwawaH
vaswuwaH	vAkaI/vAkZaI/vAswava_meM/hakIkawana/hakZIkZawana/xaraasala/asala_meM/sacamuca/saccI-muccI/saccI_muccI/sawyawaH/vaswuwaH
pqRTawaH	pICe/paScawaH/pACe/pqRTawaH/arvAka
anAyAsa	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka/anAyAsa/binA_pariSrama/aprayawnawaH/prayawnahInawaH/ayAsa
bexarxI_se	nirxayawApUrvaka/nirxayawA_se/berahamI_se/bexarxI_se/krUrawApUrvaka/barbarawApUrvaka/kaTorawA_se/kadZAI_se
Aja_kala	PilahAla/PZilahAla/aba/varwamAna_meM/Aja-kala/Ajakala/Aja_kala/AjakAla/ina_xinoM/isa_samaya/saMprawi
pUrNawayA	bilkula/bilakula/ekaxama/nipata/sarAsara/TIka/niwAMwa/niwAnwa/pUrNawaH/pUrI_waraha_se/pUrNawayA/saMpUrNawaH/saMpUrNawayA/pUrNarupeNa/AmUlacUla/Sawa-prawiSawa
AramBa_meM	AraMBa_meM/AraMBawaH/AramBawaH/pahale/SurU_meM/praWama/Axi_meM/praWamawaH/sarvapraWama/pUrva/SuruAwa_meM/SuruvAwa_meM/AramBa_meM/prAramBa_meM
KAsawOra_se	viSeRakara/KZAsakara/KZAsa_wOra_para/KZAsa_wOra_se/KZAsawOra_para/KZAsawOra_se/KAsawOra_para/KAsawOra_se/KAsakara/viSeRawaH/viSiRtawaH/muKyawaH/viSeRa_rUpa_se
pahale_pahala	pahale_pahala/praWamawaH/sarva_praWama/sarvapraWama/SurU_meM/pahale-pahala/avvalana/pahile_pahala/pahile_pahala
AKira	aMwawaH/aMwawogawvA/aMwa_meM/AKira/AKZira/AKZirakAra/AKirakAra/howe_havAwe
harasamaya	hameSA/saxA/niwya/saxEva/niwya_prawi/sarvaxA/sarvaWA/haraxama/haravakwa/harasamaya/xina-rAwa/xinarAwa/xina_rAwa/rAwa-xina/rAwaxina/niSixina/nisa-vAsara/nisavAsara/niSivAsara/niranwara/niraMwara/anavaXi/sarvaxEva/aharaha/pinnA/aharniSa/ahorAwra
soca-samaJakara	soca-vicArakara/samaJa-bUJakara/vicArapUrvaka/soca-samaJakara/soca_vicAra_kara/samaJa_bUJa_kara/soca_samaJa_kara/vicAriwawaH
KarAba	burA/KarAba/burI_waraha
animiwwa	akAraNa/bemawalaba/niRkAraNa/kAraNahInawaH/animiwwa
niSciwawaH	niHsaMxeha/nissaMxeha/jarUra/jZarUra/niHsanxeha/nissanxeha/nisaMxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakZInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASinxA/bASinxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikaMka
kaBI-kaBAra	kaBIkaBI/kaBIkaBAra/yaxAkaxA/kaBI-kaBI/kaBI-kaBAra/yaxA-kaxA/vakwan-POvakwan
aprawyASiwawaH	acAnaka/ekAeka/sahasA/ekabAragI/ikabAragI/yakAyaka/akasmAwa/akasmAw/anAyAsa/xEvAw/xEvavaSa/Ocaka/aprawyASiwawaH/ApAwawaH/aMcakEM/agawyA/acaka/acAMcaka/acAkA/acAka/acAna/anAgawaH/anyAsa/nAgahAz/AcAna/ikahAI/ikahAU/iwwiPZAkZana/iwwiPAkana/iwwaPZAkZana/iwwaPAkana/ucakA/Ocaka
pinnA	hameSA/saxA/niwya/saxEva/niwya_prawi/sarvaxA/sarvaWA/haraxama/haravakwa/harasamaya/xina-rAwa/xinarAwa/xina_rAwa/rAwa-xina/rAwaxina/niSixina/nisa-vAsara/nisavAsara/niSivAsara/niranwara/niraMwara/anavaXi/sarvaxEva/aharaha/pinnA/aharniSa/ahorAwra
sAmAnyawaH	sAmAnyawaH/sAmAnyawayA/sAXAraNawaH/sAXAraNawayA/amUmana/umUmana
IxqSa	yoM/yUz/Ese/isa_waraha/isa_prakAra/EsA/iwWaM/ima/imi/iBa/iva/isE/IxqS/IxqSa
asarAra	lagAwAra/anavarawa/niraMwara/niranwara/wAbadZawodZa/xanAxana/sawawa/XUAzXAra/anaMwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadZAXadZa/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAMwa/asarAra/aharaha/AsaMga/Asafga/ikawAra
PZajZUla	vyarWa_hI/yoM_hI/JUTa-mUTa/yOM_hI/yUz_hI/Ese_hI/nAhakZa/nAhaka/PZajZUla/PajUla/PZijZUla/PijUla/anahaka/anAhaka
jEsA	jEsA/jEse/jisa_prakAra/jisa_prakAra_se
Axara_sahiwa	sawkArapUrvaka/sAxara/sasammAna/Axara_sahiwa
alpawaH	alpawaH/WodZA-WodZA/WodZA_WodZA/alpaSaH
jora-Sora_se	jZora-Sora_se/jora-Sora_se/jZoraSora_se/joraSora_se/jZoroM_se/joroM_se
yaxAkaxA	kaBIkaBI/kaBIkaBAra/yaxAkaxA/kaBI-kaBI/kaBI-kaBAra/yaxA-kaxA/vakwan-POvakwan
hAWoM_hAWa	Jatapata/catapata/PatAPata/wuraMwa/wuranwa/wawkAla/avilaMba/avilamba/PZOrana/POrana/KatAka_se/wawkRaNa/wadZAka_se/wadZa_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wadZa_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
jEse	jEsA/jEse/jisa_prakAra/jisa_prakAra_se
ekataka	takatakI_se/ekataka/tukura_tukura/taka-taka/animeRa/animiRa/animiKa/anamiKa/ikataka
aSIGrawaH	vilaMbawaH/aSIGrawaH/xerI_se/vilaMbapUrvaka/xera_meM
pUrA	pUrA/pUrI_waraha
xasagunA	xasagunA/xaSagunA/xasa_gunA/xaSa_gunA
maraNoparAMwa	maraNoparAMwa/maraNoparAnwa
yaWAkarma	yaWAkarma/karmAnusAra
labarejZa	labAlaba/labareja/labarejZa
avicCexa	lagAwAra/anavarawa/niraMwara/niranwara/wAbadZawodZa/xanAxana/sawawa/XUAzXAra/anaMwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadZAXadZa/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAMwa/asarAra/aharaha/AsaMga/Asafga/ikawAra
badZA	bahuwa/KZUba/KUba/badZA/jyAxA/jZyAxA/aXika/kAPZI/kAPI/kadZA/jamakara/datakara
ciMwiwawaH	ciMwiwawaH/uxvignawaH/uxvignawApUrvaka
svAXInawaH	svAXInawaH/svawaMwra_rUpa_se
jEse_ho	jEse_ho/jEse_BI_ho
uxAharaNa_svarUpa	uxAharaNArWa/uxAharaNawaH/uxAharaNa_svarUpa/masalana
kuCa	kuCa
Ajawaka	aba_waka/aBI_waka/Aja_waka/abawaka/aBIwaka/Ajawaka/ajahuz/ajahUz/ajo/ajOM/abalaga
AparUpa	svayaM/svawaH/Kuxa/KZuxa/Apa/ApahI/apaneApa/KZuxa_hI/sAkRAw/sAkRAwa/asAlawana/AparUpa
usa_ora	uXara/usa_ora/pare/uwa/uwana
KZuxa-ba-KZuxa	svawaH/apaneApa/KZuxa-ba-KZuxa/KZuxabaKZuxa/Kuxa-ba-Kuxa/KuxabaKuxa
