usa_jagaha	vahAz/usa_jagaha
pahile_pahala	pahale_pahala/praWamawaH/sarva_praWama/sarvapraWama/SurU_meM/pahale-pahala/avvalana/pahile_pahala/pahile_pahala/pahale_pahala/praWamawaH/sarva_praWama/sarvapraWama/SurU_meM/pahale-pahala/avvalana/pahile_pahala/pahile_pahala
xanAxana	lagAwAra/anavarawa/niraMwara/niranwara/wAbadZawodZa/xanAxana/sawawa/XUAzXAra/anaMwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadZAXadZa/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAMwa/asarAra/aharaha/AsaMga/Asafga/ikawAra/xanAxana
BIwara	aMxara/anxara/BIwara/aMxara/anxara/BIwara
saxEva	hameSA/saxA/niwya/saxEva/niwya_prawi/sarvaxA/sarvaWA/haraxama/haravakwa/harasamaya/xina-rAwa/xinarAwa/xina_rAwa/rAwa-xina/rAwaxina/niSixina/nisa-vAsara/nisavAsara/niSivAsara/niranwara/niraMwara/anavaXi/sarvaxEva/aharaha/pinnA/aharniSa/ahorAwra
aparAXAnusAra	yaWAparAXa/aparAXAnusAra
apArWa	vyarWa/PZajUla/PijUla/PZijUla/anerA/yoM_hI/vqWA/apArWa/bAxa-havAI/bAxahavAI/ahewu/ahewuka/aviraWA
ke_aMxara	ke_aMxara/ke_anxara/ke_BIwara/meM
sAWa	sAWa-sAWa/sAWa_hI/sAWa_hI_sAWa/sAWa/eka_sAWa/ikatTA/ikajora/ekawra/ikawra
sahajawA_se	AsAnI_se/sahajawA_se/saralawA_se/Kela_Kela_meM/sahajawaH/anEse
wejZI_se	kasakara/joraxAra/weja/wejZa/wIvra/wejZI_se/jZora_se/wejI_se/jora_se/wIvrawA_se
labareja	labAlaba/labareja/labarejZa
AKirakAra	aMwawaH/aMwawogawvA/aMwa_meM/AKira/AKZira/AKZirakAra/AKirakAra/howe_havAwe
ekaMga	akelA/akele/kevala/sirPZa/mAwra/KAlI/KZAlI/basa/nipata/mahajZa/sirPa/wanhA/wanahA/ekAkI/ekameva/ekaMga/ikelA
rAwoM-rAwa	rAwoM-rAwa/rAwoMrAwa
SiRtawaH	SiRtawaH/saByawaH/bAsaUra/SAlInawaH/SiRtAcArapUrvaka/salIkZe_se
AjFApUrvaka	AjFApUrvaka/AxeSapUrvaka/sAxeSa/AxeSa_se
jZabarana	balapUrvaka/barabasa/jZabaraxaswI/jabaraxaswI/jZabarana/jabarana/barajZorI
