##Added by Roja (25-05-12)
##Science Compound Dictionary .
##Extracted from 'Class10_Science_Index_NCERT_TextBook_HindiEdition.pdf'
#Science_word	Hindi_word_in_wx
############################################################################
Egg_cell	aMdakoSikA
Far_point	xUra_¯baxu
Optic_nerve	xqk_waMwrikA/cakRuka_waMwrikA
Rigid_structure	xqJZa_saMracanA
Field_of_view	xqRti_kRewra
Retina	xqRtipatala
Aperture	xvAraka
Binary_fission	xviKaMdana
Diatomic	xviparamANu
Bio-focal_lens	xviPokasI_leMsa
Double_displace-_ment_reaction	xvi-visWApana_aBikriyA
Dendrite	xrumikA
Artery	XamanI
Tetanus	XanuswaMBa
Metallic	XAwvika
Current_rating	XArA_anumAwAMka
Rheostat	XArA_niyaMwraka
Current_carrying	XArAvAhI
Pole	Xruva
Renewable	navIkaraNIya
Seedling	navoxBixa
Nuclear	nABikIya
Nuclear_reactor	nABikIya_riektara
Neon	nioYna
Hypermetropia	nikata_xqRti
Near_point	nikata_¯baxu
Niche	nikewa
Nickel	nikela
Emergent_ray	nirgawa_kiraNa
Eye	newra
Eyeball	newragolaka
Aqueous_humour	newroxa
Lemon_juice	nIMbU_kA_rasa
Ventricle	nilaya
Fertilisation	niRecana
Interference	niRkarRa
Extraction	niRkarRaNa
Calcination	niswApana
Filtration	nisyaMxana
Petal	paMKudZI
Ciliary_muscles	pakRamABI_peSiyAz
Substance	paxArWa
Atomic_mass	paramANu_xravyamAna
Atomic_number	paramANu_saMKyA
Atomic_size	paramANu_sAijZA
Pollen_grain	parAga_kaNa
Pollination	parAgaNa
Anther	parAga_koSa
Cross_pollination	para_parAgaNa
Reflection	parAvarwana
Reflected_ray	parAvarwiwa_kiraNa
Osmosis	parAsaraNa
Calculation	parikalana
Splitting	parikRepiwa
Phenomenon	pariGatanA
Iris	pariwArikA
Solenoid	parinAlikA
Circuit	paripaWa
Convention	paripAtI
Variants	parivarwa
Development	parivarXana
Acronym	parivarNI_Sabxa
Appendix	pariSoRikA
Refining	pariRkaraNa
Sophisticated	pariRkqwa
Environment	paryAvaraNa
Wind	pavana
Rear_view_mirror	paSca_xqSya_xarpaNa
Hind_brain	paSca_maswiRka
Digestion	pAcana
Conventional	pAraMparika
Transmitted	pAragawa
Transmission	pAragamana
Transparent	pAraxarSI
Eco_system	pAriwaMwra
Loop	pASa
Ecological	pArisWiwika
Eco-system	pArisWiwika_waMwra
Side	pASrva
Lateral_inversion	pASrva_parivarwana
Parallel_combination	pASrva_saMyojana
Wrought	pitavA
Gallbladder	piwwASaya
Bile_juice	piwwa_rasa
Analgesic	pIdZAhArI
Stamen	puMkesara
Pupil	puwalI
Feedback	punarBaraNa
Regeneration	punarUxBavana,_punarjanana
Reabsorption	punarvaSoRaNa
Recrystallisation	punaH_kristalIkaraNa
Suffix	pUrvalagna
Green_house	pOXa_Gara
Potassium	potESiyama
Nutrition	poRaNa
Trophic_level	poRI-swara
Systole	prakuMcana
Process	prakrama
Dispersion_of_light	prakASa_kA_parikRepaNa
Photosynthesis	prakASasaMSleRaNa
Light_sensitive_cell	prakASa_sugrAhI_koSikA
Optical	prakASika
Optics	prakASikI
Scattering	prakIrNana
Abundance	pracura
Copy	prawikqwi
Copies	prawirUpa
Image	prawi¯baba
Antibiotics	prawijEvika
Symbol	prawIka
Resistance	prawiroXa
Antiseptic	prawiroXI
Resistivity	prawiroXakawA
Reflex_action	prawivarwI_kriyA
Reflex_arc	prawivarwI_cApa
Transplantation	prawyAropaNa
Alternating_current	prawyAvarwI_XArA
Illumination	praxIpwi
Management	prabaMXana
Dominant_traits	praBAvI_lakRaNa
Cerebrum	pramaswiRka
Disposable	prayojya_(nivarwanIya)
Tendency	pravqwwi
Parameter	prAcala
Natural_selection	prAkqwika_cayana
Observation	prekRaNa
Plug_key	plaga_kuMjI
Fullerenes	Pularena
Lungs	PuPPusa
Pulmonary_veins	PuPPusa_SirAez
Turns	Pere
Focal_length	Pokasa_xUrI
Fluorine	PluorIna
Fleming's_left	Ple¯maga_kA_vAma
hand_rule	haswa_niyama
Multicellular	bahukoSika
Multiple_fission	bahuKaMdana
Sterile_flower	baMXya_puRpa
Sepal	bAhya_xala
Object	¯baba
Ovule	bIjAMda
Spore	bIjANu
Effervescence	buxabuxAhata
Starvation	buBukRaNa
Bubble	bulabulA
Colon	bqhaxrAMwra
Barium	beriyama
Bowmen's_capsule	bomana_saMputa
Boron	boroYna
Bromine	bromIna
Roasting	Barjana
Geothermal_energy	BUwApIya_UrjA
Reddish_brown	BUrA_lAla
Earth_crust	BU-parpatI
Earth_wire	BU-saMparka_wAra
Embryo	BrUNa
Bee-sting	maXumakKI_kA_daMka
Midbrain	maXya-maswiRka
Xerophyte	marUxBixa
Tarnish	malIna
Brain	maswiRka
Encephalitis	maswiRka_SoWa
Aorta	_(maswiRka_jvara)mahAXamanI
Vena_cava	mahASirA
Ocean_thermal_Energy	mahAsAgarIya_wApIya_UrjA
Carnivore	mAMsAhArI
Human_eye	mAnava_newra
Milk_of_magnesia	milka_oYPa_mEgniSiyA
Alloy	miSra_XAwu
Micelles	misela
Budding	mukulana
Principal_axis	muKya_akRa
Principal_focus	muKya_Pokasa
Urethra	mUwramArga
Ureter	mUwra_vAhinI
Mendelléev	meMdelIPa
Spinal_cord	merUrajju
Cataract	mowiyA_¯baxa
Molasses	molesasa_(sIrA)
Liver	yakqwa
Galvanisation	yaSaxalepana
Gamete	yugmaka
Zygote	yugmanaja
Vagina	yoni
Puberty	yOvanAraMBa
Colour	raMga
Stomata	raMXra
Chemical_reaction	rAsAyanika_aBikriyA
Chemical_formula	rAsAyanika_sUwra
Rubidium	rUbidiyama
Retina	retInA_(xqRtipatala)
Disinfectant	rogANunASaka
Short_circuit	laGu-pacana
Lymph	lasIkA
Salivary_gland	lAlAgraMWi
Saliva	lAlArasa
Sex_determination	¯laga_nirXAraNa
Sex_chromosome	¯laga_sUwra
Lithium	lIWiyama
Lens	leMsa
Power_of_lens	leMsa_kI_kRamawA
Inherited_traits	vaMSAgawa_lakRaNa
Inherit	vaMSAgawa
Inheritance	vaMSAgawi
Radius_of_curvature	vakrawA_wrijyA
Style	varwikA
Stigro	varwikAgra
Transportationsystem	vahana_waMwra
Curved_mirror	vakriwa_xarpaNa
Forest_conservation	vana_saMrakRaNa
Classification	vargIkaraNa
Colour	varNa
Fat	vasA
Testes	vqRaNa
Individual	vyaRti
Transpiration	vARpowsarjana
Sewage	vAhiwa_mala
Version	vikalpa
Evolution	vikAsa
Radiation	vikiraNa
Scattering	vikIrNana
Rancidity	vikqwagaMXiwA
Denature	vikqwa
Fusion	viKaMdana
Turbulent	vikRubXa
Variation	vicalana
Angle_of_deviation	vicalana_koNa
Deviation	vicaraNa
Distribution	viwaraNa
Electricity	vixyuwa
Electrolysis	vixyuwa_apaGatana
Electric_iron	vixyuwa_iswarI
Electrical_generator	vixyuwa_janiwra
Electro_magnet	vixyuwa_cuMbaka
Electromagnetic_induction	vixyuwa_cuMbakIya_preraNa
Electric_current	vixyuwa_XArA
Electric_meter	vixyuwa_mApaka_yaMwra
Electric_motor	vixyuwa_motara
Live_wire	vixyunmaya_wAra
Insulation	vixyuwa_roXana
Insulator	vixyuwaroXI
Electronegative	vixyuwa__qNAwmaka
Configuration	vinyAsa
Differentiation	viBexana
Septum	viBAjika
Potential_difference	viBavAMwara
Distinguish	viBexa
Splitting	viBakwa
Contrasting	viRamAMgI
Dissociation	viyojana
Dissociation_reaction	viyojana_aBikriyA
Disfigurement	virUpaNa
Solution	vilayana
Heterotroph	viRama_poRI
Diffraction	vivarwana
Enlarged	vivarXiwa
Hot_spots	viSiRta_sWala
Displacement	visWApana
Displacement	visWApana_aBikriyA
Electrovalent_compound	vExyuwa_saMyojaka_yOgika
Global_warming	vESvika_URmIkaraNa
Electrical	vExyuwa
Kidney	vqkka
Nephron	vqkkANu
Growth	vqXxi
Conical	SaMkvAkAra
Verigated	Sabaliwa
Quench	Samana
Surgery	Salya
Herbivore	SAkAhArI
Relaxation	SiWilawA
Vein	SirA
Penis	SiSna
Vas_deferens	SukravAhinI
Seminal_vesicle	SukrASaya
Catenation	_SrAqMKalana
Chain_Reaction	_SrAqMKalA_aBikriyA
Purification	SoXana
Gradation	SreNIkaraNa
Series_combination	SreNI_saMyojana
Respiration	Svasana
Bronchi	SvasanI
Trachea	SvAsanalI
Hexagonal_array	RatakoNIya_vyUha
Compile	saMkaliwa
Concentration	saMkenxraNa
Organisation	saMgaTana
Corrosion	saMkRAraNa
Harvesting	saMgrahaNa
Ingredient	saMGataka
Progeny	saMwawi
Saturation	saMwqpwa
Polluted	saMxURiwa
Contamination	saMxURaNa
Joint	saMXi
Sustainable_development	saMpoRiwa_vikAsa
Digestion	saMpAcana,_pAcana
Accommodation	samaMjana
Power_of_accommodation	samaMjana_kRamawA
Valency	saMyojakawA
Combination_reaction	saMyojana_aBikriyA
Fusion	saMlayana
Fission	viKaMdana
Vascular_Bundle	saMvahana_baMdala
Detection	saMsUcana
Resource	saMsAXana
Approximate	sannikata
Isotopes	samasWAnika
Population	samaRti
Homologous_series	samajAwIya_SreNI
Impact	samAGAwa
Exhaustible	samApya
Equation	samIkaraNa
Group	samUha
Versatile	sarvawomuKI
Concentration	sAMxraNa
Synthetic	sAMSleRika
Resources	sAXana
Appliance	sAXiwra
Saponification	sAbunIkaraNa
Homogeneous	samAMgI
Most_probable_number_(MPN)	sArvaprAyika_saMKyA
Universal_Indicator	sArvasUcaka
Synapse	sinepsa
Vinegar	sirakA
Terminals	sire
Cesium	sIjiyama
Straight	sIXI
Conductor	sucAlaka
Goldsmith	sunAra_(svarNakAra)
Distinct	suspaRta
Least_distance_of_distinct_vision	suspaRta_xarSana_kI_alpawama_xUrI
Micro_organism	sUkRma_jIva
Micro-evolution	sUkRma-vikAsa
Indicator	sUcaka
Formula	sUwra
Solar_cooker	sOra_kukara
Solar_water_heater	sOra_jala_wApaka
Solar_cell	sOra_sela
Solar_constant	sOra_sWirAMka
Sodium	sodiyama
Coagulation	skaMxana
Strontium	stroYnSiyama
Spectrum	spektrama
Self_sustaining_fission	svapoRI_viKaMdana
Cornea	svacCamaMdala/koYrniyA
Self_sustaining	svanirvAha
Autotroph	svapoRI
Self_sustaining_fission	svapoRI_viKaMdana
Self-pollination	svaparAgaNa
Helium	hIliyama
