##Added by Roja (04-05-12)
##Physics Compound Dictionary .
##Extracted from 'Class11_Physics2_Glossary_NCERT_TextBook_HindiEdition.pdf'
#physics_word	Hindi_word_in_wx
############################################################################
framework	DAzcA
radiation	vikiraNa
sink(of heat)	aBigama
refrigerator	praSIwaka
coefficient_of_performance	niRpAxana_guNAMka
idealised_reversible_process	AxarSIkqwa_uwkramaNIya_prakrama
asymmetry	asamamiwi
semi-static	arXa_sWira
conservative_force	akRayakArI_bala
carnot_engine	kArno_iMjana
carnot_cycle	kArno_cakra
dissipative_force	kRayakArI_bala
microscopic_constituent	sUkRma_saMGataka
thermal_capacity/heat_capacity	URmAXAriwA
molar_volume(22.4 l at stp)	grAma-aNuka_Ayawana
absorbed	avaSoRiwa
boiling_point	kvaWanAMka
melting_point	galanAMka
heat_insulator	URmAroXI
adiabatic_wall	ruXxoRma_Biwwi(xIvAra)
thermometry	wApamiwi
thermocouple	wApayugma
thermal_expansion	URmIya_prasAra
constant_volume_thermometer	sWira_Ayawana_wApamApI
incompressibility	asaMpIdyawA
condensed	saMGaniwa
young's_modulus	yaMga_guNAMka/yaMga_prawyAsWawA_guNAMka
approximation	sannikatana
thermal_stress	URmIya_prawibala
compressive_strain	saMpIdana_vikqwi
cross_section	anuprasWa_kAta
calorimeter	uQRmAmApI/kElorImItara
molar_specific_heat	molIya_viSiRta_URmA
thermostat	wApasWAyI
distinct	suspaRta
isotherm	samawApa_reKA
quasi-static	sWEwikakalpa
kelvin_scale	kelvina_mApakrama
isochoric	samaAyawanika
conduction	saMcaraNa
convection	saMvahana
radiation	vikiraNa
Maxwell	mEksavela
Newton	nyUtana
principal_axis	muKya_akRa
electromagnetic	vExyuwacumbakIya/vExyuwa_cumbakIya
dispersion	parikRepaNa/vikRepaNa
point_of_view	xqRti
wavelength	warafgaxErGya
since	isalie
transmit	preRiwa
retina	xqRti_patala
#dimension	vima
##multi_word_expressions
of_course	vAswava_meM
relative	ApekRa
force_of_gravity	guruwva_bala
reaction_force	aBilamba_bala
electromagnetism	vixyuwa_cumbakawva
nonuniform	asamAna
