##Added by Roja (25-05-12)
##Science Compound Dictionary .
##Extracted from 'Class10_Science_Index_NCERT_TextBook_HindiEdition.pdf'
#Science_word	Hindi_word_in_wx
############################################################################
Disfigurement	virUpaNa
Disinfectant	rogANunASaka
Dispersion_of_light	prakASa_kA_parikRepaNa
Displacement	visWApana/visWApana_aBikriyA
Disposable	nivarwanIya/prayojya
Disprove	apramANiwa/asawya
Dissociation_reaction	viyojana_aBikriyA
Dissociation	viyojana
Distinct	suspaRta
Distinguish	viBexa
Distribution	viwaraNa
Diverging	apasArI
Dobereiner	dAberAinara
Dominant_traits	praBAvI_lakRaNa
Double_displacement_reaction	xvi-visWApana_aBikriyA
down_stream	arXa_pravAha
d/s	arXa_pravAha
Ductility	wanyawA
Earlobe	karNapAli
Earth_crust	BU-parpatI
Earth_wire	BU-saMparka_wAra
Ecological	pArisWiwika
Eco-system	pArisWiwika_waMwra/pAriwaMwra
Effervescence	buxabuxAhata
Efficiency	xakRawA
Egg_cell	aMdakoSikA
Electrical_generator	vixyuwa_janiwra
Electrical	vExyuwa
Electric_current	vixyuwa_XArA
Electric_iron	vixyuwa_iswarI
Electricity	vixyuwa
Electric_meter	vixyuwa_mApaka_yaMwra
Electric_motor	vixyuwa_motara
Electrolysis	vixyuwa_apaGatana
Electromagnetic_induction	vixyuwa_cuMbakIya_preraNa
Electro_magnet	vixyuwa_cuMbaka
Electronegative	vixyuwa_qNAwmaka
Electrovalent_compound	vExyuwa_saMyojaka_yOgika
Element	wawva
Embryo	BrUNa
Emergent_ray	nirgawa_kiraNa
Encephalitis	maswiRka_jvara/maswiRka_SoWa
Endothermic	AzwaroRmi/URmASoRI
Enlarged	vivarXiwa
Environment	paryAvaraNa
Equation	samIkaraNa
Equipment	upaskara
Essence	iwra
Esterification	estarIkaraNa
Evolution	vikAsa
Exceptionally	awiSaya_rUpa_meM
Excretion	uwsarjana
Exhaustible	samApya
Exothermic	URmAkRepI
Extraction	niRkarRaNa
Eye	AzKa/newra
Eyeball	newragolaka
Eye_lens	aBinewra_leMsa
Famine	xurBikRa
Far_point	xUra_biMxu
Fat	vasA
Feedback	punarBaraNa
Fermentation	kiNvana
Fertilisation	niRecana
Field_of_view	xqRti_kRewra
Filter	CAnanA
Filtration	nisyaMxana
Fire_extinguisher	agniSAmaka
Fission	viKaMdana
Fleming's_left	PlemiMga_kA_vAma
Fluorine	PluorIna
Focal_length	Pokasa_xUrI
Food_chain	AhAra_SrqMKalA
Food_web	AhAra_jAla
Fore_brain	agra_maswiRka
Forest_conservation	vana_saMrakRaNa
Formula	sUwra
Fossil_fuel	jIvARmI_IMXana
Fossil	jIvASma
Fragmentation	KaMdana
Frequency	Avqwwi
Fullerenes	Pularena
Fusion	saMlayana/viKaMdana
Gallbladder	piwwASaya
Galvanisation	yaSaxalepana
Gamete	yugmaka
Gastric_gland	jaTara_graMWi
Gastric_juice	jaTara_rasa
Genetic_material	AnuvaMSika_paxArWa
Geothermal_energy	BUwApIya_UrjA
Glitter	camaka
Global_warming	vESvika_URmIkaraNa
Glomerulus	koSikAgucCa
Glow	jalanA
Goldsmith	sunAra/svarNakAra
Gradation	SreNIkaraNa
Granulated	xAnexAra
Green_house	pOXa_Gara
Group	samUha
Growth	vqXxi
hand_rule	haswa_niyama
Hardness	kaTorawA
Harvesting	saMgrahaNa
Helium	hIliyama
Herbivore	SAkAhArI
Heredity	AnuvaMSikawA
Heterotroph	viRama_poRI
Hexagonal_array	RatakoNIya_vyUha
Hind_brain	paSca_maswiRka
Homogeneous	samAMgI
Homologous_series	samajAwIya_SreNI
Hot_spots	viSiRta_sWala
Human_eye	mAnava_newra
Humid	Arxra
Hydrophilic	jalarAgI
Hydrophobic	jalavirAgI
Hydro_power_plant	jala_vixyuwa_saMyaMwra
Hypermetropia	nikata_xqRti
Hypertension	ucca_rakwacApa
Illumination	praxIpwi
Image	prawibiMba
Impact	samAGAwa
Impurity	apaxravya
Incident_ray	Apawiwa_kiraNa
Incubation	URmAyana
Indicator	sUcaka
Indigestion	apaca
Individual	vyaRti
Inert	akriya
Inert_gas	akriya_gEsa
Inexhaustible	akRaya
Ingredient	saMGataka
Inheritance	vaMSAgawi
Inherited_traits	vaMSAgawa_lakRaNa
Inherit	vaMSAgawa
Insoluble	avileya
Insulation	URmAroXana/vixyuwa_roXana
Insulator	vixyuwaroXI
Interdependent	anyonyASriwa
Interface	aMwarApqRTa
Interference	niRkarRa
Intestine_juice	Azwra_rasa
Intestine	kRuxrAMwa
Iodine	AyodIna
Iris	pariwArikA
Irritation	jalana
Isotopes	samasWAnika
Joint	saMXi
Kidney	vqkka
Larynx	kaMTa
Lateral_inversion	pArSrva_parivarwana
Least_distance_of_distinct_vision	suspaRta_xarSana_kI_alpawama_xUrI
Lemon_juice	nIMbU_kA_rasa
Lens	leMsa
Life_process	jEva-prakama
Light_sensitive_cell	prakASa_sugrAhI_koSikA
Lithium	lIWiyama
Liver	yakqwa
Live_wire	vixyunmaya_wAra
Longitudinal	anuxErGya
Loop	pASa
Lungs	PuPPusa
Lymph	lasIkA
Magnetic_compass	xiksUcaka_yaMwra
Magnetic_field_lines	cuMbakIya_kRewra_reKAez
Magnetic_needle	xiksUcI
Magnetic_Resonance_Imaging(MRI)	cuMbakIya_anunAxa_prawibiMbana
Magnetisation	cuMbakana
Magnified	AvarXiwa
Maintenance	anurakRaNa
Malfunction	kusaMkriyA
Malleability	AGAwavarXyawA
Management	prabaMXana
MendellWaUev	meMdelIPa
Meningitis	maswiRkAvaraNa_SoWa/wanikA
Metallic	XAwvika
Micelles	misela
Micro-evolution	sUkRma-vikAsa
Micro_organism	sUkRma_jIva
Midbrain	maXya-maswiRka
Milk_of_magnesia	milka_oYPa_mEgniSiyA
Mineral	Kanija
Mirror	xarpaNa
Moisture	Arxra
Molasses	molesasa/sIrA
Monoculture	ekala_kqRi
Most_probable_number(MPN)	sArvaprAyika_saMKyA
Multicellular	bahukoSika
Multiple_fission	bahuKaMdana
Myopia	xUraxqRti
Natural_selection	prAkqwika_cayana
Near_point	nikata_biMxu
Neon	nioYna
Nephron	vqkkANu
Nerve_impulse	waMwrikA_Avega
Nerve	waMwrikA
Neutralisation	uxAsInIkaraNa
Neutral_wire	uxAsIna_wAra
Niche	nikewa
Nickel	nikela
Noble_gas	uwkqRta_gEsa
Non-Corrosive_base	asaMkRAraka_kRAraka
Non-metalic	aXAwvika
Non-renewable	anavIkaraNIya
Nozzle	waMdu
Nuclear	nABikIya
Nuclear_reactor	nABikIya_riektara
Nutrition	poRaNa
Object	biMba
Observation	prekRaNa
Ocean_thermal_Energy	mahAsAgarIya_wApIya_UrjA
Octave	aRtaka
Octet	aRtaka
Oesophagus	grAsikA
Olfactory	gaMXIya
Opaque	apAraxarSI
Optical	prakASika
Optic_nerve	cakRuka_waMwrikA/xqk_waMwrikA
Optics	prakASikI
Ore	ayaska
Organisation	saMgaTana
Organism	jIva
Osmosis	parAsaraNa
Ovary	aMdASaya
Over_loading	awi_BAraNa
Oviduct	aMdavAhinI
Ovule	bIjAMda
Oxidation	AksIkaraNa/upacayana
Pancreas	agnyASaya
Parallel_combination	pArSrva_saMyojana
Parameter	prAcala
Penis	SiSna
Periodic	Avarwa
Periodic_law	Avarwa_niyama
Petal	paMKudZI
Phenomenon	pariGatanA
Photosynthesis	prakASasaMSleRaNa
Plug_key	plaga_kuMjI
Pole	Xruva
Pollen_grain	parAga_kaNa
Pollination	parAgaNa
Polluted	saMxURiwa
Population	samaRti
Potassium	potESiyama
Potential_difference	viBavAMwara
Power_of_accommodation	samaMjana_kRamawA
Power_of_lens	leMsa_kI_kRamawA
Precipitate	avakRepa
Precipitation_reaction	avakRepaNa_aBikriyA
Prefix	anulagna
Presbyopia	jarA_xUra_xqRtiwA
Principal_axis	muKya_akRa
Principal_focus	muKya_Pokasa
Process	prakrama
Producers	uwpAxaka
Progeny	saMwawi
Properties	guNaXarma
Puberty	yOvanAraMBa
Pulmonary_veins	PuPPusa_SirAez
Pupil	puwalI
Purification	SoXana
Quench	Samana
Rabies	jala-BIwi
Radiation	vikiraNa
Radius_of_curvature	vakrawA_wrijyA
Radius	wrijyA
Rainbow	iMxraXanuRa
Rancidity	vikqwagaMXiwA
Reabsorption	punarvaSoRaNa
Reactant	aBikAraka
Rear_view_mirror	paSca_xqSya_xarpaNa
Recessive_traits	apraBAvI_lakRaNa
Recommendation	anuSaMsiwa
Recrystallisation	punaH_kristalIkaraNa
Reddish_brown	BUrA_lAla
Redox_reaction	aBikriyA
Reduction	apacayana
Refining	pariRkaraNa
Reflected_ray	parAvarwiwa_kiraNa
Reflection	parAvarwana
Reflex_action	prawivarwI_kriyA
Reflex_arc	prawivarwI_cApa
Refract	apavarwa
Refracted_ray	apavarwiwa_kiraNa
Refraction	apavarwana
Refractive_index	apavarwanAMka
Regeneration	punarjanana/punarUxBavana
Relaxation	SiWilawA
Renewable	navIkaraNIya
Reproduction	janana
Reservoir	jalASaya
Resistance	prawiroXa
Resistivity	prawiroXakawA
Resource	saMsAXana
Resources	sAXana
Respiration	Svasana
Response	anukriyA
Retina	retInA/xqRtipatala
Rheostat	XArA_niyaMwraka
Right_hand_thumb_rule	xakRiNa-haswa_aMguRTa_niyama
Rigid_structure	xqJZa_saMracanA
Roasting	Barjana
Rubidium	rUbidiyama
Rudimentary_eye	alpavarXiwa_AzKa
Rust	jaMga
Saliva	lAlArasa
Salivary_gland	lAlAgraMWi
Saponification	sAbunIkaraNa
Saturation	saMwqpwa
Scattering	prakIrNana/vikIrNana
Seedling	navoxBixa
Self-pollination	svaparAgaNa
Self_sustaining_fission	svapoRI_viKaMdana/svanirvAha
Seminal_vesicle	SukrASaya
Sepal	bAhya_xala
Septum	viBAjika
Series_combination	SreNI_saMyojana
Sewage	vAhiwa_mala
Sex_chromosome	liMga_sUwra
Sex_determination	liMga_nirXAraNa
Shell	koSa
Short_circuit	laGu-pacana
Side	pArSrva
Smell_receptor	GrANa_grAhI
Sodium	sodiyama
Solar_cell	sOra_sela
Solar_constant	sOra_sWirAMka
Solar_cooker	sOra_kukara
Solar_water_heater	sOra_jala_wApaka
Solenoid	parinAlikA
Solution	vilayana
Sophisticated	pariRkqwa
Sparkle	camakanA
Speciation	jAwi_uxBava
Spectacles	caSmA
Spectrum	spektrama
Spherical_mirror	golIya_xarpaNa
Sphincter_muscles	aviroXinI_peSI
Spinal_cord	merUrajju
Splitting	parikRepiwa/viBakwa
Spore	bIjANu
Sprinkler	CiwarAvaka
Stakeholder	xAvexAra
Stamen	puMkesara
Starvation	buBukRaNa
Stereopsis	wrivima_cAkRukI
Sterile_flower	baMXya_puRpa
Stigro	varwikAgra
Stimulus	uxxIpana
Stomach	AmASaya
Stomata	raMXra
Straight	sIXI
Strontium	stroYnSiyama
Stung	daMkamArA
Style	varwikA
Substance	paxArWa
Suffix	pUrvalagna
Surgery	Salya
Survival	uwwarajIviwA
Sustainable_development	saMpoRiwa_vikAsa
Symbol	prawIka
Synapse	sinepsa
