#civil dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
###############################################################################
a.i.r.a.c._noun	e.AI.Ara.e.sI.
apex_noun	SIrRa/ucca
apparatus_noun	upakaraNa
appendant_noun	upAbanXa/saMlagnaka
appendix_noun	pariSiRta
appliance_noun	upakaraNa
applicability_noun	lAgU_honA/prayojyawA
applicant_noun	Avexaka
application_noun	Avexana
appointment_noun	niyukwi
apportionment_noun	praBAjana/vimAnana/saMvimAjana
appraisal_noun	AMkanA/mUlyani
apprehension_noun	SaMkA
apprentice_noun	praSikRu/praSikRaNArWI
apprised_noun	avagawa_karAnA
approach_noun	nikatawA/pahuMca/ruKa/saMparka_karanA
approbation_noun	anumoxana
appropriation_noun	viniyoga
approval_noun	anumoxana/svIkqwi
apron_noun	eprana
apropos_noun	ke_saMxarBa_meM
arbitrary_noun	eka_waraPA/manamAnA
arch_noun	maharAba
archives_noun	aBileKAgAra
arduous_noun	kaTina/xuRkara
arrears_noun	bakAyA
arrival_noun	Agamana
article_noun	anucCexa
artisan_noun	SilpI
aspersion_noun	lAMCana/Aropa
assayer_noun	pAraKI/mUlyAMkanakarwA
assemble_noun	samavewa_honA/ekawra_honA
assent_noun	sahamawi/svIkqwi/anumawi
assessed_noun	nirXAriwa/mUlyAMkiwa
assessment_noun	nirXAraNa/mUlyAMkana/Akalana
asset_noun	parisampawi
assets_noun	parisaMpawwiyAM/AswiyAM
atmosphere_noun	vAyumaMdala
atmospherics_noun	vAyumaMdalIya_kolAhala
attitude_noun	muxrA/ravEyA/pravqwwi
auction_noun	nIlAmI
authority_noun	prAXikaraNa
autopilot_noun	oYtopAyalata
autorotation_noun	svaGUrNana/oYto_roteSana
aviation_noun	vimAnana
aviator_noun	vimAna_cAlaka
avionics_noun	vEmAnikI/evioniksa
axis_noun	akRa
axle_noun	XurA/XurI/eksala
backing_noun	piCalA_BAga/pqRTAXAra
baffle_noun	bAXikA
balance_noun	SeRa
ballast_noun	gittI
ballistic_noun	prakRepika
ban_noun	prawibaMXa/roka
bankrupt_noun	xivAliyA
bar_noun	CadZa
barograph_noun	vAyuxAba_leKI
barometer_noun	vAyuxAba_mApI
baroreceptor_noun	xAbagrAhI
barrier_noun	avaroXa/roXikA/roXa
battery_noun	bEtarI
beacon_noun	bIkana/bImana/saMkewaxIpa
beading_noun	mAnikAyana
beam_noun	Xarana/kiraNa_puMja
bearing_noun	beyariMga
beater_noun	WApI/bItara
beneficiaries_noun	lABArWI
benevolence_noun	hiwakAriwA
bid_noun	bolI
biennial_noun	xvivArRika
bifurcation_noun	xo_BAgoM_meM_bAMtanA/viBakwa_karanA
bilateral_noun	xvipakRIya
binding_noun	bAMXanA/baMXanI/bAXyakara/anivArya
biplane_noun	xvipaMKI_vimAna
blizzard_noun	barPAnI_wUPAna
boarding_noun	vimAna_para_savAra_honA/bordiMga
body_noun	piMda/kAya/nikAya
boiler_noun	boYyalara
bolt_noun	kAbalA/bolta
bonafide_noun	vAswavika/sAvapUrvaka/sAva_se
bond_noun	baMXa-pawra/bAMda
bonus_noun	bonasa
boom_noun	gUMja/XUma
boring_noun	veXana/praveXana
borrowing_noun	karja/qNa
bounce_noun	kulAMca/uCAla
brake_noun	breka/AroXa
breakfast_noun	nASwA
breeze_noun	samIra
brevity_noun	saMkRipwawA
broadcasting_noun	prasAraNa
brochure_noun	vivaraNikA
budget_noun	bajata
bulletin_noun	buletina/samAcAra
buoyancy_noun	uwplAvakawA/plavanaSIlawA
business_noun	kAma-kAja/kArya/vyApAra
buy-back_noun	prawi-kraya/punaH_KarIxa
bye-law_noun	upaniyama
cabin_noun	kakRa/kebina
cabinet_noun	maMwrimaMdala/alamArI/petikA
cadre_noun	saMvarga/kAdara
calibrate_noun	aMSa-SoXana_karanA/aMSAkana_karanA
camber_noun	uBAra/nyujawA/kEmbara
camshaft_noun	kEma_SAPta
cancellation_noun	apavawa_rna/inarasa_na/raxxa_karanA/ivalo_pana/raxxakaraNa
candidate_noun	ummIxavAra/aByarWI
candidature_noun	ummIxavArI/aByarWiwA
canvassing_noun	mawArWana
capitulation_noun	AwmasamarpaNa_pawra
captain_noun	kEptana/kapwAna
carburization_noun	kArbana_vyApana
