#civil dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
###############################################################################
a.i.r.a.c._noun	e.AI.Ara.e.sI.
interrupter_noun	anwarAyijFa/aMwarAmaka
interruptions_noun	vyavaXAna/viGna/bAXa
interval_noun	aMwara/aMwarAla
intervene_noun	haswakRepa_karanA/bIca_meM_padZanA/xaKala_xenA
intervening_noun	maXyavarwI/anwaHsWa
interview_noun	sAkRAwkAra
intricate_noun	jatila/pecIxA
introduced_noun	puraHsWApiwa
introduction_noun	praswAvanA/paricaya
invalid_noun	aviXimAnya
investigation_noun	CAnabIna/anveRaNa
investment_noun	niveSa/pUMjI_niveSa
invoice_noun	bIjaka
isolator_noun	vilagakArI
iteration_noun	punarAvarwI
jack_noun	jEka
jamming_noun	avaroXa/saMkewa_avaroXana/jAma_karanA
janitor_noun	xaravAna/cOkIxAra/xvArapAla
jeopardise_noun	Kaware_meM_dAlanA/KatAI_meM_dAlanA
jerk_noun	JatakA
joining_noun	jodZanA
journalist_noun	pawrakAra
journey_noun	yAwrA/saPara
juliet_noun	julieta
junior_noun	kaniRTa
justification_noun	nyAyociwa/warkasaMgawa
keen_noun	uwsuka
keep_noun	XaranA/raKanA
keg_noun	CotA_pIpA
kerb_noun	upAMwa/karba
kilo_noun	kilo
kingdom_noun	rAjya
kingfisher_noun	kiMgaPiSara
kink_noun	vikuMca
knob_noun	goYTa
knock_noun	Kata-KatAnA
knot_noun	noYta_(gawi_kA_mApana)
knowledge_noun	jAnakArI
lab_noun	prayogaSAlA
labour_noun	Sramika/majaxUra
lack_noun	kamI
ladder_noun	nisenI/sIDZI/ni(kolana)SreNI/sopAna
laminate_noun	swarikA/patala/Apattana/patalana/swaraNa
land_noun	BUmi/uwAranA
landing_noun	avawaraNa_cOkI/cOkI/sopAna
lavatory_noun	prekRaNAlaya
ldeology_noun	vicAraXArA
leave_noun	CuttI/anumawi/prasWAna
levanter_noun	leventara_(pavana)
level_noun	wala/sawaha/samawala
liability_noun	xeyawA/xeyawAeM/xenaxArI
liaison_noun	samparka
licence_noun	lAisensa/anujFapwi
license_noun	lAiseMsa
licensee_noun	lAisensaXArI/anujFApI
lie-by_noun	paSrvikA
lift_noun	uwWApaka
lima_noun	limA
liquidator_noun	parisamApaka
log_noun	loYga
lounge_noun	viSrAma_kakRa
lubricant_noun	snehaka
lubrication_noun	snehana/wela_xenA
lubricator_noun	snehaka
luminous_noun	xIpwi/praxIpwi/jyowi
lunch_noun	xopahara_kA_Bojana/maXyAhnana_Boja
machinability_noun	maSInana-sukarawA
machine_noun	yaMwra/maSIna
magneto_noun	mEganito
magnifier_noun	AvarXaka
main_noun	muKya
maintenance_noun	anurakRaNa/raKa-raKAva
majority_noun	bahumawa/vayaskawA
manager_noun	prabaMXaka
mandatory_noun	AxeSAwmaka/aXixeSAwmaka
manipulation_noun	yukwi_prayoga
manoeurve_noun	prahaswana/kOSala
manpower_noun	janaSakwi
manufacturer_noun	vinirmAwA
map_noun	mAnaciwra
masking_noun	AvaraNa
matter_noun	mAmalA/viRaya
meals_noun	Bojana
mechanism_noun	waMwra/warIkA
meeting_noun	bETaka/saBA/goRTI/aXiveSana
member-in-charge_noun	praBArI_saxasya
member_noun	saxasya
membership_noun	saxasyawA
memorandat_noun	FApana
memorandumt_noun	FApana
merit_noun	guNa/yogyawA
message_noun	sanxeSa/sUcanA
metallic_noun	XAwuka
meteorograph_noun	mOsama_leKI
mica_noun	aBraka
micrography_noun	sUkRma_ciwraNa/sUkRma_AleKI
mike_noun	mAika
minimizing_noun	nyUnawamIkaraNa/nyUnIkaraNa
ministerial_noun	lipikavargIya/sacivIya
minority_noun	avayaskawA/alpasaMKyaka/alpamawa
minutes_noun	kAryavqwwa
miscellaneous_noun	prakIrNa/viviXa
misconduct_noun	kaxAcAra/apacAra/xurvyavahAra
misrepresentation_noun	anyaWA-kaWana/galawa_ciwraNa
mist_noun	kuhAsA
mitigate_noun	kama_karanA/GatAnA/Samana_karanA
mixer_noun	miSraka
modernization_noun	AXunikIkaraNa
modification_noun	parivarwana/pariSoXana
momento_noun	yAxagAra/niSAnI/smqwi_cihnana/smaraNa
monitoring_noun	praboXana/moYnItariMga
monoplane_noun	eka_paMKI_vimAna
mortagage_noun	rehana
mortar_noun	masAlA
mortgage_noun	baMXaka
motivation_noun	aBipreraNa
mould_noun	sAMcA
moulding_noun	saMcakana/sAMcA_nirmANa
multiengine_noun	maltI_iMjana/bahu-iMjana
multilateral_noun	bahupakRIya
multiplane_noun	bahu_paMKI_vimAna
nacelle_noun	naselle
negotiation_noun	bAwacIwa
neutral_noun	uxAsIna/nyUtrala
nomenclature_noun	nAma-waMwra/nAma_paxXawi
nominee_noun	nAmiwI
non-bailable_noun	ajamAnawIya/gEra-jamAnawI
non-combatant_noun	ayoXI/gEra-ladZAkU
non-compliance_noun	apAlana/ananupAlana/gEra-anupAlana
non-financial_noun	gEra-viwwIya
non-interference_noun	ahaswakRepa
non-judicial_noun	nyAyikewara
non-liability_noun	axeyawA
non-refundable_noun	apriwaxeya
non-saleable_noun	avikreya
non-statutory_noun	asAMviXika/gEra-kAnUnI
non-voted_noun	axawwamawa
normal_noun	sAmAnya/sAXAraNa
not-traceable_noun	pawA_nahIM_laga_rahA_hE/aprApya
notice_noun	sUcanA/jAnakArI
notification_noun	aXisUcanA
notified_noun	aXisUciwa
notional_noun	noSanala/sExXAMwika
notwithstanding_noun	ke_howe_hue_BI/ke_hone_para_BI
novice_noun	nOsiKiyA
nozzle_noun	noYjala/toMtI/wuMda
numbering_noun	saMKyAMkana
numeric_noun	aMkIya
oanidtertional_noun	sarvaxiSAwmaka
oath_noun	SapaWa
obedience_noun	AjFApAlana
obligatory_noun	bAXyakara
observability_noun	prekRaNIyawA
observation_noun	nirIkRaNa/avalokana_tIkA_tippaNI
obsolescence_noun	apracalana
offence_noun	aparAXa
office_noun	kAryAlaya
officer-in-charge_noun	praBArI_aXikArI
oiliness_noun	wEliwA
opaque_noun	apAraxarSI/apArya
operation_noun	pracAlana/paricAlana
opposition_noun	vipakRa/viroXa_karanA/prawivAxa_karanA
oppressed_noun	sawAyA_gayA/prawAdZiwa
option_noun	vikalpa
orders_noun	AxeSa
ordinance_noun	aXyAxeSa
organic_noun	jEva/jEvika
organisation_noun	saMgaTana
oriel_noun	JaroKA
ornamental_noun	sajAvatI/SoBAkArI/alaMkArI
oscar_noun	oYskara
oscillation_noun	xolana
oscillograph_noun	xolana_leKI
osslueion_noun	aXiXAraNa
outflow_noun	barhipravAha
outstanding_noun	bakZAyA
ovation_noun	jaya-jayakAra/aBinanxana/svAgawa
overcharge_noun	aXipraBAra/praBArAXikya
overflow_noun	aXipravAha/uwplAva
overhang_noun	pralamba
overhauling_noun	prawyavasWAna/jIrNoxXAra/ovarahoYla_karanA
overheated_noun	aXiwapwa
overlapping_noun	parwa_caDZAnA
overrunning_noun	awiXAyana
oversee_noun	nigarAnI_raKanA/xeKaBAla
overstability_noun	awisWAyiwva
painstaking_noun	pariSramI/aXyavasAyI/kaTina
pampero_noun	pEmparo
pamphlets_noun	parce
panel_noun	sUcI/pEnala/nAmikA
parachute_noun	pErASUta/CAwA
paradox_noun	viroXABAsa/vidambanA
parameter_noun	mAnaxaMda/AXAra/mAnaka
paramount_noun	parama/sarvocca/sarvopari
pardon_noun	kRamA
parking_noun	pArkana/pArka_karanA/avasWAma
particle_noun	kaNa
passenger_noun	yAwrI
passport_noun	pArapawra/pAsaporta
pathway_noun	paWikA
patronage_noun	saMrakRaNa/sahArA/praSraya/ASraya
paucity_noun	aBAva/kamI/alpawA
pauper_noun	akiMcana/nirXana
pavement_noun	kuttima/paWa
payload_noun	pEloda
payoff_noun	cukawA/BugawAna
pecuniary_noun	Xana-saMbaMXI/ArWika
penalties_noun	SAswiyAM/arWaxaNda
penalty_noun	SAswi/jurmAnA
pending_noun	laMbiwa
performance_noun	kAryakaraNa/niRpAxana
periodicity_noun	niyawa_avaXi_para_howe_rahanA
periphery_noun	parireKA/pariXi
perishable_noun	naSvara
perisphere_noun	parivqwa
perks_noun	anulabXiyAM/parilabXiyAM
permeability_noun	pAragamyawA
permit_noun	paramita
perpoising_noun	SiSukana
perquisite_noun	anulABa
persistent_noun	sawawa
persistently_noun	bAra-bAra/lagAwAra
personnel_noun	kArmika
pertinent_noun	saMgawa/sambaxXa
perusal_noun	avalokana/paDZanA
perverse_noun	anuciwa/vikqwa/BraRta
petition_noun	yAcikA
petitioner_noun	yAcikAkarwA
phonogram_noun	PonogrAma
phrases_noun	paxAvalI
pilers_noun	plAyarsa/plAsa
pilot-in-command_noun	muKya_pAyalata
pilot_noun	vimAna_cAlaka/pAyalata
pipe_noun	pAipa
pitch_noun	pica/aMwarAla
pitting_noun	garwana
pivot_noun	XurAgra/kIlaka/pivata/cala
plaintiff_noun	vAxI
plazometer_noun	xAboccawA_mApI/pIjo_mItara
pletting_noun	aMkana
plugging_noun	dAta_lagAnA/plagana
pointer_noun	saMkewaka/sUcaka
polarised_noun	Xu_raviwa/waraMgiwa
pole_noun	Xu_rava
policies_noun	nIwiyAM
porcelain_noun	cInI_mittI/porsalina
porpoising_noun	SiMSukana
post-dated_noun	uwwara-xinAMkiwa
post_noun	KaMBA/dAka/cOkI
postponement_noun	sWagana
potential_noun	vixyuwa_xAba/saMBAvya/kAryakRama
power_noun	Sakwi
pre-audit_noun	pUrva-leKA_parIkRA
pre-eminent_noun	sarvaSreRTa/sarvowwama/uwkqRta
preamble_noun	praswAvanA/uxxeSikA
precaution_noun	ehawiyAwa/sAvaXAnI/pUrvopAya
precedent_noun	pUrva_uxAharaNa
preclude_noun	roka_xenA/prawivAriwa_karanA
predetermined_noun	pUrvanirXAriwa
predominant_noun	praXAna/prabala/praBAvI/sarvAXika
prefabricated_noun	pUrvaraciwa/pUrvanirmiwa
preface_noun	AmuKa
preferred_noun	aXimAnI
preflight_noun	udZAna_pUrva
preheater_noun	pUrvawApaka
prejudice_noun	prawikUla_praBAva/pUrvAgraha/pUrvaXAraNA
prejudicial_noun	prawikUla/hAnikara
prerequisite_noun	pUrvApekRA/pUrvApekRiwa
prerogative_noun	paramAXikAra/viSeRAXikAra
presentation_noun	praswuwIkaraNa/praswuwi
preside_noun	saBApawiwva/aXyakRawA_karanA
presiding_noun	pITAsIna
pressed_noun	Agraha/anugraha
pressurization_noun	xabAva
presupposed_noun	pUrvakalpiwa
primer_noun	prAraMBaka
principle_noun	sixXAMwa/mUla
priority_noun	agrawA/prAWamikawA
privilege_noun	viSeRAXikAra
pro-rata_noun	AnupAwawaH/AnupAwika/yaWAnupAwa
probation_noun	parivIkRA
problem_noun	samasyA
procedure_noun	prakriyA/kriyAviXi
proceedings_noun	kAryavAhI/pragawi/pragamana/kAryavivaraNa
proceeds_noun	Agama/prApwi/lABa
proclamation_noun	GoRaNA/ux_GoRaNA
procurement_noun	prApaNa
proficiency_noun	pravINawA/nipuNawA
profile_noun	proPAila/
profiteering_noun	munAPAKorI/lABa-arjana
prohibited_noun	niRixXa
promotion_noun	paxonnawi
promulgate_noun	praKyApiwa_karanA/GoRiwa_karanA/jArI_karanA
promulgation_noun	praKyApana/pravarwana
proofing_noun	pramANana
propagate_noun	pracAra_karanA
propeller_noun	propelara
proposal_noun	praswAva/prasWApanA/viRaya
proscribe_noun	aBiniRixXa_karanA/prawibaMXiwa_karanA
protagonist_noun	samarWaka
protocol_noun	nayAcAra/protokoYla
prototype_noun	Axi
provided_noun	baSarwe/yaha_ki
provision_noun	prabaMXa/vyavasWA/prAvaXAna
proviso_noun	paraMwuka/Sarwa/upabaMXa
psychrometer_noun	sAkromItara/sAikromApI
publication_noun	prakASana
publicity_noun	pracAra
punishment_noun	xaMda
punture_noun	veXana/paMkcara
purview_noun	kRewra/sImA
quadruplicate_noun	cOharA/cAra_prawiyAM
quandary_noun	xuviXA/ulaJana/asamaMjasa
quantitative_noun	parimANAwmaka/mAwrAwmaka
quantum_noun	mAwrA
quarantine_noun	saMgaroXa
quartz_noun	sPatika/kvArtaja
quash_noun	aBiKaMdiwa_karanA
quasi-judicial_noun	arxXa-nyAyika
quebec_noun	kyUbEka
questionnaire_noun	praSnAvalI
quinquennial_noun	paMcavArRika/paMcavArRikI
quittance_noun	unmocana/CutakArA/BarapAI/rasIxa
quorum_noun	korama/gaNapUrwi
quotation_noun	sUcI/koteSana
radar_noun	rAdAra
radiation_noun	vikiraNa
radiator_noun	rediyetara/vikiraka
radiotelephony_noun	rediyo_teliPona_waMwra
raid_noun	CApA
ramp_noun	rEmpa
random_noun	sAMyogika/aniyamiwa
range_noun	sImA
rank_noun	ohaxA
ranking_noun	krama_vinyAsa
rates_noun	xareM
ratification_noun	sawyApana/aBipuRti/anusamarWana
rating_noun	nirXAraNa
ratio_noun	anupAwa
rational_noun	vivekapUrNa
rationale_noun	warkAXAra/mUlAXAra
rationalization_noun	ya_iu_kwakaraNa/Ociwya_sWApana/sa_v_u_yavasWIkaraNa
re-constitute_noun	punargaTana_karanA
re-evaporation_noun	punarvARpana
re-install_noun	punaH_sWApiwa_karanA/punaH_niyukwa_karanA
reachability_noun	upagamyawA
reactance_noun	prawiGAwa
reaeration_noun	punaHvAwana
recall_noun	punarAhAvAna
receiver_noun	aBigrAhI
receptacle_noun	aBigrAhI_pAwra
recirculation_noun	punaH_saMcAraNa
reckond_noun	samaJanA/ginanA/BarosA_raKanA
recognition_noun	anujFAna/mAnyawA
recommendation_noun	siPAriSa/anuSaMsA/saMswuwi
reconditioning_noun	prawyavasWApana
reconfirmation_noun	punaH_puRtikaraNa
reconsideration_noun	punarvicAra
record_noun	rikArda
recruitment_noun	BarwI
recurrence_noun	punarAvqwwi/Avqwwi
recursion_noun	prawivarwana
redeployment_noun	punaH_wEnAwI
redundant_noun	anAvaSyaka
refer_noun	vicArArWa_Baja_e_nA/havAlA_xana_e_A/ullaK_e_A_karanA
reference_noun	saMxarBa
references_noun	ulleKa
referendum_noun	janamawa_saMgraha
refinance_noun	punarviwwapUrwi
refractrometer_noun	uccawApa_sahamApI
refreshments_noun	jalapAna
refund_noun	XanavApasI
refute_noun	KaMdana_karanA/asvIkAra_karanA
regional_noun	kRewrIya
regulation_noun	niyaMwraNa/vyavasWApana/viniyama
regulatory_noun	viniyAmaka
reimburse_noun	prawipUrwi/prawipUrwi_karanA
reimbursement_noun	prawipUrwi/vApasI
reinstatement_noun	bahAlI/purnasWApanA
reiterate_noun	xoharAnA/punarAvqwwi_karanA
relaxation_noun	CUta/riyAyawa
relay_noun	rile
remuneration_noun	parilabXi
renewal_noun	navIyana/navIkaraNa
repaid_noun	axAyagI/lOtAnA/pana_u:_axAyagI/pana_u_Barga_u_wAna
repair_noun	marammawa
replacement_noun	prawisWApana
reports_noun	riporta/prawivexana
representation_noun	aByAvexana
representative_noun	prawiniXi
repudiation_noun	nirAkaraNa
repugnant_noun	prawikUla/viruxXa
requisition_noun	mAMga
rescind_noun	viKaMdana_karanA
reservation_noun	ArakRaNa
reserves_noun	BaMdAra/ArakRiwa
residence_noun	nivAsa
residuary_noun	avaSiRta
resignation_noun	wyAga_pZawra
resistance_noun	prawiroXa
resistor_noun	prawiroXaka
resolution_noun	saMkalpa
response_noun	anukriyA/uwwara/prawikriyA
restriction_noun	prawibaMXa/pAbaMxI/roka
result_noun	pariNAma
resultant_noun	pariNAmI
resume_noun	sArakqwa/punaH_kArya_AraMBa_karanA
retention_noun	XAraNa
retirement_noun	sevAnivqwwi
return_noun	prawiPala/prawilABa/vivaraNI
revaluation_noun	punarmUlyana/punarmUlyAMkana
revamped_noun	suXAranA
revert_noun	prawivarwiwa_honA
revised_noun	saMSoXiwa/pariSoXiwa
revoke_noun	prawi-saMharaNa_karanA/vApasa_lenA
rider_noun	Sarwa/nibaMXana
rigorous_noun	kaTora
rivet_noun	ripata/kIla/KUMtA
romeo_noun	romio
ropeway_noun	rajjupaWa
rotorcraft_noun	rotarakrAPta
rti_noun	sUcanA_kA_aXikAra
ruling_noun	vinirNaya
run-up_noun	rana-apa
running_noun	iMjanaGara
runway_noun	XAvanapaWa/ranave
sanction_noun	maMjUrI/svIkqwi
sanctity_noun	paviwrawA/SuxXawA
sanitation_noun	svacCawA_prabaMXa
schedule_noun	samayAvalI/anusUcI
scholarship_noun	CAwravqwwi
scraping_noun	KuracanA
screen_noun	Cawwaka/jAlI/avawaraNa
screeners_noun	skrInarsa
screening_noun	CAnabIna
scruper_noun	KuracanI
secretariat_noun	sacivAlaya
secretary_noun	saciva
section_noun	KaMda/anuBAga/XArA
sector_noun	sektara/kRewra
securities_noun	prawiBUwiyAM
security_noun	prawiBUwi/surakRA
segregated_noun	pqWakkqwa
segregation_noun	viyojana/pqWakkaraNa
selection_noun	cayana
semi-automatic_noun	arxXa-svacAilawa
seminar_noun	saMgoRTI
seniority_noun	variRTawA
service_noun	sevA
sewerage_noun	mala-jala_vyavasWA
shower_noun	bOCAra/PuhArA
sierra_noun	sierA
simoon_noun	simUna
simulator_noun	simuletara/anukaraNa_yaMwra
skin_noun	AvaraNa
slacks_noun	DIle_sWAna
smoking_noun	XUmrapAna
snacks_noun	alpAhAra
solicit_noun	nivexana_karanA/yAcanA
solidity_noun	Tosapana
span_noun	spEna/viswqwi
spares_noun	awirikwa_hisse/purje
speaker_noun	aXyakRa/vakwA
specialization_noun	viSeRIkaraNa
specified_noun	vinirxiRta
specimen_noun	namUnA/prawixarSa
sphere_noun	vilagiwa_golA
spin_noun	cakraNa
spiral_noun	sarpila
squall_noun	JaMJAvAwa
square_noun	varga
stability_noun	sWAyiwva
stabilizer_noun	sWiraka
staff_noun	karmacArI_varga/stAPa
stagnation_noun	gawiroXa/sampqkwA
stair_noun	sIDZI/sopAna
stakeholder_noun	paNaXArI/stekaXAraka
stall_noun	stAla
standard_noun	mAnaka
standardization_noun	mAnakIkaraNa
statement_noun	vakwavya/vivaraNa
station_noun	steSana
stationery_noun	leKana_sAmagrI
statoscope_noun	sUkRma_vAyu_xAbamApI
status_noun	hEsiyawa
statute_noun	saMviXi
statutory_noun	sAMviXika
sterile_noun	rogANu_rahiwa
stick_noun	stika/yoka
stimulation_noun	uxxIpana
stipend_noun	vqwwikA/vajIPA
stopway_noun	virAma_kRewra
strata_noun	swara
stratosphere_noun	samawApa_maMdala
streamline_noun	XArAreKiwa/suvAhya
sub-clause_noun	upa-KaMda
sub-committee_noun	upa-samiwi
sub-heading_noun	upaSIrRa
subjudice_noun	nyAyAXIna
submission_noun	praswuwa_karanA/nivexana/praswuwi
subscription_noun	aBixAna/Sulka/aMSaxAna
subsidence_noun	avawalana
substantial_noun	sArapUrNa
substantiate_noun	siXxa_karanA
subvert_noun	XvaMsa_karanA
suggestion_noun	suJAva
supercharger_noun	aXiBaraka/aXiBariwra
suppress_noun	xamana_karanA/xabAnA/CipAnA
suppression_noun	aXikramaNa
suppressor_noun	niroXI
surcharge_noun	aXiBAra
surface_noun	sawaha
surplus_noun	aXiSeRa/AXikya
sustained_noun	sawawa
swell_noun	mahAwaraMga/sPIwi
symmetrical_noun	samamiwa
table_noun	sAraNI
tachometer_noun	GUrNana_cAlamApI
tail_noun	pucCa
tailwind_noun	anuvAwa/anukUla_havA
take-off_noun	udZAna_BaranA
tango_noun	tEMgo
tariff_noun	praSulka
taxation_noun	karAXAna
taxi_noun	tEksI/havAI_jahAja_ko_jamIna_para_calAnA_(kriyA)
taxing_noun	tEksIyana
taxiway_noun	tEksIpaWa/tEksIve
technical_noun	wakanIkI
temperature_noun	wApamAna
temporary_noun	asWAyI
tendency_noun	pravqwwi
terminal_noun	tarminala
termination_noun	sevA_samApwi
thermodynamics_noun	URmAgawikI
thermograph_noun	wApaleKI
thermometer_noun	wApamApI
threshold_noun	xehalI/xvAra_sImA/praBAva_sImA
throttle_noun	Wrotala
thrust_noun	bala/Wrasta
toilet_noun	prasAXana_kakRa
token_noun	sAMkewika
topography_noun	sWalAkqwi
touchdown_noun	avawaraNa
track_noun	paWa/patarI
tracking_noun	anureKaNa
traction_noun	karRaNa/KiMcAva
trajectory_noun	praxoRa_paWa
transaction_noun	sOxA/lena-xena/kArobAra_kA_saMcAlana
transcribe_noun	nakala_wEyAra_karanA/anulipi_karAnA/prawileKana_karanA
transcription_noun	prawileKana/anuleKana/lipyaMwaraNa
transit_noun	aBivahana/mArgasWa
translation_noun	anuvAxa
translator_noun	anuvAxaka
transliteration_noun	lipyaMwaraNa
transmissibility_noun	pAragamana_kRamawA
transmission_noun	saMcAraNa
transonic_noun	pAraXvanika
transparency_noun	pAraxarSiwA
transponder_noun	trAMspoMdara
transposition_noun	ulatanA
transverse_noun	anuprasWa
traveller_noun	yAwrI
treachery_noun	viSvAsaGAwa/xroha
treason_noun	rAjaxroha
trim_noun	trima
tripartite_noun	wripakRIya
triplane_noun	wripaMKI
tripper_noun	vimocaka
trustworthy_noun	viSvasanIya
turbulence_noun	vikRoBa
turn_noun	modZa
ubiquitous_noun	sarvavyApI/sarvavyApaka
ultimatum_noun	anwima_cewAvanI
ultramodern_noun	awyAXunika
ultrasonic_noun	parASravya
unacceptable_noun	asvIkArya
unaccounted_noun	behisAba/binA_hisAba_ke
unacquainted_noun	apariciwa
unanimity_noun	ekamawa/sarvasammawi
unanimously_noun	ekamawa_hokara/sarvasammawi_se
unavoidable_noun	aparihArya
uncorroborated_noun	asaMpuRta
undecidability_noun	anirNeyawA
underestimate_noun	ava-Akalana/kama_anumAna
underrate_noun	kama_samaJanA/kama_mahawva_xenA
underspeeding_noun	avacAlana
undertaking_noun	upakrama
undignified_noun	garimArahiwa
uneven_noun	asama/viRama
unidirectional_noun	eka_xiSIya
uniform_noun	eka_samAna/yUniPoYrma/varxI
unloaded_noun	aBAriwa
unloading_noun	nikAsI/aBAraNa/aBaraNa
unmanned_noun	karmacArI_rahiwa
unnecessary_noun	anAvaSyaka
unobservable_noun	aprekRaNIya
unparliamentary_noun	asaMsaxIya/aSiRta
unscrupulous_noun	avivekI/avicArI
unserviceable_noun	sevA_ayogya
unskilled_noun	akuSala/kOSala_rahiwa
untenable_noun	amAnya/asamarWanIya
upgradation_noun	unnayana/swaronnayana
upwind_noun	vAwonmuKa
useful_noun	upayogI
utilization_noun	upayogiwA
vacancy_noun	rikwi/KAlI_paxa/KAlI_sWAna/rikwa_sWAna
vacate_noun	KAlI_karanA
vacation_noun	avakASa/CuttI
vacuum_noun	nirvAwa
vacuumizing_noun	nirvAwakaraNa
vague_noun	aspaRta/aniSciwa
validity_noun	vEXawA/mAnyawA
valuation_noun	mUlya_nirXAraNa
valve_noun	vAlva
vapourizer_noun	vARpaka
variety_noun	kisma
vector_noun	vektara
veering_noun	xik_GUrNana
vegetarian_noun	SAkAhArI/nirAmiRa
velocity_noun	vega
vendavales_noun	veMdAvela
verbatim_noun	SabxaSaH
vested_noun	nihiwa
vexatious_noun	waMga_karane_vAlA/jatila/muSkila
viable_noun	vyavahArya
vibration_noun	kaMpana
vibrator_noun	kampaka
victimisation_noun	xaNdana
victor_noun	viktara
vide_noun	ke_anusAra/xvArA
vigorous_noun	joraxAra/prabala/ojasvI
vindictive_noun	prawiSoXI
violation_noun	ullaMGana
virtue_noun	suRNa
visibility_noun	xqSyawA
void_noun	SUnya
volume_noun	mAwrA
vulnerability_noun	suBexyawA
wage_noun	majaxUrI
wait_noun	prawIkRA
waiver_noun	aXiwyAga
wake_noun	anuwaraMga_rikwi
wavelength_noun	waraMgaxErGya
waypoint_noun	vepoYiMta
weather_noun	mOsama
weathered_noun	apakRINa/qwu-hala
website_noun	vebasAIta
weight_noun	BAra
westing_noun	paScima_nirxeSAMka
whiskey_noun	vhiskI
width_noun	cOdZAI
winch_noun	viMca/carKI
wind_noun	vAyu/pavana/vAwa
wing_noun	paMKa
wings_noun	vimAna_paMKa
wire_noun	wAra
wireless_noun	bewAra
workman_noun	majaxUra/Sramika/karmI
wrench_noun	riMca
x-ray_noun	eksa-kiraNa/eksa-re
yankee_noun	yaMkI
yardstick_noun	mAnaxaMda
yawing_noun	UrXvAkRa_gawi
yield_noun	pExAvAra/upaja
zone_noun	kRewra/maMdala
zulu_noun	jZulu
