#administrative dictionary extracted by Shubangi. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#################################################################################
affect_noun	praBAva_dAlanA/praBAviwa_karanA
affidavit_noun	SapaWapawra/halaPZanAmA
affiliate_noun	saMbaxXa_karanA
affiliation_noun	saMbaMXana
affinity_noun	anurakwi/vivAha_saMbaMXa
affirm_noun	afBapuRta_karanA/prawijFAna_karanA_(viXi)
affirmation_noun	afBapufRta/prawijFAna_(viXi)
affirmative_noun	sakArAwmaka
affix_noun	lagAnA
afford_noun	praxAna_karanA/xenA/samarWa_honA
afforestation_noun	vana-ropaNa
affranchise_noun	mawAXikAra_xenA
aforesaid_noun	pUvoZkwa
afternoon_noun	aparAna/xopahara_bAxa
age_noun	Ayu/umra/yuga
agency_noun	afBakaraNa/ejeMsI
agenda_noun	kAryasUcI
agent_noun	afBakarwA/ejeMta
aggrandisement_noun	vivarXana/awikaWana
aggravation_noun	apavqxaf_Xa/guruwara_honA
aggregate_noun	pUrNayoga/kula
aggregation_noun	samuccaya/samUha
aggrieved_noun	vyaWiwa
agitation_noun	AMxolana
agitator_noun	AMxolanakArI
agmark_noun	EgamArka
agrarian_noun	kqfRa_BUmi_saMbaMXI
agree_noun	kZarAra_karanA/anubaMXa_karanA/sahamawa_honA/rAjZI_honA
agreement_noun	kZarAra_/_anubaMXa/sahamawi
agriculture_noun	kqfRa
agro-implements_noun	kqfRa-upakaraNa
agro-industries_noun	kqfRa-uxyoga
agronomist_noun	sasyavijFAnI
agrostologist_noun	GAsavijFAnI
aid_noun	sahAyawA_/_maxaxa
aircraft_noun	vAyuyAna
airfield_noun	havAI_kRewra
airman_noun	vAyu_sEnika/eyaramEna
airport_noun	vimAnapawwana
alarm_noun	Apaxa_saMkewa/Kaware_kA_saMkewa/alArma/AwaMkiwa_karanA
alcohol_noun	ElkohoYla
alderman_noun	pOra-muKya
alertness_noun	sajagawA
alias_noun	urPZa
alien_noun	anyaxeSIya
alienable_noun	anyasaMkrAmya
alienation_noun	anyasaMkrAmaNa
alignment_noun	sareKaNa/sIXa/gaTabaMXana
allegation_noun	afBakaWana
alleged_noun	afBakaWiwa
allegiance_noun	niRTA
alliance_noun	mEwrI
allied_noun	sambaxXa
allocation_noun	niyawana/viniXAna
allottee_noun	AbaMtiwi
allow_noun	ijAjZawa_xenA/anumawi_xenA
allowance_noun	BawwA/CUta
altenate_noun	ekAnwara/vikalpI
alteration_noun	parivarwana
altercation_noun	kahAsunI
alternative_noun	vikalpa/vEkalpika
alternatively_noun	vikalpawa:
amalgamation_noun	samAmelana
amateur_noun	SOkiyA
ambassador_noun	rAjaxUwa
ambiguous_noun	saMxigXAWIZ
amend_noun	saMSoXiwa_karanA/saMSoXana_karanA
amendment_noun	saMSoXana
amenity_noun	suKa-suviXA
amicable_noun	sOhArxapUrNa/mEwrIpUrNa
ammunition_noun	golA-bArUxa
amnesty_noun	sarvakRamA
amount_noun	rASi/rakZama/mAwrA/miSraXana
anaesthetist_noun	enesWetista/saMjFAharaNavijFAnI
analogous_noun	saxqSa/anurUpa
analogy_noun	sAxqSya/anurUpawA
analysis_noun	viSleRaNa
analyst_noun	viSleRaka
ancestor_noun	pUrvaja
anchorage_noun	laMgaragAha/laMgara_Sulka
ancillary_noun	AnuRaMgika/anuRaMgI
animal_noun	prANI/janwu_/paSu
animosity_noun	bEra
animus_noun	ASaya/vixveRa
annex_noun	saMlagna_karanA/jodZanA/nawWI_karanA/rAjya_meM_milA_lenA
annexe_noun	upaBavana
annexure_noun	saMlagnaka
annihilate_noun	saMhAra_karanA/sarvanASa_karanA
anniversary_noun	varRagATa
annotation_noun	tippaNa_leKana/tIkA/vyAKyA
announce_noun	AKyApana_karanA/ElAna_karanA
announcement_noun	AKyApana/ElAna
announcer_noun	AKyApaka/enAuMsara/vAcaka/uxGoRaka
annoyance_noun	ciDa/KIja
annuity_noun	vAfrRakI
annul_noun	niRpraBAva_karanA/bAwila_karanA
anomaly_noun	asaMgawica_viRamawA
anonymous_noun	anAma/gumanAma
answerability_noun	javAbaxehI
answerable_noun	javAbaxeha
antagonist_noun	viroXI
antecedents_noun	pUrvavqwwa
antedated_noun	pUrva-xinAMkiwa
anthropologist_noun	nqvijFAnI/mAnavavijFAnI
anticipation_noun	prawyASA/pUrvAnumAna
anticlockwise_noun	vAmAvarwa
antique_noun	purAvaswu
antiquity_noun	purAwanawA/purAkAla/purAvaswa/u/purAvaSeRa
apartheid_noun	raMgaBexa
apathy_noun	uxAsInawA
apex_noun	SIRZA/SiKara
apiarist_noun	maXumakKIpAlaka/maXumakKI_pAlaka
apology_noun	kRamAyAcanA
apparatus_noun	upakaraNa
apparent_noun	prakata/xqSyamAna
appeal_noun	apIla/apIla_karanA
appearance_noun	hAjLrI/upasaMjAwi_(viXi)/Akqwi/rUpa
appeasement_noun	wuRtIkaraNa
appellation_noun	afBayAna
append_noun	pariSiRta_ke_rUpa_meM_lagAnA
appendage_noun	saMlagnaka
appendix_noun	pariSiRta
appliance_noun	upayaMwra
applicability_noun	anuprayojyawA/lAgU_honA
applicable_noun	lAgU
applicant_noun	Avexaka
application_noun	Avexana/arjZI/anuprayoga/lAgU_(honA)
applied_noun	anuprayukwa
appoint_noun	niyukwa_karanA
appointee_noun	niyukwa_vyakwi
appointment_noun	niyukwi
apportionment_noun	praBAjana
appraiser_noun	mUlyanirUpaka/mUlya-nirUpaka
appreciation_noun	sarAhanA/vqxXi
apprehend_noun	pakadZanA/giraPwAra_karanA
apprehension_noun	pakadZA_jAnA/giraPZwArI/boXa/samaJa/ASaMkA
apprentice_noun	SikRu
apprenticeship_noun	SikRuwA
approach_noun	pahuca/upamArga/xqfRtakoNa
appropriate_noun	upayukwa/uciwa/viniyojana_karanA
appropriation_noun	viniyojana
approval_noun	anumoxana
approve_noun	anumoxana_karanA
approver_noun	ikZabAlI_gavAha
appurtenance_noun	upAbaMXa
aptitude_noun	ruJAna/afBakRamawA
aqueduct_noun	jalavAhI_sewu
arbitrary_noun	manamAnA
arbitration_noun	vivAcana/mAXyasWam_(viXi)
arbitrator_noun	maXyasWa/vivAcaka
arboriculturist_noun	vqkRa-saMvarXana_vijFAnI
archaeologist_noun	purAwawvavix
architect_noun	vAswuvixa/vAswukAra/vAswuvix
architecture_noun	vAswu/vAswuvixyA/sWApawya/sWApawyakalA
archives_noun	afBaleKAgAra
archivist_noun	afBaleKAXyakRa
area_noun	kRewra/kRewraPala
argument_noun	warka/bahasa
armed_noun	saSaswra
armistice_noun	yuxaXa_virAma
armourer_noun	SaswrasAja/Armarara
arms_noun	AyuXa/haWiyAra
army_noun	senA/POja/WalasenA
arrangement_noun	vyavasWA/vinyAsa
arrears_noun	bakZAyA
arrival_noun	Agamana
arrivals_noun	Amaxa
arrogance_noun	xamBa/akKadZapana
arrogant_noun	xamBI/akKadZa
arsenal_noun	AyuXAgAra
arson_noun	AgajZanI
art_noun	kalA
article_noun	anucCexa/vaswu/leKa/nibaMXa
artificer_noun	pariSilpI
artillery_noun	wopaKZAnA
artisan_noun	kArIgara/SilpI
artist_noun	kalAkAra
ascend_noun	ArohaNa
ascendant_noun	pUrvapuruRa
ascertain_noun	afBaniSciwa_karanA
aspect_noun	pahalU_/pakRa/xqfRta
aspersion_noun	lAMCana
assailant_noun	hamalAvara
assassination_noun	hawyA/hanana
assault_noun	hamalA/prahAra
assayer_noun	pAraKI
assemble_noun	jutanA/ekawra_honA/ikatTA_honA/jodZanA/safmmilawa_karanA/ekawra_karanA
assembly_noun	saBA/jamAva
assent_noun	anumawi
assert_noun	xqDZawA_se_kahanA/jora_xekara_kahanA
assessee_noun	nirXAriwI
assessment_noun	nirXAraNa
assessor_noun	asesara/kara-nirXAraka
assets_noun	parisampafwwa/AswiyA
assign_noun	samanuxeSiwa_karanA/sOMpanA/niyawa_karanA
assignee_noun	samanuxeSiwI
assignment_noun	samanuxeSana/supurxa_kAma
assignor_noun	samanuxeSaka
assimilate_noun	AwmasAwkaranA
assimilation_noun	milAnA/AwmasAwkaraNa
assistant_noun	sahAyaka
associate_noun	saha-_safmmaliwa_karanA
association_noun	saMGa_saMgama_(viXi)_saMbaMXa/sAhacarya
assume_noun	grahaNa_karanA/kalpanA_karanA
assumption_noun	grahaNa/kalpanA
assurance_noun	ASvAsana/bImA_(haswAMwaraNa-pawra
assure_noun	ASvaswa_karanA
atmosphere_noun	vAyumaMdala
attach_noun	sAWa_lagAnA/saMlagna_karanA/kurkZa_karanA
attache_noun	awASe/sahacArI
attached_noun	saMlagna
attachment_noun	saMlagnaka/kukIZZ
attainment_noun	labXi/prApwi
attempt_noun	prayawna_karanA/prayawna
attend_noun	upasWiwa_honA/hAjLra_honA
attendance_noun	upasWiwi/hAjLrI
attendant_noun	paricara
attender_noun	paricara
attention_noun	XyAna/sAvaXAna
attest_noun	anupramANiwa_karanA/wasaxIkZa_karanA
attestation_noun	anupramANana/wasaxIkZa
attitude_noun	afBavqfwwa
attorney_noun	nyAyavAxI/atarnIZ
auction_noun	nIlAmI
auctioneer_noun	nIlAmakarwA
audible_noun	Sravya
audience_noun	SrowA/xarSaka/xarSana/sunavAI
audit_noun	leKAparIkRA
auditor_noun	leKAparIkRaka/oYditara
auditorium_noun	prekRAgqha/oYditoriyama
augmentation_noun	AvarXana
austerity_noun	miwopaBoga/sAxagI
authentic_noun	prAmANika
authenticate_noun	pramANiwa_karanA
authentication_noun	pramANIkaraNa
authoritative_noun	prAXikqwa/prAXikArika
authority_noun	prAXikArI(vyakwi)/prAXikAra/prAXikaraNa(saMsWA)/aXikArI_vixvAna
authorization_noun	prAXikAra
authorize_noun	prAXikqwa_karanA
authorized_noun	prAXikqwa
autograph_noun	svAkRara/apane_haswAkRara
automatic_noun	svacAliwa
automobile_noun	motaragAdZI
autonomous_noun	svAyawwa
autonomy_noun	svAyawwawA
auxiliary_noun	sahAyaka/awirikwa
available_noun	prApya/upalabXa
aver_noun	prakaWana_karanA
average_noun	Osawa/sAmAnya(riporta)
averment_noun	prakaWana
aversion_noun	viruci/viwqRNA
avert_noun	bacA_lenA
aviation_noun	vimAnana
avocation_noun	upavyavasAya
avoid_noun	varjana_karanA/parihAra_karanA/bacanA
avoidable_noun	parihArya
awakening_noun	jAgaraNa/jAgqwi
award_noun	paMcAta/aXinirNaya/puraskAra
awareness_noun	BAna/boXa/jAgarUkawA
awkward_noun	BaxxA
axiom_noun	svayaMsixaf_Xa
ayes_noun	hA_pakRa
backdated_noun	pUrva-xinAMkiwa
background_noun	pqRTaBUmi
bacteriologist_noun	jIvANu_vijFAnI
badge_noun	bEja/billA
baggage_noun	asabAba
bail_noun	jZamAnawa
bailiff_noun	beliPZa
bailment_noun	apaniXAna
baker_noun	bekara
balance_noun	SeRa/bAkZI/saMwulana/wulA/warAjU
ballot_noun	mawapawra_mawaxAna
ban_noun	prawibaMXa/roka/pAbaMxI
band_noun	pattI_/bEMda_/xala
bandsman_noun	bEMdamEna
banishment_noun	xeSanikAlA
bank_noun	bEMka_/wata/kinArA_/sAhUkArI_karanA
banker_noun	bEMkara
banking_noun	bEMkiMga/bEMkakArI
bankrupt_noun	xivAliyA
bankruptcy_noun	xivAlA/xivAliyApana
banner_noun	bEnara/praxarSa_patta
banquet_noun	Boja/mahABoja
bar_noun	roXa/rukAvata
bargain_noun	sOxA/sOxA_karanA
barman_noun	bAramEna
barrack_noun	bEraka
barrage_noun	barAja
barren_noun	baMjara/anurvara/bAJa/baMXyA
barrier_noun	roXa/avaroXa/nAkA
barrister_noun	bEristara
barter_noun	vaswu_vinimaya
base_noun	AXAra
basement_noun	wahaKZAnA
basic_noun	mUla/buniyAxI
batch_noun	yAna/Kepa/bEca/tolI
batten_noun	bawwA/bEtana
batteryman_noun	bEtarImEna/bEtarIvAlA
bearer_noun	vAhaka/bErA
beaterman_noun	gEMwIvAlA
beatman_noun	gaSwavAlA
bedding_noun	biswara/biCOnA
beekeeper_noun	maXumakKI-pAla
behaviour_noun	vyavahAra
belief_noun	viSvAsa
beltman_noun	pattevAlA
bench_noun	nyAyapITa/beMca
benchmark_noun	wala_cihna
