#it dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
###############################################################################
a-transducer_noun	e_trAMsdyUsara
metasystem_noun	aXiwaMwra
method_noun	viXi
micr_noun	ema_AI_sI_Ara
micro_noun	sUkRma
microchip_noun	mAikro_cipa
microcobol_noun	mAikro_kobola
microcycle_noun	mAikro_cakra
microfiche_noun	sUikRmakA/mAikroPiSa/sUkRma_saMcikA
microfilm_noun	mAikroPilma
microfloppy_noun	mAikro_niyaMwraka/mAikro_PloYpI
microflowchart_noun	mAikropravAha_saMciwra
microframe_noun	mAikro_Prema
micrographics_noun	mAikrogrAPiksa
microimage_noun	mAikro_prawibiMba
micromainframe_noun	mAikro_aXisaMsAXiwra/mAikromenaPrema
microminiaturization_noun	mAikro_laGurUpaNa
microorder_noun	sUkRmakrama
microphone_noun	mAikroPona/sUkRma_rUpa
microphotograph_noun	mAikro_PotogrAPa
microprocessor_noun	mAikroprosesara
microprogram_noun	mAikro_kramAxeSa/mAikro_progrAma
microsecond_noun	mAikrosEkeNda
microsequence_noun	mAikro_anukrama
microsoft_noun	mAIkrosoYPta
microwave_noun	mAikro_waMraga
middleware_noun	midla_veyara
midicomputer_noun	midI_kaMpyUtara
midpoint_noun	maXya_binxu
midterm_noun	maXyapaxa
migration_noun	pravAsana
millisecond_noun	milI_sEkenda
mime_noun	mAima
minicomputer_noun	laGu_kaMpyUtara
minidiskette_noun	laGu_disketa
minterm_noun	guNAxa/guNaxa/guNanayogapaxa
mips_noun	ema_AI_pI_esa
mirror_noun	xarpaNa
mis_noun	ema.AI.esa.(prabaMXana_sUcanA_sevA)
mistake_noun	BUla/wruti
mixer_noun	miSraka
mixing_noun	miSraNa
mnemonic_noun	smaraka
mnemonics_noun	smaraNokArI
mobile_noun	cala/mobAJla
model_noun	moYdala/nixarSa
modelling_noun	moYdalana/nixarSana
modem_noun	moYdama
modemmodulator-demodulator_)_noun	moYdama
moderate_noun	sAXAraNa_mAXya
moderator_noun	viBaMxaka
modification_noun	Aparivarwana/ASoXana
modifier_noun	Aparivarwaka
modify_noun	Aparivarwana
modular_noun	moYdayUlara/anuKaMdIya
modularity_noun	prawirUpakawA
modulation_noun	moYdayUlana
module_noun	moYdayUla/anuKaMda
modules_noun	anuKaMda
monarchy_noun	rAjaSAhI
monitor_noun	moYnitara
monostable_noun	eka_sWiwika
monotonicity_noun	eka_xiRtawA
morph_noun	rUpa
morpheme_noun	rUpima
morphism_noun	AkAriwA
mortgages_noun	giravI/baMXaka/rahana
mosaic_noun	mojE.ka
mosfet_noun	mosaPeta
motherboard_noun	uxgama_patala/maxara_bArda
mount_noun	Aroha
mouse_noun	mURaka/mAusa
move_noun	cAla/visWApana
mput_noun	ema_puta
ms-dos_noun	ema_esa_doYsa
ms-windows_noun	ema_esa_vindojZa
msi_noun	ema_esa_AI
multi_noun	bahu
multiaspect_noun	bahu_aBimuKawA
multibus_noun	bahu_basa
multicast_noun	bahurupIya
multicasting_noun	bahurUpana/bahu_prasAraNa
multichip_noun	bahu_patalikA
multics_noun	mailtaksa
multimedia_noun	bahumaXyama/maltImIdiyA
multinational_noun	bahurARtrIya
multiple_noun	bahu
multiplex_noun	maltIpaleksa/bahusaMkewa
multiplexer_noun	bahusaMkewaka
multiplexing_noun	bahusaMkewana/bahuBAjana
multipoint_noun	bahu_binxu
multipriority_noun	bahu_prAWamikawA
multiprocessing_noun	bahu_prakramaNa
multiprocessor_noun	bahu_prakramaka
multiprogramming_noun	bahu_kramAxeSana
multischedule_noun	bahuniyojana
multistation_noun	bahu_kenxra
multitasking_noun	bahukAryana
multithreading_noun	bahu_sUwraNa
multivibrator_noun	bahukaMpaka
mutex_noun	myuteksa
name_noun	nAma
nand_noun	nEda
nano_noun	nEno
navigate_noun	saMcAlana_karanA
navigation_noun	saMcAlana
navigator_noun	saMcAlaka
net_noun	jAla
nfa_noun	ena_ePa_e
nibble_noun	cawuRxvayaMka/cawu:bita/nibala
nip_noun	nipa
no-operation_noun	asaMkriyA_anuxeSa
node_noun	niRpaMxa/AsaMXi
noise_noun	rava
non-determinism_noun	aniyawawA
non-interactive_noun	anyonyakriyAhIna
nondistributive_noun	aviwaraka
nor-operation_noun	noYra_saMkriyA
nor_noun	ena.o.Ara.
normal_noun	samAnya/sarala
normalization_noun	prasAmAnya_karaNa
normalize_noun	prasAmAnyIkaraNa
normalizer_noun	prasAmAnyaka
not-and_noun	noYta-eMda
not-if-then=exclusion_)_noun	noYta-iPa-xena
not-or_noun	noYta-Ora
not_noun	noYta
notation_noun	aMkana/saMkewana
object_noun	vaswu/uxxeSya
off-line_noun	lAina_-viyukwa/oYPa-lAIna
offset_noun	oYPaseta
operand_noun	saMkArya
operation_noun	saMkriyA/pracAlana
operator_noun	pracAlaka/saMkAraka/saMkriyaka
optimization_noun	iRtawamIkaraNa
option_noun	vikalpa
optional_noun	EcCika/vEkailpaka
optoelectronics_noun	oYpto_ilektronikI
optoisolator_noun	prakASIya_pqWakkAraka
or_noun	oYra
overflow_noun	awipravAha
overlay_noun	upariSAyI
overload_noun	aXiBAra
overloading_noun	aBiXAraNa
overprinting_noun	aXimuxraNa
owner_noun	svAmI
ownership_noun	svAmiwva
pacing_noun	paxAniyamana
pack_noun	saMkula
package_noun	pEkeja/saMkula
packet_noun	pEketa
packing_noun	saMkulana
pad_noun	pEda
padding_noun	pEdana
page_noun	pqRTa
paging_noun	pqRTana/pqRTIkaraNa
panel_noun	pEnala
paragraph_noun	pErAgrAPa/anucCexa
parametron_noun	pErAmetroEYna
parent_noun	mUla/janaka
parser_noun	paxa_vyAKyAyiwra
parsing_noun	paxa_vicCexana
partition_noun	viBAjana
partitioning_noun	viBAjana
pascal-plus_noun	pAskala-plasa
password_noun	pASavarda/pAraNa_Sabxa
path_noun	paWa
peer_noun	miwra_samUha
pentium_noun	peMtiyama
peon_noun	caparAsI
percent_noun	prawiSawa
percolation_noun	anwa:_swravaNa
performability_noun	niRpAxanIyawA
performance_noun	niRpAxana
periodic_noun	AvaXika/AvarwI
peripheral_noun	pariXIya
perl_noun	parla
permission_noun	anumawi
permutation_noun	kramacaya
persistence_noun	sAwawya
persistent_noun	sawawa
pert_noun	parta/pI.I.Ara.tI.(progrAma_mUlyAMkana_samIkRA_wakanIka)
phantom_noun	PEMtama/aBAsI
phase_noun	prAvasWA
phoneme_noun	svanima
physical_noun	BOwika/bAhya
pico_noun	pIko
picosecond_noun	pIkosEkanda
pictorial_noun	ciwrIya
pile-on_noun	puMjana
pilferage_noun	laGucorI
pin_noun	pina_(ni._pa._sa0)
pine_noun	cIdZa
ping_noun	Xvani_spaMxa/piMga
pipe_noun	nalikA/pAipa
pipeline_noun	pAipalAina
pipelining_noun	anuprakramaNa
piracy_noun	apaharaNa/nakala
pitch_noun	aMwarAla
pixelization_noun	ciwra_avyavIkaraNa
place_noun	sWAna
plan_noun	yojanA
planning_noun	Ayojana
platform_noun	maMca/pletaPArma
plotter_noun	AleKaka
plotting_noun	AleKana
plugboard_noun	plagaborda
pocket_noun	jeba/pAketa
point-of-saleposterminal_noun	vikraya_biMxu_tarminala
point_noun	biMxu
pointer_noun	sUcaka
polarization_noun	XuvIkaraNa
polling_noun	cayana
polygon_noun	bahuBuja
polymorphism_noun	bahurUpawA
polynomial_noun	bahupaxIya
pop_noun	saMkarRa/wvariwa/prakatana/nikAlanA
port_noun	saMparka_sWala/xvAraka
portability_noun	suvAhyawA
portfolio_noun	portaPoliyo
portrait_noun	ciwra
poster_noun	postara
postfix_noun	anulagna
postmaster_noun	postamoYstara
pradicate_noun	nirXAraNa
pre-fix_noun	pUrvalagna
precondition_noun	pUrvasWiwi
predicate_noun	nirXAraka
prepayments_noun	agrima_BugawAna/pUrvaBugawAna
preprocessing_noun	pUrvaprakramaNa
preprocessor_noun	pUrvuprakramaka
prespecification_noun	pUrvavinirxeSa
prime_noun	aBAjya/muKya
printer_noun	muxraka/priMtara
printing_noun	muxraNa
priority_noun	varIyawA
privacy_noun	gopanIyawA
privileged_noun	viSeRAXikqwa
probabilistic_noun	prasamBAvyAwmaka/saMBAbaya
probablistic_noun	saMBAvya
procedural_noun	prakriyAwmaka
procedure_noun	prakriyA
processing_noun	prakramaNa
processor_noun	prakramaka
production_noun	uwpAxana
program_noun	kramAxeSa
programmer_noun	kramAxeSaka
prom_noun	pIroYma
propagation_noun	saMcaraNa/pravarXaka
proposition_noun	sAXya
protection_noun	rakRaNa/saMrakRaNa
pulse_noun	spaMxa
punctuation_noun	virAma_cinhana
push_noun	saMBara/xAba
qualification_noun	aharwAeEYM
quantifier_noun	parimANaka
quantize_noun	kvAMMtIkqwa_karanA
quantizer_noun	kvAMMtIkAraka
quantum_noun	kvAMtama
query_noun	pUCawACa/pqcCA
queue_noun	paMkwi
quotient_noun	BAgaPala
raster_noun	rEstara/reKApuMja
re-entrant_noun	puna:praveSI
re-writeable_noun	puna:_leKanIya/puna:_leKanayogya
reachability_noun	aBigamyawA/gamyawA
read-out_noun	rIda_AUta
read_noun	paTana
reader-copier_noun	pATakaprawilipika/rIdarakApiyara
reader_noun	pATaka
reading_noun	paTana
receiver_noun	aBigrAhI
recompile_noun	puna:_kramAxeSa_aMwaraNa/puna:awaMraka
record_noun	aBileKa
recovery_noun	vasUlI
recursiveness_noun	punarAvarwiwA
redundancy_noun	awirekawA
reengineering_noun	punaraBiyAMwrIkaraNa
reenlargement_noun	punarvarXana
reference_noun	saMxarBa
reflection_noun	parAvarwana
reflectivity_noun	parAvarwawA
refraction_noun	apavarwana
refresh_noun	punaScaryA
regeneration_noun	punarjanana
relation_noun	sambaMXa
relative_noun	sApekRa
relay_noun	prasAraNa/rile/rile_prawisAraNa
release_noun	vimocana
reliable_noun	viSvasanIya
remote_noun	suxUra
rename_noun	puna:nAmakaraNa
rendering_noun	prawipAxana/samarpaNa
repeater_noun	punarAvarwaka
reply_noun	uwwara
repost_noun	punaprareSana
request_noun	anuroXa/nivexana
research_noun	anusaMXAna
resident_noun	smqwivAsI
resolution_noun	viBexana
resources_noun	saMsAXana
responsibility_noun	ujFalwa;AraxAyiwva
retailing_noun	Putakara
retrace_noun	puna:_anureKa
retransmission_noun	puna:_preRaNa/puna:_saMcAra
retry_noun	puna:_prayAsa
return_noun	prawigama
rfc_noun	Ara_ePa_sI/rediyo_Avqwa_cEnala
robot_noun	robo
robotics_noun	robotiksa
robust_noun	Tosa/majabUwa
role_noun	BUmikA
rom_noun	roma(kevala_paTanIya_smqwi)
root_noun	mUla
rounding_noun	pUrNana
route_noun	mArga
router_noun	rAUtara/anurmAgaNa
routing_noun	mAgArBigamana/anumArgaNa
rs-232c_noun	Ara_esa_232_sI
rtc_noun	Ara_tI_sI_(vAswavika_kAla_GadZI)
run_noun	XAva
satellite_noun	upagraha
satisfiability_noun	saMwoRanIyawA
saturation_noun	saMwqpwi
save_noun	surakRiwa_karo/bacAva_karo
scalability_noun	mApanIyawA/mApakramaNIyawA
scalar_noun	axiRta/axiSa
scanning_noun	kramavIkRaNa
scenario_noun	parixqSya
scheduler_noun	anusUcaka
script_noun	lipi
scrolling_noun	kuMdalana/skroYlana
search_noun	Koja
searchable_noun	KojanIya
searching_noun	anveRaNa/KojanA
secondary_noun	xviwIyaka
sector_noun	sektara/KaMda
segment_noun	anuBAga/KaMda
select_noun	cayana
selection_noun	cayana
selectivity_noun	cayanAwmakawA
selector_noun	cayaka/varaka
semantics_noun	sImeintakI/arWa_vijFAna
semaphore_noun	sImePora
semiconductor_noun	arXacAlaka
sequence_noun	anukrama
sequencer_noun	anukramraka
sequencing_noun	anukramaNa
serial_noun	kramika
serialability_noun	kramikawA
serializability_noun	kramaNIyawA
serializer_noun	kramaka
server_noun	parisevaka/sevaka
service_noun	sevA
session_noun	sawra
set_noun	samuccaya
setext_noun	setektasta
setup_noun	vyavasWA
shade_noun	CAyA
shading_noun	CAyAMkana
shadow_noun	prawiCAyA
shannor_noun	SOnana
share_noun	Seyara
shared_noun	sahaBAjIwa
shares_noun	Seyara
sharing_noun	sahaBAjana
shear_noun	aparUpaNa
sheet_noun	parNa
shell_noun	koRTaka/kavaca/SOla/koSikA
shift_noun	visWApana
sibling_noun	sahoxara
siblings_noun	sahoxara/samABAsI
side_noun	pASrva
sign_noun	cinha
signal_noun	saMkewa
signaling_noun	saMkewana
signature_noun	haswAkRara
silicon_noun	silIkoYna
similar_noun	samarUpa
simplex_noun	simpaleksa
simulation_noun	sawawa_waMwra/anukaraNa
simulator_noun	anukArI
singleton_noun	ekala
site_noun	sWala
size_noun	sAhaja/AmApa
sizing_noun	AmApAna
sketching_noun	reKAMkana/reKAciwraNa
skip_noun	pluwi
skipping_noun	pluwi/pluwikaraNa
slash_noun	wiryaka
slip_noun	cUka/sarpaNa
slot_noun	KAMcA
slotting_noun	KAMcAkaraNa
smalltalk_noun	laGu_vArwA
smart_noun	smArta
smiley_noun	smiwiyukwa/muskurAhatayukwa
smurf_noun	smarPa
snail_noun	SaMbuka/GoMGA
snapshot_noun	ASuciwra
sneakernet_noun	snIkaraneta
snobol_noun	snoboYla
socket_noun	soYketa/garwikA
softfill_noun	sugama_BaraNa
some_noun	kiMciwa/kuCa
sort_noun	CAMtanA
sources_noun	swrowa
spacewar_noun	aMwarikRa_yuxva
spectacular_noun	Bavya
spectrum_noun	spektrama
spiral_noun	peMcaxAra/sarpila
spreadsheet_noun	viswqwa_spredaSIta
sprintnet_noun	XAvaka_neta/spintaneta
standard_noun	mAnaka
standardization_noun	mAnakIkaraNa
starvation_noun	aprApwi
state_noun	avasWA
station_noun	kenxra
storability_noun	BaMdAraNIyawA
storage_noun	BaMdAraNa
store_noun	BaMdAra
sub-directory_noun	upa-nixeSikA
subclass_noun	upavarga/upaEoNI
submit_noun	upasWiwa_karanA/praswuwa_karanA
subnet_noun	upajAla
subsemigroup_noun	upArXa_samUha
subtree_noun	upavqkRa
successes_noun	saPalawAeEYM
successor_noun	uwwarAXikArI
suite_noun	sarvAMga
summarization_noun	saMkRepaNa
summarize_noun	saMkRepa_karanA
summary_noun	sArAMSa
summer_noun	saMkaliwra
superblock_noun	aXiKaMdaka
superuser_noun	sarvocca_prayokwA
supervisor_noun	paryavekRaka
surf_noun	sarPa
surface_noun	pqRTa/sawaha
surfing_noun	saPirMga/sarPana
swap_noun	gamAgama
swapper_noun	gamAgamaka
swapping_noun	gamAgamana
switch_noun	svica
switches_noun	svica
switching_noun	svicana
sx_noun	esa_eksa
sybase_noun	sAibesa
synchronization_noun	varNanAwmakawA/wulyakAlana
synchronizer_noun	wulyakAlana_saMkrAmaka
synchronous_noun	wulyakAlika
synergic_noun	samanviwa
synergistic_noun	sahakriyASIla
table_noun	saraNI
tablet_noun	patalikA
talk_noun	vArwA
tar_noun	tAra
target_noun	lakRya
tariff_noun	xara_sUcI/Sulka_sUcI
task_noun	kArya
technocratic_noun	wakanIkajFa
teco_noun	teko
telecom_noun	xUrasaMcAra
telecommunication_noun	xUrasaMcAra
telecommunications_noun	xUrasaMcAra
telecommuting_noun	xUraparivarwI
teleconference_noun	xUra_saMvAxa
teleconferencing_noun	xUra_sammelana
telegraphy_noun	wArapreRaNa
telemetry_noun	xUramApI
telenation_noun	xUrarARtra
telephone_noun	xUraBARa
telephony_noun	xUraBARI
teleprinter_noun	xUramuxraka/telI_priMtara
teleprocessing_noun	xUraprakriyaNa
television_noun	xUraxarSana/telIvijana
telex_noun	teleksa
telnet_noun	xUra_jAla/telaneta
temperature_noun	wApa/wApamAna
template_noun	AkAra_patta/ParmA/tempaleta/rUpaxA
temporary_noun	asWAyI
term_noun	paxa/saMbaMXa
termination_noun	samApana
terminator_noun	samApaka
test_noun	parIkRaNa
text_noun	tEksatrapATya/sAmagrI
theorem_noun	prameya
thrashing_noun	gAhanA/WrESiMga
thread_noun	sUwra
threading_noun	sUwraNa
throughput_noun	pravAha_kRamawA
thumbwheels_noun	aMguRTa_cakra
tia_noun	tI_AI_e
tidy_noun	svacCa
time_noun	kAla/samaya
timeframe_noun	samaya_sImA
timeout_noun	kAla_samApana
timer_noun	kAla_samaMjaka
timesharing_noun	samaya_sahaBAjana
tin_noun	tina
tint_noun	varNaka
tla_noun	tI_ela_e
toggle_noun	toYgala
token_noun	prawIka/tokena
tone_noun	svara/Xvani
tool_noun	upakaraNa
topology_noun	sAMsWiwi
toy_noun	KilOnA
trace_noun	cihna/niSAna/anureKa
tracing_noun	anureKaNa
track_noun	paWa
tracking_noun	mArgana
tracks_noun	paWa_mArga/lIka
trading_noun	vyApAra
traffic_noun	yAwAyAwa
trailer_noun	anuyAna/Jalaka
training_noun	praSikRaNa
trajectory_noun	prakRepa_paWa
transaction_noun	kArya_saMpAxana/sOxA
transceiver_noun	saMpresI-aBigrAhI/troYMsarisivara
transcribe_noun	prawileKana/lipyaMwaraNa_karanA
transducer_noun	trAMnsadyUsara
transformation_noun	rUpAMwaraNa
transistor_noun	trAMjistara
transition_noun	saMkramaNa/saMkrAMwi
transitional_noun	saMkrAwika
transitive_noun	saMkrAmaka
transitivity_noun	saMkrAmiwA
translation_noun	anuvAxa
translator_noun	anuBARaka/amwaraka
transmission_noun	preRaka/prasAraNa
transmitter_noun	trAMsamItara
transparency_noun	pAraxarSIwA
transparent_noun	pAraxarSI
transponder_noun	trAMsapoMdara
transport_noun	parivahana
transportation_noun	parivahana
trapping_noun	PAMsanA/pakadanA/prapASana
traverse_noun	caMMkramaNa
tree_noun	vqkRa
triad_noun	wraya
tribits_noun	wri_bita
tristate_noun	wri_avasWA
trn_noun	tI_Ara_ena
truncate_noun	Cinnanu/rUMdana
tuners_noun	tyUnara/samaMjaka
tuning_noun	samaMjana/samasvaraNa/tyUniMga
tunnel_noun	suraMga/tanela
tunneling_noun	suraMgana/tanelana
tuple_noun	tapala
type_noun	prakAra
typeface_noun	akRarAkqwi/tAIpa_Pesa
typing_noun	taMkaNa
uid_noun	yU_AI_dI
ulsi_noun	yU_ela_esa_AI
uncertainty_noun	aniSciwawA
uncompression_noun	asaMpIdZina
uncountable_noun	agaNanIya
uncover_noun	anAvaraNa
undecidable_noun	anirNanIya
undefined_noun	apariBARiwa
undelete_noun	avilopa
underscore_noun	aXodEsa/aXoyojaka
unicasting_noun	samaciwraNa
unicode_noun	ekala_kUta/yUnIkoda
uniprocessing_noun	eka_prakramaNa
unique_noun	axviwIya
unit_noun	ekaka/ikAI
uniterm_noun	exa_paxa
unix_noun	yUniksa
unlock_noun	vipASa
unsubscribe_noun	grAhakI_baMxa_karanA
untar_noun	anatAra
updating_noun	axyawIkaraNa
upgrade_noun	unnayana
uplink_noun	apaliMka
upload_noun	BAra_dAlanA/BAra_baDAnA
uploading_noun	ucca_BAraNa/uxaBAraNa
upstream_noun	ujAna_XArA/prawikUla
uptime_noun	uparikAla
upward_noun	uXrva/uparI/uXrvagAmI
use_noun	upayoga
usenet_noun	upayoga_jAla/upayoga_netrayUjanEta
user_noun	upayogakarwA_prayokwA
userfriendly_noun	mEwripUrNa_prayokwA
username_noun	prayokwA_nAma
utility_noun	upayogiwA
vacation_noun	avakASa
vaccine_noun	tIkA
valid_noun	vEXa/mAnya
validation_noun	vEXIkaraNa
value_noun	mAna
vanilla_noun	vEnilA
vapourware_noun	veparaveyara
variable_noun	cara
variance_noun	prasaraNa
vector_noun	saxiSa
vertex_noun	SIrRa
videoconference_noun	vIdiyo_sammelana
videoserver_noun	vIdiyo_parisevaka
view_noun	xqSya
viewport_noun	xqSyaxvAra
vine_noun	vAina
virtual_noun	ABAsI
virus_noun	vAyarasa/viRANu
visibility_noun	xqSyawA
vision_noun	xqRti
vlsi_noun	vI_ela_esa_AI
vm_noun	vI_ema
vms_noun	vI_ema_esa
voice-net_noun	vAk_jAla/vAk_neta
voice_noun	vAk/vANI
vrml_noun	vI_Ara_ema_ela
wan_noun	vEna
wav_noun	dablyU_e_vI
weather_noun	mOsama
web_noun	veba
wetware_noun	AxrarpAwra/vetaveyara
whatis_noun	kyA_hE
wheel_noun	cakra
whois_noun	kOna_hE
wimp_noun	viMpa
window_noun	gavAkRa/KidZakI/viMdo
windowing_noun	gavAkRana
windows_noun	viMdojZa
winkey_noun	vina_kuMjI
winsock_noun	vinasoYka
wizard_noun	vijZArda
word_noun	bahuxvayaMka/Sabxa
workgroup_noun	kAryasamUha
workshop_noun	kAryaSAlA
workstation_noun	kAryasWala/varkasteSana
world_noun	viSva
worm_noun	varma
write_noun	leKana
writeable_noun	lEKanIya/leKanayona
wysiwyg_noun	visIviga
x-12_noun	eksa_12
xenix_noun	jeniksa
xetext_noun	eksateksata
xmodem_noun	eksa_moYdama
xon/xoff_noun	eksa_oYna/eksa_aEYAPa
xor_noun	eksa_oYra
xwindow_noun	eksa_viMdo
yoke_noun	yoka
zip_noun	saMkuciwa
zone_noun	aMcala/kRewra
zoom_noun	jUma
zooming_noun	jUmakaraNa
zterm_noun	jeda_paxa
