#computer science dictionary extracted from Bharatvani site by Prashant. Formatted by Roja (03-10-2019)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#################################################################################
complement-on-nine_noun	nava-pUraka
complement-on-two_noun	xo-pUraka
complementer_noun	pUrakiwra
complementing_noun	pUrakIkaraNa
component_noun	Gataka
compress_noun	saMpIdana
compressor_noun	saMpIdiwra
computability_noun	aBikalanIyawA
computation_noun	aBikalana
computer_noun	kaMpyUtara/aBikaliwra
computerist_noun	aBikaliwravixa
computerization_noun	aBikaliwrIkaraNa/kaMpyUtarIkaraNa
concatenate_noun	saMSqMKalana
concatenation_noun	saMSqMKalana
concentration_noun	saMkeMxraNa
concentrator_noun	saMkeMxriwra
concordance_noun	susaMgawawA
concordant_noun	susaMgawa/susvara
concurrent_noun	saMgAmI
conditional_noun	prawibaMXI_vicCexa_biMxu
conditioning_noun	prawibaMXana/prAnukUlana
confidentiality_noun	gopanIyawA
configuration_noun	vinyAsa
confirmation_noun	saMpuRti
congestion_noun	saMkulana
conjunction_noun	sarvaniRTa
connection_noun	saMbaMXana
connective_noun	saMyojaka
connector_noun	saMbaMXaka
consecutive_noun	kramAgawa
console_noun	kansola
consolidation_noun	samekana
consolidator_noun	samekiwra
constraint_noun	vyavaroXa
content_noun	anwarvaswu/aMSa
contention_noun	prayoga_prawisparXA
context_noun	saMxarBa
contrast_noun	viparyAsa/vyawireka
control_noun	niyaMwraNa
controller_noun	niyaMwriwra/niyaMwraka
convention_noun	rUDZi/paripAtI
convergence_noun	aBisAriwA
conversation_noun	saMvAxa
conversational_noun	saMvAxI
conversion_noun	rUpAMwaraNa
convert_noun	rUpAMwaraNa
converter_noun	parivarwaka
copy_noun	prawilipi
core_noun	kroda
correction_noun	saMSoXana
count_noun	ginawI/gaNanA/gaNanAMka
counter_noun	gaNiwra
crowding_noun	aXisaMKyana
cryogenics_noun	nimnawApikI
cryostat_noun	nimnawApasWApI
cryotron_noun	krAyotrAna/nimnawApI_sciva
cryptographic_noun	gUDZAleKI
cryptography_noun	gUDZaleKana/gUDZaleKikI
cursor_noun	prasaMkewaka
curtate_noun	laXvakRa
cushion_noun	walpa
cybernation_noun	sAibaraneSana/aBikaliwrI_svacalana
cybernetics_noun	sAibaranetiksa/sUcanA_praBAvikI
cycle_noun	cakra
damping_noun	avamaMxana
data_noun	AzkadZe
database_noun	AzkadZAsaMcaya
datagram_noun	AzkadZAreKa
datamation_noun	AzkadZA_svacAlana
dataphone_noun	detAPona
datatron_noun	detAtrAna
datum_noun	AXAra//AzkadZA
deactivation_noun	niRkriyaNa
deblock_noun	viKaMdakana
debug_noun	xoRamArjana
debugger_noun	xoRamArjaka
decade_noun	xaSaka
decibel_noun	desibela
decidability_noun	nirNeyawA
decipher_noun	kUtavAcana
decision_noun	nirNaya
decoder_noun	vikodaka/kUtavAcaka
decollate_noun	visamAnukramaNa
decollator_noun	visamAnukramaka
deconcentration_noun	visaMkenxraka
decrement_noun	apakRaya/hrAsa
decrypt_noun	viguDZana
decurl_noun	vakramArjana
default_noun	vyawikrama/cuka
degauss_noun	vikRewraNa
degausser_noun	vikRewraka
degeneracy_noun	apaBraRtawA
delay_noun	vilaMba
delayline_noun	vilaMba_lAina
delete_noun	vilopa/vilopana
delimiter_noun	parisImaka
demand_noun	mAMga
demodulation_noun	vimAdulana
demodulator_noun	vimAdulaka
demount_noun	avarohaNa
demultiplexing_noun	vibahusaMkewana
density_noun	saGanawA/Ganawva
deque_noun	vipaMkwIyana
derning_noun	nayUnana_kRamawA
descender_noun	avarohaka
description_noun	varNana
descriptor_noun	nirUpaka
design_noun	aBikalpanA
despatch_noun	preRaNa
destination_noun	gaMwavya
destrucaddition_noun	vinASI_yoga
detab_noun	visAraNIyana
detap_noun	vitEpana
device_noun	yukwi
device-dependent_noun	yukwi_ASriwa
diagnosis_noun	nixAna
diagnostics_noun	nixAnikI
diagram_noun	AreKa
dial_noun	dAyala
dial-up_noun	dAyalana
dialing_noun	dAyalana
dialog_noun	saMvAxa
dibit_noun	xvixvayaMka
dichotomy_noun	xviBAjana
dictionary_noun	koSa
differentiator_noun	avakalaka
digit_noun	aMka
digitization_noun	aMkarUpaNa
digitize_noun	aMkarUpaNa/aMkIkaraNa
digitizer_noun	aMkarUpaka
digroup_noun	aMkAwmaka_samUha
dimension_noun	vimA
diplexer_noun	xvisaMkewaka
directive_noun	nirxeSa
directory_noun	nirxeSikA
disaggregation_noun	vipuMjana
disassembler_noun	vikoMdAwaraka
disassembly_noun	saMprawIka_vikodAMwaraNa
discretization_noun	asaMwawakaraNa
discriminator_noun	vivikwakara
disjunction_noun	sammilana
disk-based_noun	cakrikA_AXAriwa_pracAlana
diskette_noun	namyikA/diskata
dispatch_noun	preRaNa
dispatcher_noun	preRaka
dispersion_noun	parikRepaNa
distortion_noun	virUpaNa
diversity_noun	viBinnawA/viviXawA
divisor_noun	BAjaka
document_noun	praleKa
documentation_noun	praleKana
docuterm_noun	praleKa_sUcaka
dopant_noun	mAxaka_paxArWa
double-word_noun	xviSabxa
dragging_noun	karRaNa
drift_noun	apavAha
duality_noun	xvEwI
dump_noun	sannikRepa
duodecimal_noun	xvAxaSa_AXArI
duplexing_noun	xvEXIkaraNa/xvisaMkewana
duplicator_noun	anulipiwra
edge_noun	kora
edit_noun	saMpAxana
editor_noun	saMpAxaka
edulcorate_noun	SoXana
element_noun	avayava
emboldening_noun	anyaWA_anucCexa_niyama
emulate_noun	rikwa_rajju
emulation_noun	yaMwrAnukaraNa
enable_noun	samarWakaraNa
enabled_noun	samarWakqwa
encipher_noun	kUtaleKana
encode_noun	kodana/kUtaleKana
encoder_noun	kodiwra/kUtaleKiwra
encryption_noun	guDZaleKana
english_noun	Hindi
enter_noun	praveSa
environment_noun	pariveSa
epilog_noun	upasaMhAra
equalizer_noun	wulyakAraka
equipment_noun	upakaraNa
equivalence_noun	wulyawA
equivocation_noun	bahu-arWawA_nivAraNa
erase_noun	vyAmArjana
erlang_noun	iralEMga
exception_noun	apavAxa
exclusion_noun	apavarjana
exclusive-or_noun	apavarjI_'aWavA'
execute_noun	niRpAxana
execution_noun	niRpAxana
extension_noun	viswAra/viswqwi
extract_noun	niRkarRa
extraction_noun	niRkarRaNa
extractor_noun	niRkarRaka
facsimile_noun	prawikqwi
fan-in_noun	niveSAMka
fetch_noun	Anayana
firmware_noun	prakriyA_yaMwra_sAmagrI
flag_noun	pawAkA/cihnaka
flippy_noun	xvipArSva_namyikA
fluidic_noun	waralI
fluidics_noun	waralikI
flyback_noun	prawiXAva
folding_noun	valana
font_noun	PAMta
footer_noun	pAxikA
fork_noun	xviSAKa
forking_noun	xviSAKana
format_noun	saMrUpa/PoYrmeta
formatter_noun	saMrUpaka
forth_noun	PorWa
fortran_noun	PortrAna
four-wire_noun	cAra_wAra
frame_noun	Prema/swaMBa
framing_noun	Premana/swaMBa_sarjana
frequency_noun	Avqwi/bAraMbArawA
function_noun	Palana/prakArya
garbage_noun	kacarA
gate_noun	xvAra
geo-stationary_noun	BUsWira
glitch_noun	Xvanika
grammar_noun	vyAkaraNa
gulp_noun	bAita_samUha
half-adder_noun	arXa_yojaka
half-carry_noun	arXa-haswaMgawa
half-duplex_noun	arXa-xvEXa
half-speed_noun	arXa_cAla
half-subtracter_noun	arXa-vyavakalaka
half-word_noun	arXa-Sabxa
handler_noun	haswaka
hard-wired_noun	sWAyI_wAra_saMbaxXa
hardware_noun	yaMwrasAmagrI
hardwiring_noun	sWAyI_wAra_saMbaMXana
hash_noun	xruwAnveRaNa
hashing_noun	xruwAnveRaNa
header_noun	praveSikA
heading_noun	SIrRaka
hesitation_noun	alparoXa
heuristic_noun	svAnuBavika
hexadecimal_noun	RodaSa_AXArI
hierarchy_noun	paxAnukrama
highway_noun	mahAmArga
hiragana_noun	hIrAgAnA
hit_noun	lakRya_veXa/prahAra/kRoBaja
hologram_noun	hologrAma
homeostatis_noun	samasWApana
hopper_noun	pluwi_maMjURA
host_noun	AwiWeya
hub_noun	nABi
hunting_noun	AKoja
identifier_noun	aBijFApaka
identity_noun	aBijFApana
if-then-else_noun	yaxi_waxA_anyaWA'
ignore_noun	upekRA_anuxeSa
image_noun	prawibiMba
implication_noun	vivakRA
imprinter_noun	CApiwra
imprinting_noun	CApana
impulse_noun	Avega
inclusion_noun	aMwarveSa/aMwarveSana
inconnector_noun	aBisaMbaMXaka
increment_noun	vqxXi
incrementer_noun	varXiwra
indegree_noun	aMwaHkoti
indent_noun	aBisWApana
indexing_noun	sUcIkaraNa
indicator_noun	sUcaka
informatics_noun	sUcanA_vijFAna/sUcanikI
information_noun	sUcanA
initialization_noun	prAraMBikIkaraNa
initialize_noun	prAraMBikIkaraNa_karanA
inking_noun	aMkana
inquiry/reply_noun	pUCawACa/uwwara
inscribe_noun	cirAMkana
insert_noun	niveSana
instruction_noun	anuxeSa
interaction_noun	anyonyakriyA
intercycle_noun	aMwarAcakra
interface_noun	aMwarApqRTa
interfix_noun	aMwarlagna
interlanguage_noun	aMwaraBARA
interleave_noun	aMwaHpawraNa
interleaving_noun	aMwaHpawraNa
interlude_noun	viRkaMBaka
interpositioning_noun	aMwarAsWApana
interpreter_noun	nirvacaka
interrobang_noun	aXimuxraNa
interrogating_noun	praSnasaMcAraNa
interrogation_noun	praSnana
interrogator_noun	praSniwra
interworking_noun	aMwarA_pracAlana
intimate_noun	GaniRTa_saMparka
invert_noun	prawilomana
inverter_noun	prawilomiwra
invocation_noun	uwkriyaNa
invoke_noun	uwkriya_karanA
irrelevance_noun	asaMgawi
iterate_noun	punarAvarwana
iteration_noun	punarAvqwwi
jack_noun	saMyojaka
jitter_noun	AkaMpa
joggle_noun	susWiwikaraNa
join_noun	sammilana
journal_noun	yaWArUpa
journaling_noun	yaWArUpawA
jumper_noun	JaMpaka
junctor_noun	saMXika
junk_noun	kabAdZa
justification_noun	Ociwya
kanji_noun	kaMjI_varNamAlA
katakna_noun	katakanA_varNamAlA
kerning_noun	nyUnana_kRamawA
key-driven_noun	kuMjI-paricAliwa
key-to-disk_noun	kuMjI_se_cakrikA
keyboard_noun	kuMjIpatala
kilobaud_noun	kilovoYda
kilobyte_noun	kilobAita
kilomega_noun	kilomegA
label_noun	lebala
labelling_noun	lebanala
latch_noun	sitakanI
latching_noun	sitakana
leader_noun	agraga
leasing_noun	pattAyana
leg_noun	pAxa
length_noun	laMbAI
letter_noun	akRara
level_noun	swara
lexeme_noun	Sabxima
lexicon_noun	Sabxa_koSa
librarian_noun	kramAxeSa_saMgrAhaka
library_noun	kramAxeSa_saMgraha
limiter_noun	sImaka
line_noun	lAina/reKA
linearity_noun	rEKikawA
lines-per-inch_noun	prawi_iMca_reKAez
link_noun	kadZI
link-attached_noun	kadZIbaxXa
linkage_noun	SqMKalana
linker_noun	SqMKalaka
listing_noun	sUcIyana
literal_noun	AkRara
load_noun	BAra/loda
load-on-call_noun	AhvAnI_BAraNa
loader_noun	BAraka
loading_noun	BAraNa
lobe_noun	pAli
local_noun	sWAnIya/sWAnika
locate_noun	sWAna_nirXAraNa
location_noun	sWAna/sWAna_nirXAraNa
lock_noun	wAlakana/wAlaka
locking_noun	wAlakana
log_noun	pracAlana_aBileKa
logger_noun	pracAleKiwra
logging_noun	pracAleKana
look-up-table_noun	avalokana_sAraNI
loop_noun	pASa
looping_noun	pASana
loss_noun	hAni/kRINana
machine_noun	yaMwra/maSIna
macroargument_noun	sWUla_svawaMwra_cara
macroassembler_noun	sWUla_kodAMwaraka
macrocall_noun	sWUla_AhvAna
macrocode_noun	sWUla_kUta
macrocoding_noun	sWUla_kUtaleKana
macrocommand_noun	sWUla_samAxeSa
macrodeclaration_noun	sWUla_GoRaNA
macrodefinition_noun	sWUla_pariBARA
macroelement_noun	sWUla_avayava
macroexerciser_noun	sWUla_parIkRaka
macroexpansion_noun	sWUla_prasAra
macroflowchart_noun	sWUla_pravAha_saMciwra
macrogeneration_noun	sWUla_janana
macrogenerator_noun	sWUla_janiwra
macroinstruction_noun	sWUla_anuxeSa
macrolibrary_noun	sWUla_kramAxeSa_saMgraha
macroparameter_noun	sWUla_prAcala
macroprogramming_noun	sWUla_kramAxeSana
macroprototype_noun	sWUla_AxiprarUpa
macrosystem_noun	sWUla_waMwra
macrotrace_noun	sWUla_wruti_saMsUcana
macsyma_noun	mEkasAimA
madcap_noun	mEdakEpa
mag_noun	mEga/sWUla_janiwra
magnetostriction_noun	cuMbakIya_virUpaNa
mainframe_noun	aXisaMsAXiwra/bqhaw_aBikAliwra
majority_noun	bahusaMKyaka
management_noun	prabaMXa
manifolding_noun	bahu-prawilipIyana
marge_noun	vilaya
margin_noun	upAMwa
mark_noun	cihna/uccaga
marker_noun	cihnaka
marking_noun	cihna/uccaga
maser_noun	mesara
mask_noun	AcCaxa
massaging_noun	parimArjana
master_noun	praWAna
match_noun	sumelana
matrix_noun	mEtriksa/AvyUha
megabyte_noun	megAbAita
megacycle_noun	megAsAikila
memory_noun	smqwi
menu_noun	menU/prasUcI
merging_noun	vilayana
messaging_noun	saMxeSa_preRaNa
metasystem_noun	aXiwaMwra
microcobol_noun	mAikrokobola
microcomputer_noun	sUkRma_aBikaliwra
microcycle_noun	sUkRma_cakra
microfiche_noun	sUkRmikA
microfilm_noun	mAikroPilma
microfloppy_noun	sUkRma_namyikA
microflowchart_noun	sUkRma_pravAha_saMciwra
micrographics_noun	sUkRmAleKikI
microimage_noun	sUkRma_prawibiMba
micromainframe_noun	sUkRma_aXisaMsAXiwra/sUkRma_bqhaw_aBikaliwra
microminiaturization_noun	sUkRma_laGurUpaNa
microorder_noun	sUkRmAxeSa
microphotograph_noun	sUkRma_PotogrAPa
microphotography_noun	sUkRma_PotogrAPI
microprocessor_noun	sUkRma_saMsAXiwra
microprogram_noun	sUkRma_kramAxeSa/sUkRmAxeSa
microsequence_noun	sUkRma_anukrama
middleware_noun	maXyama_sAmagrI
midicomputer_noun	maXyama_aBikaliwra
migration_noun	pravAsana
minicomputer_noun	laGu_aBikaliwra
minidiskette_noun	laGu_namyikA
minterm_noun	guNaxa
mips_noun	mipsa
misfeed_noun	kuBaraNa
misregistration_noun	kupaMjIpana
mistake_noun	BUla
mnemonic_noun	smaraka
modifier_noun	Aparivarwaka
modula_noun	mAdulA
modularity_noun	prawirUpakawA
monadic_noun	eka-aka
monostable_noun	ekasWiwika
morpheme_noun	rUpima
morphism_noun	AkAriwA
mount_noun	Aroha
move_noun	aMwaraNa/cAla
multiaspect_noun	bahuvI
multibus_noun	bahubasa
multichip_noun	bahu_patalikA
multilinked_noun	bahu_SqMKaliwa
multiplexer_noun	bahusaMkewaka
multiplexing_noun	bahusaMkewana/bahuBAjana
multipriority_noun	bahu_prAWamikawA
multiprocessing_noun	bahu_saMsAXana
multiprocessor_noun	bahu_saMsAXiwra
multiprogramming_noun	bahu_kramAxeSana
multistation_noun	bahu_keMxra
multithreading_noun	bahu_sUwraNa
multivibrater_noun	bahukaMpiwra
name_noun	nAma/nAmakaraNa
nand_noun	waWA_pUraka'
needle_noun	sUI
negate_noun	niReXa_kriyA
negentropy_noun	sUcanA_entroYpI
neper_noun	nepara
nexus_noun	grAMWi
nibble_noun	cawuHxXayaMka/nibala
nip_noun	nipa
no-op_noun	saMkriyAhIna_anuxeSa
