#electrical dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#################################################################################
bedding_noun	saMswaraNa/bETAnA
bellows_noun	XOMkanI
benching_noun	pEdZI_banAnA
bend_noun	modZa
bending_noun	baMkana/modZanA
bentonite_noun	bEntonAita
benzene_noun	benjIna
betterment_noun	KuSahAlI/unnawi/behawarI
bi-monthly_noun	xvimAsika/pAkRika
bias_noun	aBinawi/JukAva/pUrvAgraha/pakRapAwa
bifurcate_noun	xviviBAjana/xo_BAgo_meM_bAM_tanA
bimetallic_noun	xviXAwvika
binary_noun	xviaMkI/xviAXArI
binding_noun	baMXanakArI/bAXyakArI
binocular_noun	xUravIkRaNa_yaMwra
biodiversity_noun	jEvaviviXawA
bioelectricity_noun	jEvavixyuwa
biosphere_noun	jEvamaMdala
bipartite_noun	xvipakRIya
bisect_noun	samaxviBAga
bit_noun	aNI/bita_(xvayaMka)
bitumen_noun	dAmara/bitumena
blade_noun	Palaka/bleda
blank_noun	korA/SUnya/KAlI
blasting_noun	visPotana
bleed_noun	risanA/srAva
blend_noun	sammiSraNa
block_noun	avaruxXa/roka/bloYka/KaMda
blower_noun	bloara
blowing_noun	AXamana
boiler_noun	boYyalara
bolt_noun	kAbalA/bolta
bonus_noun	bonasa
borer_noun	veXaka
borrower_noun	uXArakarwA/qNI/karjaxAra/uXAra_lene_vAlA
bottleneck_noun	avaroXa/gawyAvaroXa/rukAvateM
boundary_noun	parisImA/sImA/sImAMwa
bounded_noun	AbaxXa/paribaxXa
bracket_noun	breketa/koRTaka
branch_noun	SAKA
brazing_noun	brejiMga/tAMkA_lagAnA/pIwala_kA_raMga_caDZAnA
break-up_noun	viswqwa_byOrA/vivaraNa
breakage_noun	tUta-PUta
breaker_noun	brekara/viyojaka/roXaka
breakwater_noun	waraMgaroXa
breather_noun	Svasana_yaMwra/brIxara
brick_noun	IMta
bridge_noun	pula/sewu
bronze_noun	kAMsA
bubble_noun	bulabulA
bumper_noun	bampara
bunker_noun	baMkara
burner_noun	barnara
burst_noun	PatanA
bushing_noun	buSiMga
butt_noun	kuMxA
bypass_noun	upamArga
cable_noun	kebila/wAra
calibrate_noun	aMSAMkana_karanA
calibration_noun	aMSAMkana
canal_noun	nahara/kEnAla
canopy_noun	CawarI/viwAna
cantilever_noun	ketIlIvara/prAsaM
capacitance_noun	XAriwA
capacitor_noun	kepesitara/saMXAriwra
capital_noun	pUjI/rAjaXAnIM
casing_noun	AvaraNa/kesiMga
catalyst_noun	uwpreraka
category_noun	SreNI/koti
causeway_noun	sewuka/kAjave
cave-in_noun	XaMsanA
caveat_noun	kevieta/sacewa_karanA
cavern_noun	kaMxarA/guPA
cavity_noun	kotara/guhikA
ceiling_noun	uccawama_sImA/BIwarI_Cawa/aMwaSCaxa
cell_noun	prakoRTa/kakRa/sela
central_noun	keMxrIya
centralisation_noun	keMxrIkaraNa
centralised_noun	keMxriwaM
centre_noun	keMxra
centrifugal_noun	apakeMxra
ceramic_noun	siremika
cess_noun	upakara
cessation_noun	anwa/avasAna
challenge_noun	cunOwI
chamber_noun	kakRa/cEmbara
channel_noun	cEnala/vAhikA
channelling_noun	nAlI_kAtanA
charge_noun	AveSa
charging_noun	AveSana/cArjiMga
chemical_noun	rasAyana
chimney_noun	cimanI
chips_noun	cipa/kaNikA/CIlana
chisel_noun	CenI
choke_noun	coka/avaroXa
chromatic_noun	varNika
chute_noun	praveSikA/Uta/DalavAM_nalI/pravaNikA
cinder_noun	siMdara/kerI/CAI
circuit_noun	paripaWa/sarkita
circular_noun	paripawra/vqwwAkAra
circulate_noun	paricAlana
circulation_noun	parisaMcaraNa
circumference_noun	pariXi
cistern_noun	hOja/kuNdikA/sistarna
cladding_noun	paricCAxana
classification_noun	vargIkaraNa
clause_noun	KaMda
clay_noun	mqwwikA
cleat_noun	gutakA/PannI/klIta
client_noun	grAhaka/sevArWI
climate_noun	jalavAyu
climber_noun	ArohI
clip_noun	klipa
clockwise_noun	xakRiNAvarwa/kloYkavAija
co-ordination_noun	samanvaya
co-ordinator_noun	samanvayaka
coat_noun	lepa
coder_noun	kodara
coefficient_noun	guNAMka
cognizance_noun	saMjFAna
coherence_noun	susaMgawi/saMbaxXawA
cohesion_noun	saMsaMjana/saMsakwi
cohesionless_noun	saMsaMjanahIna/sAmaMjasyahIna/saMsakwihIna
coil_noun	kuMdalI
collar_noun	koYlara
collector_noun	saMgrAhaka
column_noun	swaMBa/koYlama
combination_noun	saMyojana
combustion_noun	xahana
commencement_noun	prAraMBa
commendable_noun	praSaMsanIya/sarAhanIya
comment_noun	samAlocanA/tippaNI
commercial_noun	vANijyika
commissioning_noun	cAlU_honA/AraMBa_honA/kamISaniMga/saMcAliwa_honA
commitment_noun	prawibaxXawA/vacanabaxXawA
communicate_noun	saMcAriwa_karanA/sUciwa_karanA
communication_noun	saMcAra/saMpreRaNa/pawra_vyavahAra
commutation_noun	xikparivarwana/parivarwana/saMrASIkaraNa
compact_noun	saMhawa
comparable_noun	wulya/wulanIya
comparison_noun	wulanA
compass_noun	xiksUcaka/kaMpAsa
compatibility_noun	susaMgawa
compatible_noun	susaMgawa
compendium_noun	sAra_saMgraha
compensation_noun	kRawipUrwi/muAvajA
competency_noun	sakRamawA/kRamawA
compilation_noun	saMkalana
complainant_noun	parivAxI/SikAyawakarwA
complaint_noun	SikAyawa/parivAxa
complementary_noun	pUraka
complete_noun	pUrNa/pUrA/samApwa
completion_noun	samApwi/saMpUrNawA
complex_noun	jatila/parisara
compliance_noun	anupAlana
complimentary_noun	mAnArWa
component_noun	Gataka
composite_noun	sammiSra/saMyukwa
composition_noun	saMGatana/racanA
compound_noun	yOgika/saMyukwa
compressed_noun	saMpIdiwa
compressive_noun	saMpIdaka
compressor_noun	saMpIdaka
computing_noun	aBikalana
concave_noun	avawala
concentrator_noun	saMkeMxraka/sAMxraka
conceptual_noun	saMkalpanAwmaka
concern_noun	prawiRTAna/sarokAra
concession_noun	CUta/riyAyawa
conciliation_noun	milAna/samAXAna
conclusion_noun	niRkarRa
conclusive_noun	niScayAwmaka/niScAyaka
concreting_noun	kaMkrItana
concurrently_noun	sAWa-sAWa
condensation_noun	saMGanana/xravaNa
condensed_noun	saMGaniwa/xraviwa
