#computer dictionary extracted by Monika Sharma. Formatted by Roja (12-03-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#	   2) English words are converted to lower case
#	   3) Added category as 'noun' by default
#################################################################################
grammer_noun	vyAkaraNa
gulp_noun	bAita_samUha
half-adder_noun	arxXayojaka
half-subtractor_noun	arxXa-vyavakalaka
half-word_noun	arxXa-Sabxa
hardware_noun	yaMwra_sAmagrI
hash_noun	xruwAnveRaNa
hashing_noun	xruwAnveRaNa
header_noun	praveSikA
hetrogeneous_noun	viRmAMgI_bahusaMkewana
hexadecimal_noun	RodaSa_AXArI
hit_noun	lakRya_veXa/prahAra/kRoBaja
host_noun	AwiWeya
identifier_noun	aBijFApaka
identity_noun	aBijFApana
ignore_noun	upekRA_anuxeSa
image_noun	prawibimba
inclusion_noun	aMwarveSa/aMwarveSana
increment_noun	vqxXi
indegree_noun	aMwa:koti
indent_noun	aBisWApana
informatics_noun	sUcanA_vijFAna/sUcanikI
initialization_noun	prAraMBikIkaraNa
inscribe_noun	cirAMkana
insert_noun	niveSana
instruction_noun	anuxeSa
interaction_noun	anyonya_kriyA
interface_noun	aMwarApqRTa
interleave_noun	aMwa:pawraNa
interpreter_noun	nirvacaka
invoke_noun	uwkriya_karanA
irrelevance_noun	asaMgawi
iteration_noun	punarAvqwwi
join_noun	sammilana
journal_noun	yaWArUpa
jumper_noun	JaMpaka
junk_noun	kabAda
justification_noun	Ociwya
kilobaud_noun	kilovAda
kilobyte_noun	kilobAita
kilomega_noun	kilomegA
label_noun	lebala
labelling_noun	lebanala
latch_noun	sitakanI
latencytime_)_noun	prasukwi_kAla
letter_noun	akRara
level_noun	swara
lexicon_noun	SabxakoRa
library_noun	kramAxeSa_saMgraha
linearity_noun	rEKikawA
linker_noun	SrqMKalana
literal_noun	AkRara
load_noun	BAra/loda
loader_noun	BAraka
loading_noun	BAraNa
locate_noun	sWAna_nirXAraNa
lock_noun	wAlakana
logging_noun	pracAleKana
look-up-table_noun	avalokaNa_sAraNI
loop_noun	pASa
looping_noun	pASana
machine_noun	yaMwra
macrogenerator_noun	sWUla_janiwra
macroinstruction_noun	sWUla_anuxeSa
macrolibrary_noun	sWUla_kramAxeSa_saMgraha
macroprogramming_noun	sWUla_kramAxeSana
macrosystem_noun	sWUla_waMwra
management_noun	prabaMXa
manifolding_noun	bahu_prawilipIyana
mark_noun	cihna
marker_noun	cihnaka
marking_noun	cihna
mask_noun	AcCaxa
massaging_noun	parimArjana/saMxeSa_preRaNa
master_noun	praXAna
megabyte_noun	megAbAita
megacycle_noun	megA_sAyakila
menu_noun	prasUci
microcobol_noun	mAikrokobola
microcomputer_noun	sUkRma_aBikaliwra
microcontroller_noun	sUkRma_niyaMwraka
microcycle_noun	sUkRma_cakra
microfiche_noun	sUkRmikA
microfilm_noun	mAikroPilma
microfloppy_noun	sUkRma_namyikA
micrographics_noun	sUkRmAleKikI
microimage_noun	sUkRma_prawibimba
micromainframe_noun	sUkRma_aXisaMsAXiwra/sUkRma_vqhawa_aBikaliwra
microphotography_noun	sUkRma_PotogrAPI
microprocessor_noun	sUkRma_saMsAXiwra
microprogram_noun	sUkRma_kramAxeSa/sUkRmAxeSa
middleware_noun	maXyama_sAmagrI
midicomputer_noun	maXyama_aBikaliwra
minicomputer_noun	laGu_aBikaliwra
mips_noun	mipsa
mistake_noun	BUla
mnemonic_noun	smaraka
modifier_noun	Aparivarwaka
modula_noun	mAdulA
monostable_noun	ekasWiwika
morphism_noun	AkAriwA
motherboard_noun	uxagama_patala
multibus_noun	bahubasa
multiplexer_noun	bahusaMkewaka
multiplexing_noun	bahusaMkewana
multiprocessor_noun	bahu_saMsAXiwra
multiprogramming_noun	bahu_kramAxeSana
multithreading_noun	bahusUwraNa
nand_noun	waWApUraka
nibble_noun	cawu:_xvayaMka/nibala
non-compact_noun	asaMhawa
normalize_noun	prasAmAnyIkaraNa
not-and_noun	waWApUraka
not-or_noun	aWavA_pUraka
nybble_noun	cawu:xvayaMka_nibala
off-line_noun	lAinewara
offset_noun	APaseta
on-line_noun	yugapawa/lAina_ArUDa
one-output_noun	eka_nirgama
operand_noun	saMkArya
operator_noun	pracAlaka/saMkAraka
optimization_noun	iRtamIkaraNa
option_noun	vikalpa
or_noun	aWavA
overflow_noun	aXipravAha
pack_noun	saMkula/gaddI
package_noun	pEkaga/saMkula
packet_noun	pEkata
page_noun	pqRTa
paging_noun	pqRTana
panel_noun	pattikA
paragraph_noun	pErAgrAPa
parse_noun	pata_vyAKyA
parser_noun	paxa_vyAKyAyiwra
parsing_noun	paxa_paricaya
partitioning_noun	viBAjana
password_noun	pAraNa_Sabxa
pel_noun	ciwra_avayava
percolation_noun	uwpAraNa
perforator_noun	aviCixiwra
peripheral_noun	upAMwIya/upasAXana/sahAyaka_yaMwra
pipelining_noun	saMpaMkwiyana
pitch_noun	saMprawIka_aMwarAla
pixel_noun	ciwra_avayava
plotter_noun	AleKiwra
polymorphic_noun	bahurUpI
positioning_noun	sWiwi_nirXAraNa
postmortem_noun	uparAMwa_viSleRaNa
precision_noun	pariSuxXawA/pariSuxXi
predicate_noun	nirXAraka/viXeya
preprocessor_noun	pUrva_saMsAXiwra
privacy_noun	gopanIyawA
processing_noun	saMsAXana
processor_noun	saMsAXiwra
programmer_noun	kramAxeSaka
programming_noun	kramAxeSana
prompt_noun	AhavAna
protocol_noun	saMxeSAcAra
push_noun	saMBara
quad_noun	cawu:
quadruple_noun	cawuRka
qualifier_noun	viSeRaka
quantification_noun	pramAwrIkaraNa
quartet_noun	cawuR_taya
query_noun	pqcCA
queue_noun	paMkwi
queuing_noun	paMkwIyana
quiescent_noun	niRpaMxa
radix_noun	mUlAMka
range_noun	parisara
raster_noun	rEstara/reKApuMja
reachability_noun	gamyawA
read_noun	paTana
reader_noun	paTiwra
reconfiguration_noun	punapunarvinyAsa
reconstitution_noun	racanA/punargaTana
reconstruction_noun	punargaTana/punarracanA
recurrence_noun	punarAvqwwi
recursion_noun	punarAvarwana
redundancy_noun	awirikwawA
reenlargement_noun	punarvarxXana
reference_noun	nirxeSa/saMxarBa
reflectance_noun	parAvarwakawA
refresh_noun	punaScaryA/punarjanana
regeneration_noun	punarjanama/punaryojana
register_noun	paMjI
reliability_noun	viSvasanIyawA_suxUra
retry_noun	puna:_prayAsa
return_noun	prawigamana
routine_noun	nemakA
routing_noun	anumArgana
sampling_noun	prawixarSI/prawicayana
saturation_noun	saMwqpwi/saMwqpwikaraNa
scalar_noun	axiSa
scaling_noun	sopAnana
scan_noun	kramavIkRaNa
scanner_noun	kramavIkRaka
schema_noun	vivaraNikA
scratch_noun	liKamita
screen_noun	prapatta
scroll_noun	pariluMTana
searching_noun	KojakriyA
security_noun	surakRA
sense_noun	saMvexa/BAva
sensor_noun	saMvexiwra
sentinel=flag_)_noun	pawAkA
sequence_noun	anukrama
sequencing_noun	anukramaNa
server_noun	parisevaka
shading_noun	CAyAMkaNa
shannon_noun	Senana
sharing_noun	sahaBAjana
sheet_noun	parNa
sibling_noun	sahoxara
signal_noun	saMkewa
simulator_noun	anukArI
skip_noun	pluwi
skipping_noun	pluwi
slice_noun	kawalI
slicing_noun	kawalIpana
slot_noun	KAMcA
smoothing_noun	samakaraNa
snobol_noun	snobola
socket_noun	sAketa
software_noun	prakriyA_sAmagrI
sorter_noun	SAtiwra
sorting_noun	SAtana
space_noun	rikwi/samiRta/nimagra/AkASa
spool_noun	spUla
spooler_noun	spUlaka
spooling_noun	spUlana
standardization_noun	mAnakIkaraNa
starvation_noun	aprApwi
stator_noun	sWirAMga
storage_noun	BaMdAraNa
string_noun	rajju_mAlA
structure_noun	saMracanA
stub_noun	sWUna
stylus_noun	SUka
subschema_noun	upavivaraNikA
subscript_noun	pAxAkRara/pAxAMka
substring_noun	uparajju
subsystem_noun	upawaMwra
subtracter_noun	vyavakaliwra
