#Source :: Extracted this dictionary from agriculture1_wiktionary.txt and agriculture2_wiktionary.txt
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#	   3) Added category as 'noun' by default
#Added  :: By Roja Lakshmi (06-11-14)	
#######################################
agarian_noun	BUmi_saMbaMXI/kqRi_saMbaMXI
agglameration_noun	samUhana
agglutination_noun	ASleRaNa
agitation_noun	viloDana
agroforestry_noun	kqRi_vAnikI
agrology_noun	sasya_mqxA_vijFAna
agrometeorology_noun	kqRi_mOsama_vijFAna
agrometeorology_noun	kqRi_mOsama_vijFAna
agronomical_noun	sasya_saMbaMXI
agronomist_noun	sasya_vijFAnI
agronomy_noun	sasya_vijFAna
agrotype_noun	kqRi_prArUpa
albino_noun	raMjakahIna_jIva
algal_noun	SevAla/kAI
alignment_noun	saMreKaNa
alkaline_noun	kRArIya/KArA
alkaloed_noun	viRaXArI_paxArWa
allele_noun	yugmavikalpI/vikalpI
allied_noun	sambaxXa
allogamy_noun	paraniSecana
alloy_noun	miSrAwu
almond_noun	bAxAma
alternated_noun	pArI_pArI_se/ekAMwara
alternation_noun	eMkAMwaraNa
altitude_noun	wuMgawA/UEYMcAI
alum_noun	PitakarI
amalgam_noun	amalagama/sammiSra
amaranth_noun	cOlAI
ambient_noun	pariveSa
ambiguous_noun	saMxigXa
amelioration_noun	suXAra
amenable_noun	uwwaraxAI
amendment_noun	saMSoXana
ametabolic_noun	arUpAMwaraNI
amitosis_noun	asUwrIviBAjana
ammonification_noun	amoniyAkaraNa
amorph_noun	apraBAvI_rUpa
amorphous_noun	AkAra_rahiwa/akristalIya
amplification_noun	pravarXana
ampule_noun	saMputa/Empyula
amputation_noun	aMgocCexana/aMga_kAtanA
amylase_noun	emilesa
anabolism_noun	upacaya
anaerobic_noun	avAyujIvI
anaesthesia_noun	saMvexanAharaNa
analgesic_noun	pIdZAhArI
analogous_noun	anurUpa/saxqRya
analogue_noun	anurUpa/wulyarUpa
analysis_noun	viSleRaNa
analysis_noun	viSleRaNa
analytical_noun	viSleRaNAwmaka
anamorphism_noun	prakAyAMwaraNa
ananthous_noun	apuRpakramI
anaphase_noun	paScAvasWA/enAPeja
anatomical_noun	SArIrika
androecium_noun	pumaMga
androgenesis_noun	puMjanana
androgenous_noun	puMjanaka
angiology_noun	rakwasaMcAra_vijFAna
angiosperm_noun	AvqwabIjI
anhydrous_noun	nirjala
anion_noun	qNAyana
anise_noun	sOMPa
aniseed_noun	sOMPa_(bIja)
annual_noun	vArSika
anorexia_noun	kRuXAnyUnawA
antacid_noun	prawiamlawA
antagonism_noun	viroXa
antenna_noun	SrqMgikA
anthelminitic_noun	kqmihara
anther_noun	parAgakoSa
anthesis_noun	praPullana/praPullana_kAla
anthill_noun	vamrakUta/vAlmIka
anthodium_noun	muMdaka
anthrax_noun	giltI_roga
anthropomorphous_noun	mAnavarUpI
antibiosis_noun	prawijIviwA
antibiotic_noun	prawijEvika
antidote_noun	prawikAraka
antigen_noun	prawijana
antiphlogistic_noun	SoWahArI
antipyretic_noun	jvarahara
antiseptic_noun	pUwiroXI
antiserum_noun	prawisIrama/eMtIsIrama
antispasmodic_noun	eMTanaroXI
antithesis_noun	prawipakRa/prawisWApanA
antitoxin_noun	AviSaroXI
antiviral_noun	prawiviSANuka
antogenist_noun	prawiroXI_virUxXa
apex_noun	SIrRa/cotI/SiKAgra
aphid_noun	lAhI/mAhU/ceMpA/EPida
apiary_noun	maXuvAtikA
apical_noun	SiKAgra
apiculture_noun	maXumakKI_pAlana/mOna_pAlana
apogamy_noun	apayugmana
apparatus_noun	upakaraNa
apparrent_noun	prakata/spaRta
appetite_noun	kRuXA/BUKa
appetizer_noun	kRuXAkArI
application_noun	anuprayoga
appraisal_noun	mUlyAMkana
appreciation_noun	mUlya_vqxXi
apprise_noun	sUcanA_xenA/bawAnA
approach_noun	prayawna/pahuMca/upAya
apricot_noun	KUbAnI
aquaculture_noun	jalajIva_pAlana
aquatic_noun	jalIya/jalacara
aqueous_noun	jalIya
aquifer_noun	jalaBarA
arbitrary_noun	manamAnI
arbitration_noun	paMca_PEsalA/maXyasWa_nirNaya
arboreal_noun	vqkRIya/vqkRavAsI
arboretum_noun	vqkRa_samUha
arboriculture_noun	vqkRa-saMvarXana
arborization_noun	SAKAyana
arbour_noun	kuMja
arbuscules_noun	bOnA_vqkRa
areacanut_noun	supArI
aridity_noun	SuRkawA
aridosol_noun	eridosola
aril_noun	bIjacola
aroma_noun	suvAsa/sugaMXa
aromatic_noun	sagaMXIya
arrangement_noun	vinyAsa
array_noun	sAriNI/byUha
arrival_noun	Amaxa
arthropods_noun	mAnavAkAra
arthrospore_noun	saMXi_bIjANu
articular_noun	saMXi/saMXikA
arum_noun	arabI/GuiyAM
asafoetida_noun	hIMga
ash_noun	rAKa
aspiration_noun	cUSaNa
assembling_noun	saMgrahaNa
assesment_noun	mUlyAMkana
assessed_noun	nirXAriwa
assimilation_noun	AwmasAwakaraNa
associate_noun	saMbaMxXa
assume_noun	kalpanA_karanA/grahaNa_karanA/apanAnA,
assymetry_noun	asamamiwi
asthma_noun	SvAsa/xamA
astringent_noun	swaMBaka/kaSAya
asynapsis_noun	asUwrayugmana
atavism_noun	prawyAvarwana
atrophy_noun	apakRaya/kRINawA,
attribute_noun	guNa
auger_noun	barmA/Agara
augmentation_noun	aBivarXana
aureole_noun	maMda_la
auricula_noun	oYrIkulA/karNapallava
autarchic_noun	ekawaMwrIya
autocarp_noun	svaniSecI_Pala
autogamy_noun	svayugmana
autogenesis_noun	svawaH_janana/aniSekajanana
autoheteroploid_noun	svaviSamaguNiwa
autotype_noun	svaprarUpa
auxin_noun	oYksina
axil_noun	kakRa
axis_noun	akRa
bacterial_noun	jIvANu
bactirium_noun	jIvANu
bale_noun	gAMTa
bark_noun	CAla/valkala
barley_noun	jO
barnyard_noun	sAvAM
basin_noun	WAlA/besina/xroNI
beetle_noun	BqMga
benthic_noun	niwalasWa
ber_noun	bera
betelvine_noun	pAna
