#geography dictionary extracted from Bharatvani site by Prashant. Formatted by Roja (03-10-2019)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#	   4) Removed information present in  ( ) Ex: Ababdeh abEbade (janajAwi)
		to	ababdeh_noun    abEbade
#################################################################################
ababdeh_noun	abEbade
agrometeorology_noun	kqRi-mOsama-vijFAna
agronomy_noun	sasya_vijFAna
agrostis_noun	Egrostisa
agrotown_noun	EgrotAuna
ahead_noun	Age
ahqaf_noun	ehakZAPa
aiguille_noun	egavela/SiwaSiKara
air_noun	vAyu
air-borne_noun	vAyu-vAhiwa
air-column_noun	vAyu_swaMBa
air-conditioner_noun	vAwAnukUlaka
air-conditioning_noun	vAwAnukUlana
air-dry_noun	vAyu-SuRka
air-navigation_noun	vimAna_cAlana
airan_noun	AirAna
airborne_noun	vAwoDZa/vAyuvAhiwa
aircraft_noun	vAyuyAna
airport_noun	havAIpawwana
airship_noun	vAyu_powa
airtight_noun	vAyuroXI
airway_noun	vAyumArga
ait_noun	naxI-xvIpaka/Eta
alabaster_noun	ElAbAstara
alacrity_noun	wawparawA
alakaluf_noun	alAkAluPa
alarm_noun	cewAvanI
alas_noun	vqhaw_garwa
alb_noun	Elba
albanian_noun	albeniyana
albedo_noun	Elbido/Sviwi
albumen_noun	ElbUmena
alcohollism_noun	maxironmawwawA
alcove_noun	AlA/Eklova
alcoveland_noun	ElkovalEMda
alcrete_noun	alakrIta/suxDZa_sawaha
alder_noun	Aldara/Bixura
alderman_noun	nagaravqxXa
alfilaria_noun	ElPilAriyA
alfisol_noun	alPIsoYla/BUrI_mittI
alfuro_noun	elPyUro
algae_noun	SEvAla/kAI
algonkian_noun	ElgokiAI
algorithm_noun	kalana_viXi/elgoriWma_viXi/elgoriWma
alidade_noun	xarSa_reKaka/elIdeda
alien_noun	anyaxeSI
aligment_noun	saMreKaNa
aligning_noun	sareKaNa
alignment_noun	sareKaNa
alios_noun	EliAsa/lOha_parpatI
alkali_noun	kRAra
alkaline_noun	kRArIya
alkanity_noun	kRArIyawA
alleviation_noun	apaSamana
alley_noun	vIWi
alligatoring_noun	ElIgetarana/nakraNa
allocate_noun	niyawa_karanA
allocation_noun	niyawana
allochthonous_noun	aparasWAnika
alloclase_noun	EloklejZa
allogene_noun	anyawrajana
allogenic_noun	anyawrajanika
allogenous_noun	anyawrajAwa
allothigene_noun	anyawrajana
allotment_noun	niyawana/niyawa_BUBAga
alloy_noun	miSraXAwu/EloYya
alloy-mineral_noun	miSrAwu_Kanija
alluvial_noun	jaloDa
alluviation_noun	jaloDakana
alluvium_noun	jaloDaka
almanac_noun	paMcAMga
almwind_noun	uRNaka_pavana
aloft_noun	ucca/UzcA
along_noun	sAWa-sAWa
alongshore_noun	anuwatIya
alp_noun	Elpa
alpaca_noun	ElpekA
alpax_noun	ElpEksa
alpha-numeric_noun	akRarAMkIya
alphabet_noun	varNamAlA/varNAkRara/saragama
alpine_noun	alpAina
alsatian_noun	elaseSiyAI
altaid_noun	Elteida
altaides_noun	altAI_upanawi
altielectrograph_noun	AltIilektrogrAPZa
altimeter_noun	wuMgawAmApI
altimetry_noun	wuMgawAmApikI
altiplanation_noun	uccasWa_samawalana/AltIpleneSana
altiplano_noun	AltIplEno/uccapaTAra
altithermal_noun	samaXiwApIya
altitude_noun	wuMgawA/UzcAI
altocumulus_noun	maXyakapAsI
altostratus_noun	maXyaswarI
altruism_noun	paropakAriwA
alumian_noun	Elumiyana
alvar_noun	ElvAra
amalgam_noun	pAraxaXAwu_miSraNa/amalagama/sammiSraNa
ambalam_noun	ambalama
amber_noun	EMbara/kaharUvA/aMbara
ambergris_noun	Embaragrisa
ambient_noun	pariveSa/pariveSI
ambiguity_noun	saMxigXawA
ambitus_noun	parireKA
ambuscade_noun	GAwasWAna
ambush_noun	GAwasWAna
amelioration_noun	suXAra
amenity_noun	suKasAXana
amici-prism_noun	AmIcI_prijZma
ammophila_noun	EmoPilA
amorphous_noun	akristalIya
amphitheatre_noun	EmPiWietara/raMgamaMdala
amphitheatreheaded_noun	EmPiWietara_SIrRI
amplification_noun	pravarXana
amplitude_noun	AyAma
amtmann_noun	amwamEna
amtsbezirke_noun	Amsabejirke
amtsort_noun	Amsorta
amulet_noun	wAbIja
amylocacter_noun	EmilobEktara
anabatic_noun	ArohI
anabranch_noun	prawyAgawa_SAKA
anaclinal_noun	prawinawika
anaerobic_noun	avAyujIvI
anafront_noun	ArohI_vAwAgra
anaglyph_noun	EnAgliPa
anaglyphoscope_noun	EnAgliPaxarSI
analog/analogue_noun	anurUpa
analogous_noun	saxqSa/anurUpa/samavqwwi
analysis_noun	viSleRaNa
anamorphic_noun	jatilakAyAMwarI
anamorphism_noun	jatila_kAyAMwaraNa
anarchy_noun	arAjakawA
anaseism_noun	uwkampa
anastomose_noun	SAKAmilana_honA
anastomosing_noun	SAKAmilanI
anastomosis_noun	SAKAmilana
anaza_noun	EnAjZA
ancer_noun	karsa_kEnsara
ancestor_noun	pUrvaja/puraKA
ancestry_noun	pUrvaja_paraMparA
anchorage_noun	sWirakasWAna/laMgaragAha
anchored_noun	nibaMXiwa
anchovy_noun	EMcovI/manaMgU
ancient_noun	prAcIna
ancillary_noun	sahAyaka
andamanese_noun	aNdamAnI
andesite_noun	EndejAita
andesitic_noun	EndejZAitI
andoke_noun	Andoka
andosol_noun	EMdosola
anemo-cinemograph_noun	Enimo-sAinemogrAPZa
anemobiagraph_noun	enImobAiAgrAPZa
anemogram_noun	pavanaleKa
anemograph_noun	pavanaleKI
anemometer_noun	pavanavegamApI
anemoscope_noun	pavana_xigxarSI
aneriod_noun	enaroYyada/nirxrava
aneroidograph_noun	nirxravAleKI
angel_noun	enjela
angstrom_noun	eMgstroYma
angular_noun	koNIya
angulater_noun	EMguletara
animal_noun	prANI/jaMwu
anisotropic_noun	viRamaxESika
anker_noun	EMkara
annal_noun	AKyAna
annealing_noun	wApAnuSIlana/anIlana
annual_noun	vArRika
annuals_noun	ekavarRI
annular_noun	valayAkAra
annulus_noun	valaya
anode_noun	XanAgra/Enoda
anodise_noun	EnodIkaraNa
anomalous_noun	asaMgawa
anomaly_noun	asaMgawi
anorogenic_noun	apavarwanI
anta_noun	AntA_)janajAwi)
antarctic_noun	xakRiNa_XruvIya
antarctica_noun	EntArkatikA
ante-meridian_noun	pUrvAhna
antecedent_noun	pUrvavarwI
antenna_noun	EntenA
anthelion_noun	prawisUrya/EMWIliyana
anthropogenic_noun	mAnavoxaBavI
anthropogeny_noun	mAnavoxaBava-vijFAna
anthropogeography_noun	mAnava_BUgola
anthropogeomorphology_noun	mAnava-BU-AkArikI
anthropologist_noun	mAnava_vijFAnI
anthropomorphic_noun	mAnavAkAra/mAnavarUpI
anti-icing_noun	prawibarPZana
anti-twilight_noun	prawi-xvABA
antian_noun	EMtiyana
antibaric_noun	prawixAbI
anticentre_noun	prawikeMxra
anticlilnal_noun	apanawika
anticline_noun	apanawi
anticlockwise_noun	vAmAvarwa
anticorona_noun	prawikirIta
anticyclogenesis_noun	prawicakravAwa_uwpawwi
anticyclogenetic_noun	prawicakravAwa_uwpawwi_saMbaMXI
anticyclolysis_noun	prawicakravAwalayana/prawicakravAwakRINana
anticyclone_noun	prawicakravAwa
anticyclonic_noun	prawicakravAwI
anticyclonicity_noun	prawicakravAwawA
antidune_noun	EntIdyUna/prawitibbA
antielastic_noun	prawyAsWawAroXI
antilocapridae_noun	EntilokepridI
antinode_noun	praspaMxa
antipleion_noun	nyUnawA_kRewra/EMtIplAeoYna
antippodal_noun	prawivyAsAMwa
antippode_noun	prawiXruva/prawivinyAsI
antiquarian_noun	purAnawika
antique_noun	purAwana
antiquing_noun	purAkaraNa
antiquity_noun	purAvaSeRa
antler_noun	mqgaSqMga/SqMgABa
anvil_noun	nihAI
apastron_noun	wArocca
ape_noun	kapi
apeman_noun	kapimAnava
aperture_noun	xvAraka/Cixra/raMXra
apex_noun	SIrRa/SiKara/agraka
aphelion_noun	sUryocca/ravi_ucca/apasOra
aphotic_noun	aprakASI
aplanatism_noun	avipaWiwA
apogean_noun	BUmi-uccIya
apogee_noun	BUmi-ucca/apaBU
aposhere_noun	apagolABa
appanage_noun	aXIna_rAjya
apparatus_noun	upakaraNa
apparent_noun	ABAsI/xqRta
appellation_noun	aBiXAna/paxavI
applied_noun	anuprayukwa
applinace_noun	anuprayukwi
appllied_noun	anuprayukwa
apprentice_noun	SikRu
approcrenic_noun	EprokrenIya
approximation_noun	sannikatana
apside_noun	swabXikA
aqua-culture_noun	jala_kqRi
aquatic_noun	jalIya
aqueduct_noun	jalavAhI_sewu
aqueous_noun	jalIya
aquiclude_noun	mijalaBqw
aquifer_noun	jalaBqwa/jalaBara
arapaho_noun	ArepAho
arathane_noun	ErAWena
araucanian_noun	EroYkEniyAI
arbitrariness_noun	svecCAcAriwA
arbitration_noun	vivAcana
arbitrator_noun	vivAcaka
arbutus_noun	ArbyUtasa
arc_noun	cApa
arch_noun	cApa/woraNa/maharAba/Arca
archaeocyathid_noun	ArkiyosiyAWida
archaeological_noun	purAwAwvika
archaeologist_noun	purAwawvavijFAnI
archaeomagnetism_noun	sWAyI_cumbakawva
archaic_noun	purAwana/purAkAlIna
archer_noun	XanurXara/wIranxAjZa
archfoe_noun	Gora_viroXI
archibenthic_noun	AxiniwalIya
archipelago_noun	xvIpasamUha
archives_noun	purAleKAgAra/aBileKAgAra
arctic_noun	uwwaraXruvIya
arctogaea_noun	uwwara_BU
arcuate_noun	cApAkAra
arcus_noun	cApaka
area_noun	kRewra/kRewraPala
areal_noun	kRewrIya/kRewraPalIya
areg_noun	Erega/bajarI_marUsWala
areic_noun	pravAhahIna
arena_noun	ErenA/uWalA_besina
arenaceous_noun	bAlukAmaya/bAlukAvAsI
arenaria_noun	ErineriyA
arenization_noun	bAlukAyana
areoi_noun	gupwa_samAja
argon_noun	Argana
argument_noun	koNAMka/warka
argyropelecus_noun	ArjiroYpelikasa
argyropyrite_noun	ArjiropAyarAita
arheic_noun	apravAhI
arid_noun	rUkRa/SuRka
aridity_noun	SuRkawA
aridosol_noun	EridosoYla/SuRkamqxA
aristocratic_noun	aBijAwa
ark_noun	Arka/nOkA
armistice_noun	yuxXa-virAma
armorican_noun	ArmorikI
armoricanoid_noun	ArmorikEnAyada
aroscope_noun	vAyuxAbaxarSI
around_noun	AsapAsa/cAroM_ora
array_noun	saraNI
arrester_noun	pragrAhI
arridge_noun	Erija
arris_noun	Erisa
arronidissement_noun	aroYndIsamAna
arrow_noun	bANa/kIla
arrowhead_noun	vANAgra/wIraSIrRa
art_noun	kalA
artery_noun	muKyamArga
artesian_noun	uwsruwa
artgum_noun	artagama
artichoke_noun	hAWIcaka
artifice_noun	yukwi
artificer_noun	kArIgara/SilpI
artificial_noun	kqwrima
artisan_noun	SilpI/kArIgara
aryo-dravidian_noun	Arya-xravida
as_noun	Aja
asar_noun	AjZAra
ascension_noun	ArohaNa
ascent_noun	ArohaNa
ascophyllum_noun	EskoPZilama
ash_noun	rAKa/Basma
ashanti_noun	aSanwi
asiatic_noun	eSiyAiI
aspect_noun	aBimuKawA/Cavi
aspen_noun	Aspena
aspheric_noun	agolI
aspirator_noun	cURiwra
assart_noun	unmUlana
assault_noun	hamalA
assembler_noun	samuccAyaka
assessment_noun	nirXAraNa
associated_noun	saMbaxXa/sahacArI
asteriod_noun	Estara-saxqSa
astrafoil_noun	EstrAPZoila
astraphobia_noun	wadZiw_Baya/BIwi
astroclinometer_noun	estroklAinomItara
astronaut_noun	aMwarikRayAwrI
astronavigation_noun	KanOsaMcAlana
astronavigator_noun	KanOsaMcAlaka
astronomer_noun	KagolajFa
astronomical_noun	KagolIya_Sirobinxu
astronomy_noun	Kagola_vijFAna/KagolikI
asymmetrical_noun	asamamiwa
asymmetry_noun	asamamiwi
asymptote_noun	anaMwasparSI
asymptotic_noun	upagAmI/anaMwasparSI
asynchronous_noun	awulyakAlika
atelecyclus_noun	EtIlIsAiklasa
atlas_noun	Etalasa/SIrRaXara/mAnaciwrAvalI/saMciwrAvalI
atlas-folio_noun	Etalasa_Poliyo
atmometer_noun	vARpanamApI
atmosphere_noun	vAyumaMdala/EtamosPiyara/parimaMdala
atmospheric_noun	vAyumaMdalIya
atmospherics_noun	vAyuvExyuwa_kRoBa
atoll_noun	adala/pravAlaxrIpavalaya
atollan_noun	EtoYlana
attachment_noun	saMlagna/saMlagnI
attenuated_noun	kRINa/wanu
attenuation_noun	kRINana
attenuator_noun	kRINaka
attleboro_noun	etalaborA
attribute_noun	sahajaguNa
attrition_noun	saMniGarRaNa
atua_noun	AwUA
aturated_noun	saMwqpwa
audibility_noun	SravyawA
audible_noun	Sravya
audio_noun	Sravya
audio-visual_noun	Sravya-xqSya
aufeis_noun	AUPAisa
augmentation_noun	saMvarXana
augury_noun	Sakuna/saguna
august_noun	prawApI
aul_noun	oYla
aura_noun	gOrava
aureole_noun	maMdala
aurora_noun	XruvIya_jyowi
ausland_noun	paraBUmi
auster_noun	xakRiNa_pavana
austral_noun	Astrala
australasia_noun	AstreleSiyA
australite_noun	oYstrelAita
australoid_noun	AstreliyAI
autarchia_noun	oYtArkiyA
autarky_noun	AwmanirBarawA
authenticity_noun	prAmANikawA
authigene_noun	wawrajana
authigenesis_noun	wawrajanana
authigenic_noun	wawrajanika
authority_noun	prAXikAra/prAXikArI
auto-piracy_noun	svApaharaNa
auto-stereo-surveying_noun	svawaH_wrivima_sarvekRaNa
auto-transmitter_noun	svapreRI
autobahn_noun	oYtoboYna
autobarotropic_noun	svawoxAbaXanawvIya
autochthonic_noun	svasWAnika
autochthonous_noun	svasWAnika
autochtone_noun	AxivAsI
autoconvection_noun	svasaMvahana
autocorrelation_noun	svasahasaMbaMXa
autocovariance_noun	svasahaprasaraNa
autogeosyncline_noun	svaBUaBinawi
automatic_noun	svawaH/svacAliwa
automation_noun	svacAlana/svacAliwa_yaMwra
automotives_noun	AwmacAlI
autonomous_noun	svAyawwa
autostrada_noun	AtostrAdA
autumn_noun	Saraxa/pawaJadZa
autumnal_noun	Sarax/SAraxa
auxiliary_noun	sahAyaka/sahakArI/awirikwa
avalanche_noun	avaXAva/EvelAMSa/himaXAva
avaler_noun	avArlera
avant-butte_noun	agra-byUta
aven_noun	Evena
avenue_noun	avali/vIWi
average_noun	Osawa/mAXya
avulsion_noun	BU-apaxAraNa
axial_noun	akRIya
axiom_noun	aBigqhIwa
axis_noun	akRa
aybyssal_noun	viwalIya/viwala
ayllu_noun	AilU
azbeh_noun	ajZabeha
azilian_noun	ejZiliyAI
azimuth_noun	xigaMSa
azimuthal_noun	xigaMSIya
babiche_noun	bAbISa/carma_dorI
babin_noun	kEbina/veSma
back-country_noun	paSca_praxeSa
back-land_noun	paSca-BUmi
back-reef_noun	paSca_Biwwi
back-up_noun	pUrwikara
background_noun	pqRTaBUmi/pqRTaBUmika
backing_noun	vAmAvarwana
backlash_noun	picCata
backwash_noun	paSca_XAvana/bEkavASa
backwasting_noun	paScaraxana
backwater_noun	paScajala
backwoods_noun	araNya
backwoodsman_noun	araNyavAsI
badob_noun	bEdoba
badwin_noun	bEdavina
bagai_noun	bagAI
baganda_noun	bAgAMdA
bagara_noun	bagArA
baggara_noun	bagArA
baggfala_noun	bEgAlA
bahada_noun	bahAxA
bai-u_noun	bAI-yU/alUcA-varRA
bailiff_noun	beliPZa/AseXaka
bailiwick_noun	belivika/AseXaka_kRewra
baite_noun	beta
bajada_noun	bAhAxA
bajir_noun	bAjZira
bakalahari_noun	bAkAlAhArI
bakitera_noun	bEkItErA
balagh_noun	balAga
balance_noun	saMwulana/wulA
balata_noun	bElAtA
balk_noun	meMda
ballast_noun	sWiraka_BAra/gittI
balleh_noun	bAle/wAlAba
ballistic_noun	prAkRepika/prAkRepikIya
ballon_noun	bElana/gumbaxAkqwi_pahAdZI
balloon_noun	gubbArA/bElUna
ballstone_noun	boYlastona
balma_noun	bElmA/avawala_Bqgu
balsa_noun	bAlasA
balsa-wood_noun	bAlsA_kARTa
balustrade_noun	jaMgalA/vexikA
bamboo_noun	bAzsa
ban_noun	prawibaMXa/roka/pAbaMxI
banco_noun	bEMko/CAdZana
band_noun	patta/pattI/bEnda
bandada/banado_noun	patta/pattI/bEMda/xala
banding_noun	bEMdiMga/pattana
bandsaw_noun	pattI_ArA_maSIna
bandwidth_noun	bEMda_cOdZAI
banjir_noun	bAMjira/pracaNda_plAvana
bank_noun	vyUha/puMja/wata/kinArA/bEMka
bankeveld_noun	bAnkevelda
banlieue_noun	upanagara/bEnlyU
bantu_noun	bEMwU
banyankole_noun	bEMniyAMkoYle
bar_noun	roXikA/Biwwi/xaMda/CadZa/bAra/reKA/reKikA
barb_noun	bArba/kaMtaka
barbarian_noun	barbara
barbarianism_noun	barbarawA
barbaric_noun	barbara
barbed_noun	kaMtakIya/kaMtawArABa
barber_noun	bArbara
barchan_noun	barakAna/cApa_tibbA
barge_noun	bajarA
bargraph_noun	swaMBa_grAPa
baric_noun	xAbI
barkhan_noun	baraKAna/baluA_pahAdZI
barland_noun	bAralEMda/bAraBUmi
barn_noun	XAnyAgAra/koTAra/KalihAna/baKAra
barnacle_noun	bArnekala/KaMdAvara
baroclinic_noun	bEroklinika/xAbapravaNika
baroclinicity_noun	xAbapravaNawA
baroclinity_noun	xAba_pravaNikawA
barocyclonometer_noun	bErAsAiklonomItara
barogram_noun	vAyuxAbaleKa
barograph_noun	vAyuxAbaleKI/bErogrAPa
barometer_noun	vAyuxAbamApI
barometry_noun	vAyuxAbamiwi
barophobe_noun	xAba_saMvexI
baroscope_noun	vAyuxAbaxarSI
barosphere_noun	karRamaMdala/bEromaMdala
baroswitch_noun	vAyuxAba_svica
barotaxy_noun	xAbAnucalana
barothermograph_noun	bEroWarmogrAPa/xAbawApaleKI
barotropic_noun	xAba-GanawvI/bErotrApika
barotropism_noun	xAbAnuvarwana
barrack_noun	bEreka
barrage_noun	barAjZa/bAzXa
barranca=barranco_noun	barEMkA
barren_noun	anurvara/baMXya/baMjara/Usara
barricade_noun	surakRA_Biwwi
barrier_noun	roXa/roXikA/nABikIya_roXikA/JillI
barrier-enclosed_noun	roXa-paribaxXa_xvIpa
barrn_noun	bErAna
barrow_noun	hAWagAdZI/TelI
barter_noun	vaswu-vinimaya
barton_noun	bAratana/BU-sampawwi
barysphere_noun	gurUmaMdala
bas-relief_noun	nakkASI
basal_noun	AXArika/AXArI_/AXArikA
basalt_noun	besAlta
basaltic_noun	besAltI
basaltiform_noun	besAltarUpI
