#geography dictionary extracted from Bharatvani site by Prashant. Formatted by Roja (03-10-2019)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#	   4) Removed information present in  ( ) Ex: Ababdeh abEbade (janajAwi)
		to	ababdeh_noun    abEbade
#################################################################################
ababdeh_noun	abEbade
determinate_noun	nirXArI
determination_noun	nirXAraNa
determine_noun	nirXAriwa_karanA
determinism_noun	niScayavAxa/niyawawvavAxa_nirXAryawA
determinist_noun	niScayavAxI_niyawawvavAxI
deterministic_noun	nirXAraNAwmaka
detom_noun	cakkaraxAra_mArga
detonation_noun	arXasPotana
detrital_noun	aparaxI
detrition_noun	aparaxana
detritus_noun	aparaxa
devastation_noun	ujadZanA
develop_noun	vikasiwa_karanA/vikAsana/parivarXana
developer_noun	vikAsaka
developing_noun	vikAsaSIla/vikAsaka/vikAsI
development_noun	vikAsa/vyakwIkaraNa/parivarXana
deviate_noun	vicala
deviation_noun	vicalana
device_noun	yukwi/sAXana
devil_noun	bagUlA
devious_noun	kutila/teDZI
dew_noun	osa
dewberry_noun	dyUberI
dexter_noun	deksatara
dextral_noun	xakRiNAvarwa
dextran_noun	dekstrana
dhow_noun	xoU/nOkA
diaa_noun	xAiA
diabatic_noun	prawirUxXoRma/dAyabetika
diachronism_noun	xvikAlakramiwA
diagenesis_noun	prasaMGanana
diagnostic_noun	nExAnika/nixAnArWa
diagram_noun	reKAciwra/AreKa
dial_noun	dAyala
dialect_noun	bolI
diamagnetic_noun	prawi_cuMbakIya
diamant_noun	hIrA
diameter_noun	vyAsa
diaphragm_noun	wanupata/dAyAPrAma
diapositive_noun	doYyapojitiva
diastrophe_noun	patalavirUpa
diastrophism_noun	patalavirUpaNa
dicing_noun	dAisiMga/cOkora_tukadZe_karanA
dielectric_noun	parAvExyuwa/dAilektrika
difference_noun	aMwara
differential_noun	avakalana/viBexaka
differentiation_noun	viBexana/avakalana
diffluence_noun	himAnISAKana
diffraction_noun	vivarwana
diffuse_noun	visariwa
diffusion_noun	visaraNa/visAra
diffusivity_noun	visaraNaSIlawA
digital_noun	aMkIya
digitizing_noun	aMkIkaraNa
dike_noun	dAika/Biwwi
dilapidation_noun	SElaBaMjana
dilatancy_noun	xAbasAxiwA
dilatation_noun	visPAraNa
dilluvion_noun	AplAva
dilution_noun	wanUkaraNa/wanuwA
dimension_noun	viswAra/laMbAI-cOdZAI/vimA/GAwa
dimensional_noun	vimIya
dimple_noun	uWalAgarwa/garwikA
dinarics_noun	dinEriksa
dingo_noun	diMgo
diode_noun	dAyoda
diopter_noun	dAioYptara
dip_noun	namana/nawi/nimajjana/garwa
diplex_noun	xvisaMkewana
dipnoan_noun	dipneana/xviGASvAsI_mIna
dipole_noun	xviXruva
dipslip_noun	nawisarpaNa
dipterocarpus_noun	diptekArpasa
direction_noun	xiSA/xik
directional_noun	xiSika/xiSAwmaka
directivity_noun	xiSikawA
disafforrestation_noun	vanonmUlana
disastrous_noun	vinASI
disc_noun	biMba/maMdalaka/diska/cakrikA
discharge_noun	visarjana
discontinue_noun	rUka_jAnA/banxa_honA/banxa_karanA
discontinuity_noun	asAMwawya
discontinuous_noun	asawawa/asaMwawa
discordant_noun	visaMgawa/visvara/ananuswarI
discoverer_noun	SoXakarwA/KojakarwA
discovery_noun	SoXa/Koja
discrete_noun	vivikwa
discrimination_noun	vivikwIkaraNa
discriminator_noun	vivikwakara
dish_noun	diSa
disk_noun	cakrikA/diska
diskette_noun	disketa
dislevelment_noun	asamawalana
dislocation_noun	sWAna-BraMSa/visWApana/praBraMSa/saMXicyuwi
dismantling_noun	KaMdana
dismount_noun	uwAranA/avarohaNa
disorder_noun	avyavasWA/akrama/vikAra
disparagement_noun	avamAna/aprawiRTA
dispatch_noun	preRaNa
dispersed_noun	parikRepiwa/parikRipwa
dispersibility_noun	parikRepaNawA
dispersion_noun	prakIrNana
displacement_noun	nisWApana
display_noun	praxarSa
dispute_noun	vivAxa
dissected_noun	vicCexiwa
dissemination_noun	vipraWana//prakIrNana
dissentient_noun	vimawa
dissipate_noun	kRINa_honA
dissipation_noun	kRaya
dissipator_noun	aXikRayaka
dissociation_noun	viyojana
dissorophid_noun	disoYroPida
distance_noun	xUrI
distant_noun	xUrasWa
distillery_noun	AsavanI
distortion_noun	vikqwi
distributary_noun	viwarikA
distribution_noun	viwaraNa/baMtana
disturbance_noun	vikRoBa
disturbed_noun	vikRubXa
ditch_noun	nAlI/KAI/KAwa
ditching_noun	KAI_KoxanA/gUla_KoxanA
diurnal_noun	Ahnika/xivA/xivAcara/xEnika
divagation_noun	visWApana
diver_noun	gowAKoxa/panadubbA
divergence_noun	apasaraNa/apasAriwa
divergent_noun	apasArI
diversified_noun	viviXarUpAyiwa
diversity_noun	viBinnawA
diverting_noun	apavarwI
divide_noun	viBAjaka_/viBAjiwa_karanA/BAga_xenA/bAztanA
divided_noun	viBakwa
divider_noun	viBAjaka
division_noun	BAga/praBAga/viBAjana
dixie_noun	diksI
dock_noun	goxI/doYka
document_noun	praleKa
documentation_noun	praleKa/praleKana/praleKIkaraNa
dod_(=dodd_)_noun	doYda/golaSiKara
dog-whelk_noun	doYga_hvelka
dogfish_noun	doYgaPiSa/kuraMjana_surA
dogsledge_noun	doYgasleja/kuwwA-sleja
dogwood_noun	doYgavuda
dokeph_noun	dokePZa/xIrGaSiraska
dol_noun	dola/GAtI
doldrum_noun	doladrama
dole_noun	dole
dolicho_noun	doYliko/xIrGa
dolmen_noun	doYlamena
dolomite_noun	dolomAita
dolomite-marble_noun	dolomAita-saMgamaramara
dolomitic_noun	dolomAitI
dome_noun	doma/gumbaxa
domestic_noun	Anwarika/xeSI/GarelU/pAlawU
domestication_noun	pAlawU_banAnA/grAmyana
dominat_noun	praBAvI/pramuKa
domposieu_noun	emposo
done_(=dean_)_noun	dIna
donga_noun	doMgA
doorway_noun	xvAra/xvAra-mArga
dorbank_noun	doYrabEMka
dorian_noun	doriyana
doric_noun	dorika
dormant_noun	prasupwa
dormitory_noun	SayanAgAra
dorp_noun	dApra/kasbA
dory_noun	dori
dosimeter_noun	mAwrAmApI
dot_noun	binxu/binxI
dotting_noun	binxu-aMkana
doublet_noun	xvika
down_noun	komala_picCa
down-hill_noun	uwAra
down-valley_noun	anuGAtI
down-warp_noun	nimnAvali
down-wearing_noun	aXaHkRayana
down-wind_noun	anuvAwa
downburst_noun	aXovalana_prasPota
downdraft_noun	aXopravAha
downgrae_noun	DAla
downland_noun	dAunalEMda
downward_noun	aXomuKI
downwarping_noun	nimnAvalana
downwash_noun	aXoXAvana
downwasting_noun	aXoraxana
downwelling_noun	aXosravaNa/aXopravAha
drab_noun	bAxAmI
drachm_noun	drEma
draftsman_noun	nakSAnavIsa/drAPtsamEna
drag_noun	karRaNa
drain_noun	nalI/apavAhikA/nirgama_ilektroda
drainage_noun	apavAha-waMwra/apavAha/jalanikAsa
draining_noun	apavAhana_apavAha
draught_noun	JoMkA/vAwapravAha/pravAwa
drawn_noun	drAna/nAlI/wAniwa
dreary_noun	nIrasa/sunasAna/arocaka
dredger_noun	nikarRiwra
drier_noun	SuRkaka
drift_noun	vAha/apavAha/apoDZa/driPZta_/visWApana
drift-bed_noun	apoDZa_saMswara
drift-clay_noun	apoDZa_mqwwikA
drifter_noun	driPtara
drifting_noun	apavAhI/visWApI
driftline_noun	apoDZa-reKA
drill_noun	baramA/praveXanI/praveXana
drilling_noun	veXa/veXana/Cexa_karanA
drink_noun	peya
driprint_noun	drAipriMta
dritft-map_noun	apoDZa_mAnaciwra
drive_noun	paricAlana
drizzle_noun	PuhAra
drogue_noun	droga
drop_noun	bUMxa/biMxu/pAwa
droplet_noun	biMxuka/sUkRma_biMxu/sUkRma_bUMxa
drosograph_noun	droYsogrAPZa/osAleKa
drosometer_noun	osamApI/droYsomItara
drostdy_noun	drosadi
drought_noun	anAvqRti/sUKA/jalABAva
drove_noun	yUWacAlaka
drowned_noun	nimajjiwa/nimagna
drubbel_noun	drUbela/baswI
drum_noun	Dola/drama
drumlin_noun	dramalina
drumlinisation_noun	dramalinIBavana
drumllinoid_noun	dramalinarUpI
dry_noun	SuRka/sUKA
drying_noun	SuRkana
dualism_noun	xvEwavAxa
dualist_noun	xvEwavAxI
dub_noun	rUxXawala
duckweed_noun	kasapawa/dakavIda
duff_noun	Alepana/daPZa
duffing_noun	daPZa_karanA/CupAnA
dufranite_noun	dUPrenAita
dulse_noun	dalse
dumb-bell_noun	dambela
dummy_noun	damI/mUka
dump_noun	sannikRepa/dampa
dune_noun	tibbA
dunging_noun	gomayana/SamalAcCaxana/daMgiMga
duomo_noun	dyAmo
duopoly_noun	xvayAXikAra
duplex_noun	xvEXa/xvipaWI
duplexer_noun	xvipaWI/xvEXaka
duplicate_noun	anulipi
duplicating_noun	anulipikaraNa
duplication_noun	xviguNana_anulipIkaraNa
duration_noun	avaXi
durian_noun	dUriana
duricrust_noun	xqDZa_parpatI
dusk_noun	goXUli/sAMJa
dust_noun	XUla/XUli
duster_noun	praXUlaka/JAdZana/wela_rahiwa_kUpa
duststorm_noun	AzXI-aMXadZa
dwarf_noun	vAmana/bOnA
dwelling_noun	vAsa/Gara
dy_noun	kolAidI_pUwipaMka/dAI
dye_noun	raMjaka
dyestuff_noun	raMjaka
dyewood_noun	raMjaka_kARTa
dyke-spring_noun	dAika_jala-srowa
dynamic_noun	gawika
dynamics_noun	gawivijFAna/gawikI
dynamo_noun	dAyanemo
dynamothermal_noun	gawiwApIya/URmAgawika
dynode_noun	dAinoda
dyrite_noun	dAirAita
dysgeogenous_noun	xuraGatanIya
dysodont_noun	bahirviRtaxaMwI
dzong_noun	joMga
e-layer_noun	E-parawa
eagle-hawk_noun	sahabAja
early_noun	SIGra/AraMBika/pUrva/agewI
earth_noun	BU/pqWvI/BUmi/mqwwikA/mqxA/_BUsaMparkiwa_karanA/BUsaMparka_karanA
earth-quake_noun	BUcAla/BUkampa
earthenware_noun	mittI_ke_barwana/mqx_BAMda
earthing_noun	BUsaMparkana
earthquake_noun	BUkaMpa/BUcAla
earthslide_noun	BU-sKalana
earthy_noun	matiyAlA/mqwwikAmaya
east_noun	prAcI/pUrva
easterlies_noun	puravA_havAez/pUrvI_havAez
easterly_noun	pUrvI
eastern_noun	pUrvI/pUrvIya
easting_noun	pUrvIyana
eastward_noun	pUrvABimuKa/pUrva_kI_ora
ebb_noun	BAtA
ebenaceae_noun	ebenesI
ebony_noun	AbanUsa
ebonybody_noun	AbanUsI_SarIra
eboulis_noun	ibAlisa/SEla-malavA
eccentric_noun	uwkeMxra/uwkeMxraka
eccentricity_noun	uwkeMxrawA
echinocardium_noun	ekAinokArdiyama
echo_noun	prawiXvani/Iko
eclipse_noun	grahaNa
eclipse-observer_noun	grahaka_prakRepaka
eclipsed_noun	grahaNa_graswa/grasiwa
ecliptic_noun	ekliptika/krAMwi_vqwwa
ecoclimate_noun	AvAsa_jalavAyu
ecogenesis_noun	pArisWiwika_uwpawwi
ecological_noun	pArika/pArisWiwika
ecologist_noun	parisWiwivijFAnI/pArisWiwikIvijFa
ecology_noun	pArisWiwikI/parisWiwivijFAna
econograph_noun	ikonogrAPZa/arWareKA
economic_noun	ArWika
economy_noun	arWavyavasWA/vyavasWA/upApacaya-vyavasWA
ecosystem_noun	pAriwaMwra/pArisWiwika_waMwra
ecotone_noun	Ikotona/saMkramikA
ecotope_noun	pArisWiwika_sWala/pArisWala
ecoulement_noun	parisarpaNa
ecumene_noun	vAsya_kRewra
edaphic_noun	mqxIya
eddy_noun	Bazvara
edgar_noun	edagara
edge_noun	kora/kinArA/aSri
edge-runner_noun	kora-XAvanI
editing_noun	saMpAxana
edo_noun	Ixo
edriolychnus_noun	edriolikanasa
eelworm_noun	sUwrakqmi
eemian_noun	Imiyana
efface_noun	vilopa
effacement_noun	vilopana
effect_noun	praBAva
effective_noun	praBAvI/kAryakArI
effervescent_noun	Penila
efficiency_noun	xakRawA/kAryakuSalawA
effluent_noun	bahiHsrAva/_vahiHsrAvI
effusion_noun	nissaraNa
ehsadu_noun	ehasAxU/aXiveSana
eidograph_noun	AidogrAPa
eimi_noun	emira
einzelhof_noun	EMjilhAPa
eis_noun	barPa/Aisa
eisblink_noun	barPABA/AisabliMka
eiscir_noun	eskara
ejecta_noun	niRkAsiwa_paxArWa/ijektA
ejectamenta_noun	bahiHkRepa
ejection_noun	niRkAsana/uxgiraNa
ejector_noun	uwkRepaka
ekistis_noun	nqAvAsikI
eland_noun	IlEMda
elastic_noun	prawyAsWa
elasticity_noun	prawyAsWawA
elbasin_noun	elbesina
electrical_noun	vExyuwa/vixyuw
electricity_noun	bijalI/vixyuw
electrification_noun	vixyuwIkaraNa
electrode_noun	ilEktroda
electrojet_noun	vixyuwapraXAra/ilEktrojeta/vixyujjeta
electrolyser_noun	vixyuw_apaGataka
electrolysis_noun	vixyuw_apaGatana
electrolyte_noun	vixyuw_apaGatya
electrolytic_noun	vixyuw_apaGatanI
electromagnetic_noun	vixyuw_cuMbakIya
electrometer_noun	vixyuwamApI
electromotor_noun	ilektromotara
electron_noun	ilektroYna
electronic_noun	ilektroYnika
electronics_noun	ilektroYnikI
electroplating_noun	vixyuw_lepana
electrosensitive_noun	vixyuw_saMvexI
electrostatic_noun	vixyuw_sWEwika
element_noun	wawva/_mUla/Gataka/alpAMSa/avayava
elevated_noun	unnawa/uwWiwa/unnayiwa
elevation_noun	UzcAI/uwWAna/uwWApana/uccawA/unnayana/unnawAMSa
elimination_noun	vilopana/nirasana/nirAkaraNa
eliptic_noun	krAMwi_vqwwa/ekliptika
elk_noun	elka/qSya
ellipse_noun	xIrGavqwwa/ilipsa
ellipsoid_noun	xIrGavqwwaja
elliptic_noun	xIrGavqwwIya
elongated_noun	xIrGiwa
elongation_noun	xIrGIkaraNa/xErXyavqxXi/prasara_koNa
eloquence_noun	vAgmiwA/vAkpatuwA
elutriation_noun	XAvapqWakana
eluvial_noun	anUDZa/avakRAlI
eluviation_noun	avakRAlana
eluvium_noun	anUDaka/avakRAla
emagram_noun	wApa_loYgaxAba_AleKa/imAgrAma
emanate_noun	nirgama
emanating_noun	nirgamana/prasarjana
embankment_noun	watabaMXa
embarkation_noun	powArohaNa/nOrohaNa
embarrassment_noun	AkulawA
embayed_noun	KAdZIyukwa/KAdZIBUwa
embayment_noun	laGuKAdZI
embedded_noun	aMwaHsWApiwa
embouchure_noun	muKaraMXra
emergence_noun	nirgamana/uxBUwAMga
emery_noun	EmarI
emigrant_noun	uwpravAsI
emigration_noun	uwpravAsa/uwpravAsana
eminence_noun	uccasWala
emirate_noun	emIreta
emission_noun	uwsarjana
emissivity_noun	uwsarjiwA/uwsarjakawA
emitter_noun	uwsarjaka
empirical_noun	AnuBavika
empolder_noun	empoldara
emporium_noun	imporiyama
emu_noun	pakRI
emulsion_noun	pAyasa/imalSana
encampment_noun	Sivira_banAnA/Sivira
encirclement_noun	GerAbanxI
enclave_noun	vixeSI/aMwaH_kRewra/aMwarveSa/aparASma
enclosed_noun	paribaxXa
enclosure_noun	bAdZA/ahAwA/aMwaHkRewra/aMwarveSa/AveRtana/anulagnaka
encoding_noun	kUtaleKana/kodana
encroachment_noun	awikramaNa
encrustation_noun	papadZI_jamanA/papadZI
encumbrance_noun	BAra
encyclopedia_noun	viSvakoSa
end_noun	aMwa/aMwya/Cora/sirA
endellite_noun	edelAita
endemic_noun	viSeRakRewrI/sWAnika
endless_noun	aMwahIna
endogenous_noun	aMwarjAwa
endoreic_noun	aMwaHpravAhI
endoreism_noun	eMdorIjma/aMwaHpravAhana
endosphere_noun	aMwaHmaMdala
endothermic_noun	URmASoRI/AMwaroRmI
endroit_noun	endroA
endrumph_noun	endramPa
energetics_noun	UrjAvijFAna/OrjikI
energy_noun	UrjA
engineering_noun	aBiyAMwrikI/injIniyarI
englacial_noun	aMwarhimAnI
engrave_noun	uwkIrNana
engraved_noun	uwkIrNa/nakkASIxAra
engraving_noun	nakkASI/uwkIrNana
enhancement_noun	saMvqxXi
enlargement_noun	vivarXana
enlarger_noun	vivarXaka
enmasse_noun	sAmUhika
enplaning_noun	vAyuyAna-ArohaNa/vimAnArohaNa
enters_noun	aMwaHsrAva
enthalpy_noun	pUrNa_URmA/enWElpI
entisol_noun	entIsoYla/asuswarI_mqxA
entrail_noun	AMwa
entrainment_noun	saMrohaNa
entrepreneur_noun	uxyamI
entropy_noun	entroYpI
entry_noun	praviRti/iMxarAja/praveSa
envelope_noun	anvAlopa/enavelapa/AvaraNa_Avqwa_karanA
environment_noun	paryAvaraNa/vAwAvaraNa/parisWiwi
environmental_noun	paryAvaraNI/vAwAvaraNIya/parisWiwika
environmentalism_noun	parisWiwivAxa
enviroun_noun	paryAvaraNa
eoanthropus_noun	ioEnWrepasa
eohypse_noun	iohipsa/saMSaXiwa_samocca_reKA
eoisohypse_noun	ioAisohipsa/samoccareKA
eolation_noun	vAyavAMwaraNa
eolian_noun	vAyUDZa/vAyukqwa
eolis_noun	iolisa
eolomotion_noun	vAyugawi
eothechnic_noun	purAwana_wakanIkI
epaulet_noun	skanXikA/ipAuleta
epeirogenic_noun	mahAxeSa_racanA_saMbaMXI
ephemeral_noun	alpakAlika
ephemeris_noun	paMcAMga
epicentral_noun	aXikeMxrI
epicentre_noun	aXikeMxra/aBikeMxra
epicentrum_noun	aXikenxra
epidemic_noun	mahAmArI/jAnapaxika_roga
epigene_noun	aXipqRTajana
epigenic_noun	paScajAwa
epigeous_noun	BUmyuparika/aXiBOma
epilimnion_noun	aXisara
epilogue_noun	upasaMhAra
epimetamorphism_noun	uparikAyAMwaraNa
epipelagic_noun	aXivelApavarwI/aXiaMboXi
epiphyllous_noun	parixala_lagna/aXiparNI
episeism_noun	pqRTIya_kampa
epistemology_noun	jFAna-mImAMsA
epithermal_noun	alpawApIya/aXiwApIya
epizone_noun	uparimaMdala
epoch_noun	yuga/_kAlAvaXi
equal_noun	sama/samAna/barAbara/wulya
equality_noun	samawA/samikA
equation_noun	samIkaraNa/samIkAra
equator_noun	BUmaXya_reKA/viRuvaw_vqwwa
equatorial_noun	BUmaXya_reKIya/viRuvawIya/maXyavarwI/nirakRIya
equatorward_noun	aBiBUmaXyareKA
equatoward_noun	BUmaXyareKABimuKa
equiangular_noun	samakoNika
equicorrelation_noun	sAmyasahasaMbaMXa
equidistant_noun	samaxUrasWa/samAMwarAlI
equilateral_noun	samabAhu
equilibrium_noun	sAmyAvasWA/sAmya/saMwulana
equilibruim_noun	saMwulana/sAmyAvasWA/sAmya
equinox_noun	viRuva
equiplanation_noun	sapAtIkaraNa
equipment_noun	upaskara
equipotential_noun	samaviBava
equivalence_noun	wulyawA
equivalent_noun	wulya/wulyamAna/_wulyAMka
equivariable_noun	samaparivarwI
era_noun	mahAkalpa
eraser_noun	vyAmArjaka/rabadZa/irejara
erasing_noun	irejana/mitAnA
erode_noun	aparaxana_karanA
erodible_noun	aparaxanIya
erosion_noun	aparaxana
erosive_noun	aparaxanakArI
erratic_noun	aniyamiwa/aniyaMwriwa/visWApiwa
error_noun	wruti/BUla/galawI/aSuxXi
eruption_noun	uxgAra/visPota/uxBexana
eruptive_noun	uxgArI
escalade_noun	sopAna-ullaMGana
escape_noun	palAyana/nikAsa_/_palAyana_karanA/bAhara_nikalanA
escort_noun	anurakRaka
esgair_noun	esgeyara/eskara
esker_noun	eskara/himanaxa_mqxa_kataka
eskimo_noun	eskImo
esplandade_noun	esleneda
estate_noun	saMpaxA/esteta
estavelle_noun	istAvile
estimation_noun	Akalana/prAkkalana/parimApana
estimator_noun	Akalaka
estuarine_noun	jvAranaxamuKI
estuary_noun	escuerI/jvAranaxamuKa/velAsaMgama
etang_noun	iwAMga/jalASaya
etching_noun	nikRAraNa/rAsAyanika_uwkIrNana
etchplain_noun	nikRAriwa_vexI
ethnic_noun	mAnavajAwIya
ethno-geogrphy_noun	mAnavajAwi_BUjFAna/mAnavajAwi_BUgola
ethnographer_noun	mAnavajAwi_vewwA
ethnography_noun	mAnavajAwi_varNanA
ethnologist_noun	mAnavajAwi_vijFAnI
ethnology_noun	mAnavajAwi_vijFAna
ethulon_noun	eWUloYna
ettowe_noun	etove/pUjiwa_vaswu
euchaeta_noun	yUketA
euchirella_noun	yUkIrelA
eucyritidium_noun	yUsirtIdiyama
eugeogenous_noun	suapaGatanIya
eugeosyncline_noun	kenxrIBUaBinawi/yUjyosiMklAina
euphotic_noun	suprakASiwa/suprakASI
euproops_noun	yUprooYpsa
euquipluve_noun	ikvIplUva/varRAmAna_samaguNAMka_reKA
euroas_noun	yurosa
eurybathyal_noun	yUrIbEWiyala
euryhaline_noun	pqWulavaNI
euryhalinity_noun	pqWulavaNawA
eustatic_noun	susWiwika
eustatism_noun	susWiwikawA
eutrophic_noun	supoRaNI/supoRaNaja/yUtroYPIya/supoRI
eutrophication_noun	supoRaNa/yUtroYPikeSana/supoRama
eutropy_noun	supoRaNa/yUtroYPI
evacuate_noun	nirvAwa_karanA/rikwa_karanA
evaluation_noun	kUwanA/mUlyAMkana/AzkanA
evapo-transpiration_noun	vARpana-vARpowsarjana
evaporate_noun	vARpanaja/vARpaSEla_/_vARpiwa_karanA
evaporated_noun	vARpiwa
evaporation_noun	vARpana/vARpIkaraNa/vARpIBavana
evaporator_noun	vARpiwra
evaporimeter_noun	vARpanamApI
evaporite_noun	ivEporAita/vARpanaja
evaporometer_noun	vARpanamApI
evection_noun	caMxrakakRA_kRoBa
evening_noun	saMXyA/sAyaMkAla/SAma
event_noun	GatanA
everglade_noun	GAsI_kacCa
evergreen_noun	saxAhariwa/saxAparNI
evidence_noun	pramANa/sAkRya
evolution_noun	vikAsa
evorsion_noun	jalajagarwana
ex-meridian_noun	yAmyowwara_bAhya
exacerbate_noun	uwwejiwa_karanA
exacerbation_noun	uwwejinA
excavated_noun	uwKaniwa
excavation_noun	uwKanana
excavator_noun	uwKaniwra
exceptionalilsm_noun	apavAxiwA/apavAxavAxa
excess_noun	aXika/AXikya/awirikwa
exchange_noun	vinimaya
excitation_noun	uwwejana
exclave_noun	bahiHkRewra
exclusive_noun	apavarjiwa/ekaniRTa
excrement_noun	mala
exerritoriality_noun	awixeSIyawA
exhalation_noun	ucCavasana
exhaustive_noun	samagra/niSSeRa/recakIya
exhume_noun	uwKanana
existentialism_noun	aswiwvavAxa
exodus_noun	nirgamana
exogamous_noun	bAhyayugmana/bahirvEvAhika
exogamy_noun	bahiryugmana/bahirvivAha
exogenetic_noun	bahirjanika
exogenic_noun	bahirjanika
exogeosyncline_noun	bAhyaBUaBinawi
exorcism_noun	BUwaSuxXi/JAdZaPUMka
exoreic_noun	bahiRpravAhI
exosphere_noun	bahirmaMdala
exothermic_noun	URmAkRepI
exotic_noun	vixeSI/vixeSaja/vixeSAgawa
expansion_noun	prasAra/prasaraNa
expectation_noun	prawyASA
expected_noun	prawyASiwa
expedition_noun	aBiyAna/Koja_yAwrA
explode_noun	visPotana
exploitation_noun	samupayojana/upayoga/SoRaNa
exploration_noun	anveRaNa/Koja
explore_noun	anveRaNa_karanA/Koja_karanA
explorer_noun	anveRaka
explosion_noun	visPota/visPotana
explosion-tuff_noun	visPotana_taPZa
exponent_noun	GAwAMka
exponential_noun	caraGAwAMkI/eksaponeMtI
export_noun	niryAwa
exportation_noun	niryAwana
exporter_noun	niryAwaka
exposing_noun	uxBAsiwa_karanA
exposure_noun	anAvaraNa/uxBAsana/ucCAxana/apAvaraNa/praBAvana
expressway_noun	xruwamArga
exsiccation_noun	nirjalana/SuRkana/marusWalIkaraNa
extension_noun	viswAra/viswqwi/varXana/viswaraNa/prasAra
extensive_noun	viswIrNa/viswArI
extensometer_noun	xErXya-vqxXimApI/eksateMsomItara
exterior_noun	bAhya/barhiBAga
extermination_noun	unmUlana/viXvaMsa
external_noun	bAhya/bAharI
externalities_noun	bahiHsWiwiyAz
extinction_noun	vilopa/vilopana/vilupwi
extirpation_noun	mUlocCexana/uwpAtana
extra-original_noun	awirikwa_orijanala
extramorainic_noun	himoDZa-bahisWa
extraordinary_noun	asAmAnya/asAXAraNa
extrapenisula_noun	prAyaxvIpewara
extrapolation_noun	bahirveSana
extraterrestrial_noun	pArWivawara/BOmewara
extraterritoriality_noun	awirikwa_xeSIyawA
extratropical_noun	bahirURNakatibaMXIya
extremal_noun	carama
extreme_noun	aMwa/awyaMwa/awi/carama/parAkARTA/Xura
extrusion_noun	uwsAraNa/bahirveSana
extrusive_noun	bahirveXI
exurbia_noun	bahirnagara,eksarbiyA
eye-piece_noun	newrikA
eye-point_noun	newra-sWAna
eyelet_noun	akRikA/AIlEta
eyot_noun	eta/upaxvIpa
f-layer_noun	F-parawa
f-scale_noun	F-pEmAnA
f2-layer_noun	F2-parawa
fabrication_noun	saMviracana
face_noun	Palaka/pArSva/aMwAgra/muKa_patta/ceharA/Anana
face-tatoo_noun	muKa-guxanA
faceted_noun	Palakiwa
facies_noun	saMlakRaNI
facsimile_noun	prawikqwi
factor_noun	guNaka/Gataka/kAraka/upAxAna
factorial_noun	krama_guNiwa
facula_noun	praxyuwika
fadama_noun	PExAmA/mExAna
fading_noun	kRINana/mlAnana
failure_noun	viPalawA
fair_noun	sAPa_/_svacCa/uciwa/niRkapata/paryApwa/sAXAraNa
fako_noun	baMjara
falaise_noun	Bqgu
falcatus_noun	xAwrAkAra/hazsiyAkAra
fall_noun	pAwa/prapAwa/hrAsa
fall-line_noun	prapAwa-paMkwi
fallout_noun	avapAwa
fallow_noun	parawI/palihara
falukah_noun	PAlUkA
family_noun	kutuMba/parivAra/kula/PEmilI
famine_noun	akAla/xurBikRa
fan-delta_noun	paMKA-deltA
fanatic_noun	XarmAnXa/mawAnXa
fanfold_noun	paMKA_valana
fang_noun	PeMga/janajAwi/viRaxaMwa
fanglomerate_noun	saMpaMKASma
fanglomeratic_noun	saMpaMKASmIya
fanning_noun	PeniMga
farm_noun	kqRikRewra/Kewa/PArma
farmer_noun	kqRaka/kisAna
farming_noun	kqRi/KewI
farmstead_noun	PArma_prawiRTAna
farmyard_noun	PArma_yArda_paSu_ahAwA
faros_noun	parivqwa_lEgUna/parivqwa_kAyala_malayAlama
fastigium_noun	PEstIjiyama
fathogram_noun	PExama-aBileKa
fathom_noun	PExama
fathometer_noun	PExamamApI/PExomItara
fault_noun	BraMSa/xoRa
fault-set_noun	BraMSa_samuccaya
faulted_noun	BraMSiwa
faulting_noun	BraMSana
fauna_noun	prANijAwa/prANiwA
faunizone_noun	prANI_jona/PoYnI_jona
favourable_noun	anukUla
fazenda_noun	PajendA
fazendiero_noun	PaceMdIro
façade_noun	BavanamuKa/muhAra
feasibility_noun	susaMgawawA
feat_noun	sAhasika_kArya/jOhara
feather_noun	picCa
feature_noun	lakRaNa
features_noun	lakRaNa
federalism_noun	saMGavAxa
federation_noun	rAjya_saMGa
feeble_noun	kRINa/wanu
feeder_noun	Baraka/saMBaraka/PIdara
feldspar_noun	PeldaspAra
feldspathic_noun	PelsapAramaya
feldspathization_noun	PelsapArana
feldspathoid_noun	PelsapEWoYida
fell_noun	jaMgalI_pahAdZI_BUmi/PEla
felsbastian_noun	PelsabeSiyana
felsenmeer_noun	KaMdASma_puMja
felsvorbau_noun	PelsavoYrabAU/SElaskrIna
felucca_noun	PelUkA/nOkA
fen_noun	Pena
fence_noun	bAdZa/redAra_jAla/redAra_bAdZa
fenestrules_noun	gavAkRikA
fenetre_noun	gavAkRa/Paneyawra
fenland_noun	PenalEMda/paMkaBUmi
feral_noun	anuvanya_pravanya
ferik_noun	KAnAbaxoSa_baswI/Perika
ferm-toun_noun	ParmatAuna
ferrallitic_noun	PerAlitIya
ferricrete_noun	PerIkrIta
ferricrust_noun	lohapqRTa
ferromagnetism_noun	lOha_cuMbakawva
ferrosilicon_noun	PErosilikana
