#TODO ::	Hindi meaning spellings need to be checked
#Giving category as 'UNKNOWN' for the words whose category is not known
#######################################################################
#Eng-wrd_Category	IIT-Bombay/Shabdanjali meaning
########################################################################
A_noun	e
coloured_adjective	raMgIna
colourful_adjective	raMga-biraMgA
colouring_noun	raMjaka/raMgawaa/raMga_BaranAA
colourless_adjective	raMgahIna
colourlessness_noun	varNahInawA/raMgahInawA/avarNawA
colpitis_noun	yoniSoWa/yoni-praxAha
colt_noun	nOsiKiyA_KilAdZI/aSvaSAvaka
coltish_adjective	anAdZI
column_noun	XUma_swamBaa/xaMda/tukadZI/swamBaa/swamBa/paMkwi/paMkw/kalama/bedZA
columnist_noun	swaMBaleKaka
coma_noun	sammUrCA
comatose_adjective	sammUrCiwa/behoSa
comb_noun	XunakI/wurA/Sahaxa_kA_CawwA/maXu-koRa/kaMGI/kaMGA/kalagI/cotI
comb_verb	sAPZa_karanA/pUrNa_rupa_se_DUzDanA/pUrI_waraha_se_walASanA/nikAlanA/KojanA/kaMGI_se_sAPZa_karanA/kaMGI_se_alaga_karanA/kaMGI_karanA/CAna_dAlanA/bala_KAnA/acCI_waraha_se_DUzDanA
comb_verbal_noun	kaMGI_karanA
combat_adjective	prawiroXaka
combat_noun	ladZAI
combat_verb	yuxXa_karanA/sAmanA_karanA/ladZanA
combatant_noun	ladZAk
combination_adjective	vixyArWiyoM_kA/saMyukwa/miSra
combination_noun	saMyoga/saMmiSraNa/saMKyA/saMcaya/saMbanXa/milAp/mela-milApa/mela/kurwA-pAyajAmA
combine_noun	sammiSraNa/PZasala_kAtane_kI_maSIna/mela/jawWA
combine_verb	saMyukwa_karanA/sammiliwa_karanA/rAsAyanika_sammiSraNa_banAnA/miSriwa_karanA/milAnA/mela_honA/lenA/jodZa_xenA/jodZanA/ikatTA_karanA/ikatTA_ho_jAnA/GolanA/ekatra_karanA/eka_ho_jAnA
combo_noun	sammiSraNa/saMgIwa-maMdalI
combust_verb	AgababUlA_ho_jAnA
combustible_adjective	jvalanaSIla
combustion_noun	xahana/jalAnA/hiMsA
come_verb	ximAga_meM_AnA/waya_karanA/uganA/pAra_karanA/pajuzcanA/pahuzcanA/pahuMZcanA/padZanA/nikalanA/nawIjZA_nikalanA/milanA/laganA/honA/AnA
come-hither_adjective	kAmuka
come-on_noun	AkarRaNa
comeback_noun	vApasI/prawyuwwara
comedian_noun	hAsya_aBinewA
comedienne_noun	hAsya_aBinewrI
comedown_noun	pawana
comedy_noun	vinoxapriyawA/kamedI/hAsyapraXAna_nAtaka
comely_adjective	manorama
comer_noun	prawyASI/AgaMwuka
comestible_noun	AhAra
comet_noun	pucCala_wArA
comfort_noun	xilAsA/suKakara_vaswu/suKa/sAnwvanA/ASvAsana_xenevAlA
comfort_verb	xilAsA_xenA/sAnwvanA_xenA/ArAma_pahuzcAnA
comfortable_adjective	svacCaMxa/suviXApUrNa/suKI/suKaxa/suKakara/SAMwa/paryApwa/kAPZI/ArAmaxAyaka/ArAma
comfortable_adverb	ArAma_se
comforter_noun	xulAI/rajAI/cusanI
comfortless_adjective	beArAma
comfy_adjective	ArAmaxeha
comic_adjective	hAsyajanaka
comic_noun	ciwrakaWA
comical_adjective	hAsyAspaxa
coming_adjective	AnevAlA
coming_noun	Agamana
comma_noun	alpavirAma
command_adjective	samAxeSa/AxeSa/AjFA
command_noun	xaswA/saMkewa/praBuwva/paharA/niyaMtraNa/nirikRaNa/kamAna/kamAMda/kAbU/aXikAra/AxeSa
command_verb	xenA/xarSAnA/prApwa_karanA/pAnA/niyaMtraNa_raKanA/niyaMtraNa_meM_raKanA/niyaMtraNa_karanA/niyaMtraNaanA/mAzganA/mAzga_karanA/lenA/kZAbU_pAnA/kAbU_pAnA/hukma_xenA/AxeSa_xenA
commandant_noun	kamAMdeMta
commandeer_verb	jZabwa_kara_lenA/apaharaNa_karanA
commander_noun	senApawi/nAyaka/kamAMdara
commander-in-chief_noun	praXAna_senApawi
commanding_adjective	praXAna/praBAvaSAlI
commandment_noun	XarmAxeSa
commando_noun	kamAMdo
commemorate_verb	uwsava_manAnA/SraxXAMjali_xenA
commemoration_noun	smqwi
commemorative_adjective	smArakIya
commence_verb	SurU_karanA
commencement_noun	SuruAwa
commend_verb	sOMpanA/siPZAriSa/sarAhanA_karanA
commendable_adjective	sarAhanIya/praSaMsanIya
commendation_noun	praSaMsA
commensurate_adjective	AnupAwika
comment_noun	tippaNII/tippaNI/AlocanA
comment_verb	mawa_prakata_karanA
commentary_noun	tippaNI/kameMtrI
commentator_noun	vivaraNa_prasAraka/tIkAkAra/samAlocaka
commerce_noun	vANijya
commercial_adjective	vyAvasAyika_rUpa_se/vANijyika/mAmUlI/kamarSiyala
commercial_noun	vijFApana
commercialise_verb	vyAvasAyika_honA/vyAvasAyika_banAnA
commercialism_noun	vANijyavAxa/baniyApana
commercialize_verb	vyAvasAyika_honA/vyAvasAyika_banAnA
commercially_adverb	vyAvasAyika_rUpa_se
comminate_verb	SApa_xenA
commission_noun	xalAlI/kAryaBAra/karanA/kamISana/Ayoga
commission_verb	niyukwa_kiyA_jAnA/kamISana_xenA/kAma_ke_lAyA_jAnA/banAne_kA_kAma_xenA
commissioned_adjective	pramANiwa/mAnyawAprApwa/aXikqwa
commissioner_noun	kamiSnara
commit_verb	vacanabaxXa_karanA/vacanabaxXa_honA/mawa_jAhira_karanA/liKanA/karanA/Bejane_kA_AxeSa_xanA/BejanA
commitment_noun	vacanabaxXawA/supurxagI/jimmexArI/BarawI
committal_noun	pAgalaKAne_BejanAA/giraPZwArII
committed_adjective	samarpiwa
committee_noun	saMsaxa/samiwi_kA_saxasya/samiwi/kametI/jZAmIna/Ayoga
commode_noun	kamoda/almArI
commodious_adjective	viSAla/laMbA-cOdZA/badZA
commodiousness_noun	viSAlawA
commodity_noun	upayogI_vaswu/mAla
commodore_noun	kamodora
common_adjective	sAXAraNa/sArvajanika/sAmAnya/samAna/saba_kA/halkA/Ama
common_noun	sArvajanika_sWala/sAmUhika_BUmi
common-multiple_noun	samApavarwya
common-room_noun	vinoxa_kakRa
commoner_noun	sAXAraNa_nAgarika
commonly_adverb	sAmAnyawaH/GatiyA_wOra_para/Ama_wOra_se/aksara
commonplace_adjective	Ama
commonplace_noun	Ama_bAwa
commonwealth_noun	rARtra
commotion_noun	ho-hallA/haMgAmA
communal_adjective	sAmuxAyika/sAmpraxAyika
communally_adverb	sAmuxAyika_rUpa_se
communicable_adjective	sUcanIya/saMkrAmaka
communicant_noun	holI_kamyUniyana_meM_BAga_lene_vAlA
communicate_verb	vyakwa_karanA/sUcanAaOM_kA_AxAna_praxAna_karanA/samparka_banAnA/PElAnA/pahuzcAnA/judZA_honA
communicating_noun	saMcAraNa
communication_noun	sUcanA/saMsarga/samparka/saMcAravyavasWA/saMcAra
communicative_verb	bAwa-cIwa_karanA
communicator_noun	saMcAraka
communion_noun	XArmika_sampraxAya/kamyuniyana
communion_verbal_noun	judZA_honA
communique_noun	vijFapwi
communism_noun	sAmyavAxa
communist_adjective	sAmyavAxa_saMbaMXI
communist_noun	sAmyavAxI
community_noun	samuxAya/saMpraxAya/sampraxAya/samAja
commutability_noun	wawwvAMwaraNIyawA/rUpAMwaraNIyawA
commutable_adjective	vinimeya/kama_karane_yogya/AvAgamana_karane_yogya
commutation_noun	vinimaya/laGUkaraNa
commute_verb	kama_kara_xenA/baxala_xenA/AnA-jAnA_karanA
commuter_noun	AnA-jAnA_karane_vAlA
compact_adjective	susaMhawa/susambaxXa/saMkRipwa/cuswa
compact_noun	samaJOwA/CotI_SqMgAra_maMjURA
compact_verb	jamA_honA
compactness_noun	Tosapana
companion_noun	vyakwi/sAWI/saKI/sahayogI/sahacara/roSanaxAna/mitra/jodZI/jahAjZa_kI_sIDI/hissexAra/CotI_puswaka
companion_verb	sAWI_honA/sAWa_xenA
companion-way_noun	jahAjZa_kI_sIDZI
companionable_adjective	milanasAra
companionship_noun	sAWa
company_noun	xala/uxyoga/tolI/sAWI/sAWa/saMgawi/saMga/sahayogI/mitra/milanevAlA/mehamAna/maNdalI/kaMpanI/kampanI/janasamUha/ikAI/awiWi
company_verb	sAWI_honA/sAWa_xenA
comparable_adjective	wUlanIya/wulanIya
comparative_adjective	wulanAwmaka/uwwarAvasWA/apekRAkqwa
comparatively_adverb	wulanAwmaka_rUpa_se
compare_noun	wulanAA/wulanA
compare_verb	wulanAwmaka_banAnA/wulanA_karanA/vicAra-vinimaya_karanA/varNana_karanA/samAnawA_xiKAnA/samAnawA_xeKanA
comparison_adjective	wulanAwmaka
comparison_noun	wulanA/samAnawA
compartment_noun	KAnA/dibbA
compass_noun	xiksUcaka/pariX/parakAra/pahuzca
compass_verb	GirA_honA
compassion_noun	sahAnuBUwi
compassionate_adjective	xayAlu
compassionately_adverb	xayA_ke_sAWa
compatible_adjective	sahavarwanIya/anurUpa/anukUla
compatriot_noun	hamavawana
compel_verb	majabUra_karanA/jabaraxaswI_karAnA/bAXya_karanA
compelling_adjective	bAzXa_kara_rKane_vAlA/akAtya
compendious_adjective	saMkRipwa
compendium_noun	saMgraha-puswaka
compensate_verb	kRawipUrwi_karanA/harajAnA_xenA
compensation_noun	muAvajA/kRawipUraNa
compere_noun	kAryakrama-uxGoRaka
compere_verb	kAryakrama-uxGoRaka_kA_kAma_karanA
compete_verb	prayawna_karanA/prawiyogiwA_karanA/prawisparXxA_karanA/prawisparXA_karanA/mukZAbalA_karanA
competence_noun	yogyawA
competency_noun	yogyawA
competent_adjective	sakRama
competently_adverb	kuSalawApUrvaka
competition_noun	xvanxvayuXxa/sparXxA/saMGarRa/prawiyogiwA/prawixvaMxviwA/prawisparXxI/prawisparXxA/prawisparXA
competitive_adjective	prawisparXAwmaka/prawisparXApUrNa
competitor_noun	prawiyogI/prawixvanxvI/prawisparXxI
compilation_noun	saMkalana/saMgrahaNa
compile_verb	saMkaliwa_karanA/kaMpAila_karanA/jamA_karanA/ikatTA_karanA
compiler_noun	saMkalanakarwA/kaMpAilara
complacency_noun	AwmasaMwoRa
complacent_adjective	AwmasanwuRta/AwmasaMwuRta
complacently_adverb	AwmatuRtipUrvaka
complain_verb	xuKadZA_ronA/wakalIPZa_bawalAnA/SikAyawa_karanA
complainant_noun	PZariyAxI
complainer_noun	SikAyawI_vyakwi/ririyAne_valA
complaint_noun	xAvA/vyAXi/SikAyawa/roga/PZariyAxa/mukaxamA/JagadZA/bayAna/Aropa
complement_noun	viXeyArWa/pUraka/kotA
complement_verb	pUraka_honA
complementary_adjective	pUraka/anyonyASriwa
complete_adjective	uwkqRta/sixXahaswa/sampUrNa/samApwa/PUrNa/pUrNa/pUrA/pakkA/nipuNa
complete_adverb	pUrI_waraha_se
complete_verb	wEyAra_karanA/samApwa_karanA/pUrA_karanA/pUrA_honA/banAnA
completed_adjective	saMpanna/samApwa
completely_adverb	pUrI_waraha_se
completeness_noun	saMpUrNawA
completion_noun	samApwi/samApana
completion_verbal_noun	pUrA_honA
complex_adjective	pecIxA/mikRa/jatila
complex_noun	saMkula/granW/BIwi
complexion_noun	varNa/svarUpa
complexity_noun	jatilawA
compliance_noun	samarpaNa/anurUpawA/anupAlana/anukUlawA
compliant_adjective	anuvarwI/AjFAkArI
complicate_verb	jatila_banAnA
complicated_adjective	pecIxA/kaTina/jatila
complication_noun	pareSAnI/jatilawA
compliment_noun	SuBakAmanAez/praSaMsA
compliment_verb	praSaMsA_karanA
complimentary_adjective	sammAnArWa_BeMta/praSaMsAwmaka
comply_verb	pAlana_karanA
component_noun	Gataka
compose_verb	SAnwa_karanA/saMgIwa_kI_racanA_karanA/racanA/liKanA/banAnA/banAanA/akRarayojana_karanA
composer_noun	saMgIwakAra
composite_adjective	miSra
composite_noun	saMyojana
composition_noun	saMracanA/saMGatana/racanA/leKana/kqwi/gIwa_racanA/banAvata
compositor_noun	akRara-saMyojaka
compost_noun	vAnaspawika_KAxa
compost_verb	vAnaspawika_KAxayukwa_karanA/vAnaspawika_KAxa_banAnA
composure_noun	AwmasaMyama
compound_adjective	yOgika/saMyukwAMgI/saMyukwa/saMGajIvI/saMGacArI/samaswa/sAmAsika/miSriwa/miSrAMgI/cakravqXxi
compound_noun	yOgika_paxArWa/saMyukwa_Sabxa/saMyukwa_paxArWa/samAsa/prAMgaNa/ahAwA
compound_verb	sulaha_karanA/samaJOwA_karanA/nipatAnA/miSriwa_karanA/milAnA/mAPZa_karanA/kRamA_karanA/judZA_huA_honA/jamA_karanA/cukawA_karanA/BugawAna_karanA/banAnA/baDAnA
comprehend_verb	samAviRta_karanA/samaJanA
comprehensibility_noun	boXagamyawA
comprehensible_adjective	boXagamya
comprehension_noun	samaJa/boXa
comprehensive_adjective	vyApaka/viSaxa/bahupATyakrama
comprehensive_noun	bahupATyakrama_vixyAlaya
comprehensiveness_noun	vyApakawA/boXagamyawA
compress_noun	pattI
compress_verb	xabAnA/saMkRipwa_karanA/kaMpresa_karanA
compression_noun	xabAva
comprise_verb	samAviRta_karanA/bane_hue_honA
compromise_noun	samaJOwA/maXyamArga
compromise_verb	samaJOwA_karanA/joKima_meM_dAlanA
compromising_adjective	prawiRTA_ke_liye_saMkatakArI
comptroller_noun	niyaMwA/leKAniyaMwA
compulsion_noun	xabAva/anivAryawA
compulsive_adjective	jZabarxaswa/anivArya
compulsively_adverb	bAXya_ho_kara
compulsory_adjective	anivArya
compunction_noun	Kexa
computation_noun	saMgaNanA
computational_adjective	saMgaNanAwmaka
compute_verb	parikalana_karanA
computer_noun	saMgaNaka/parikalaka/kampUtara/gaNaka
computer-simulation_noun	saMganaka_anurUpaNa
computerisation_noun	kaMpyUtarIkaraNaa/kaMpyUtarIkaraNa
computerise_verb	kaMpyUtarIkaraNa_karanA/kaMpyUtara_meM_dAlanA
computerised_adjective	kaMpyUtarIkqwa
computerization_noun	kaMpyUtarIkaraNaa/kaMpyUtarIkaraNa
computerize_verb	kaMpyUtarIkaraNa_karanA/kaMpyUtara_meM_dAlanA
computerized_adjective	kaMpyUtarIkqwa
computing_noun	saMgaNanA/saMgaNana
comrade_noun	sAWI/kamareda
con_noun	XoKA/kExI
con_verb	XoKA_xenA/Taga_lenA/Cala_se_lUta_lenA
concave_adjective	avawala
conceal_verb	CipAnA
concealment_noun	CipanAA
concede_verb	mAnanA/Juka_jAnA/hAra_mAnanA/CUta_xenA
conceding_noun	svIkqwi
conceit_noun	hAsyokwi/GamaNda
conceited_adjective	ahaMkArI
conceitedly_adverb	ahaMkArapUrvaka
conceivable_adjective	kalpanIya
conceivably_adverb	saMBAviwa_rUpa_se
conceive_verb	socanA/garBavawI_honA/anumAna_honA
concentrate_noun	gADZA_Gola
concentrate_verb	XyAna_lagAnA/XyAna_kenxriwa_karanA/gADZA_karanA/ekatriwa_honA
concentrated_adjective	xawwaciwwa/saMkeMxriwa/gADZA
concentration_noun	wanmayawA/saGanawA/jamAva/ekAgrawA
concentric_adjective	sakenxrI
concept_noun	saMkalpanA/prawyaya/avaXAraNA
conception_noun	saMkalpanA/samaJa/avaXAraNA
conceptual_adjective	vEcArika
conceptualization_noun	vEcArikawA
concern_adjective	ciMwiwa
concern_noun	xilacaspI/saMbaMXa/sahAnuBUwi/Parma/muxxA/kArobAra/kAraKAnA/ciMwA/cIja
concern_verb	xilacaspI_lenA/saMbaMXa_meM_honA/saMbaMXa_honA/para_asara_honA/mahawva_honA/ciMwA_karanA
concerned_adjective	cinwiwa
concernedly_adverb	uxvignawApUrvaka/uxvignawaH/ciMwiwawaH/ciMwiwa_ho_kara
concerning_adjective	saMbaxXa
concerning_adverb	ke_anusAra
concert_adjective	saMgIwa/kAryakrama_kA/badZA
concert_noun	saMgIwa-samAroha/saMgIwa_kAryakrama/saMgIwa_goRTI/samavewa_Xvani/samavewa_svara/mela
concert_verb	upAya_nikAlanA/upAya_karanA/salAha_karanA
concerted_adjective	sammiliwa
concerto_noun	banxiSa
concession_noun	svIkqwi/suviXA/riyAyawa/CUta
concessionary_adjective	riAyawI
conciliate_verb	SAMwa_karanA/prApwa_karanA/milAnA/manAnA
conciliation_noun	samAXAna
conciliator_noun	SAMwi-sWApaka/maXyasWa
conciliatory_adjective	mEwrIpUrNa
concise_adjective	sArika/saMkRipwa
concisely_adverb	saMkRipwa_rUpa_se
conciseness_noun	saMkRipwawA
conclude_verb	waya_karanA/samApwa_honA/niScaya_karanA/niRkarRa_nikAlanA
conclusion_noun	samApwi/niRkarRa
conclusive_adjective	nirNAyaka
conclusively_adverb	niScayAwmaka_rUpa_se
concoct_verb	wEyAra_karanA/gaDZanA
concoction_noun	miSraNa
concomitant_adjective	saMlagna/sahavarwI/judZA_huA
concomitant_noun	sahavarwI_vaswu
concord_noun	anviwi/anvaya
concord_verb	mela_KAnA/eka_samAna_honA
concordance_noun	sAmaMjasya/SabxAnukramaNikA/kankardensa
concordant_adjective	sAmaMjasyapUrNa/mela_KAwA/anurUpa/anukUla
concourse_noun	hala/BIdZa
concrete_adjective	TOsa/mUrwa
concrete_noun	kaMkrIta
concrete_verb	kaMkrIta_se_BaranA
concrete-mixer_noun	sImenta_miSraka
concupiscence_noun	kAmavAsanA
concur_verb	sahamawa_honA
concurrence_noun	samApAwa/sahamawi
concurrent_adjective	samavarwI
concurrently_adverb	sAWa-sAWa
concuss_verb	maswiRkAGAwa_pahuzcanA
concussion_noun	maswiRkAGAwa
condar_noun	xakRiNa_amarIkA_kA_badZA_goXa
condemn_verb	xoRI_TaharAnA/niMxA_karanA/GoRiwa_karanA/BAgya_meM_liKA_honA
condemnable_adjective	ninxanIya
condemnation_noun	niMxA
condensation_noun	xravaNa/saMkRepaNa/saMGanana
condense_verb	xravIkaraNa_honA/saMkRipwa_karanA/gADZA_karanA
condescend_verb	kqpA_xiKAnA/anugraha_karanA
condescending_adjective	vinIwa
condescendingly_adverb	prowsAhaka_DaMga_se
condescension_noun	kqpAluwA
condiment_noun	masAlA
condition_noun	xaSA/upAXi/sWiwi/svAsWya/Sarwa/prawibaMXa/parisWiwi/hAlAwa/BugawAna_Sarwa/bImArI
condition_verb	TIka_karanA/TIka_hAlAwa_meM_lAnA/TIka_hAlawa_meM_honA/praSikRiwa_honA/niSciwa_karanA
conditional_adjective	saprawibaMXI/prawibaMXI
conditionally_adverb	SarwoM_ke_AXAra_para
condom_noun	kaMdoma/garBa_niroXaka_AvaraNa
condominium_noun	saharAjya/kandominiyama
condone_verb	mAPZa_karanA
conducive_adjective	sahAyaka
conduct_noun	praNAlI/AcaraNa
conduct_verb	saMcAliwa_karanA/saMcAlana_karanA/mArgaxarSana_karanA/AcaraNa_karanA
conduction_noun	cAlana
conductive_adjective	cAlakIya
conductivity_noun	cAlakawA
conductor_noun	saMvewa_gAna/vAXAxi_kA_nirxeSaka/kaNdaktara/gArda/cAlaka
conduit_noun	vAhaka
cone_noun	xevaxArU_kA_Pala/saMku/kona
cone_verb	saMku_AkAra_se_GeranA
confectionery_noun	miTAI_kI_xukAna/miRtAna
confederate_noun	sAWI/saha-aparAXI
confederation_noun	saMgaTana
confer_verb	salAha_karanA/praxAna_karanA
conference_noun	sammelana
confess_verb	purohiwa_xvArA_pApoM_ko_snAjAnA/mAnanA/kabUla_karanA/Apane_pApo_ko_prakata_rUpa_meM_svIkAra_karanA
confessedly_adverb	niSciwa_rUpa_se
confession_noun	Xarma-sixXAMwoM_kI_svIkqwi/svIkArokwi/pApa-svIkaraNa/aparAXa-svIkaraNa
confessional_noun	pApa-svIkAra_pITikA
confessor_noun	pApamocaka_guru
confidant_noun	viSvAsapAwra
confide_verb	sOMpanA/bawAnA
confidence_noun	xqDa_viSvAsa/viSvAsa/rAja/BarosA/AwmaviSvAsa
confident_adjective	viSvAsapUrNa/nidara/kaBI_na_cukane_vAlA
confident_noun	viSvAsapAwra
confidential_adjective	gopanIya
confidentiality_noun	gopanIyawA
confidentially_adverb	gupwa_rUpa_se
confiding_adjective	sahaja_rUpa_se_viSvAsI
confidingly_adverb	viSvAsa_prakata_karawe_hue
configuration_noun	samAkqwi/kanPZigareSana
configure_verb	samanurUpa_banAnA
confine_verb	sImIwa_raKanA/kExa_raKanA
confined_adjective	sImiwa
confinement_noun	prasUwi
confines_noun	sImA
confirm_verb	sWAyI_karanA/puRti_karanA/pakkA_karanA/pakkA_IsAI_banAnA/niSciwa_karanA
confirmation_noun	xqDZIkaraNa-saMskAra/sawyApana/puRtIkaraNa
confirmative_adjective	pramANiwa_karane_vAlA
confirmatory_adjective	pramANiwa_karane_vAlA
confirmed_adjective	pakkA
confirming_adjective	pramANiwa_karane_vAlA
confiscate_verb	jZabwa_kara_lenA
confiscation_noun	jZabwI
conflate_verb	milAnA
conflation_noun	sammiSraNa
conflict_noun	xvaMxva/saMGarRa/ladZAI
conflict_verb	mela_na_KAnA
confluence_noun	saMgama
conform_verb	ke_anusAra_calanA/kA_pAlana_karanA
conformable_adjective	anurUpa/anukUla
conformation_noun	racanA/anurUpawA/anupAlana/anukUlawA
conformist_adjective	anusAraka
conformist_noun	anusAraka
conformity_noun	sahamawi/Ekya/anurUpawA/anupAlana/anukUlawA
confound_verb	parAjiwa_karanA/hawabuxXi_kara_xenA/galawa_sAbiwa_karanA
confounded_adjective	bekAra
confoundedly_adverb	hErAnI_se/BOMcakkA_ho_kara
confront_verb	sAmanA_karanA/sAmanA_honA/mukAbalA_karanA/AmanA_sAmanA_karA_xenA
confrontation_noun	sAmanA
confucianism_noun	kanPyUSiyasa_kA_sixXAnwa
confuse_verb	ulaJA_xenA/milAnA/gadZabadZA_xenA/aswa-vyaswa_karanA
confused_adjective	hakkA-bakkA/aspaRta/asaMgawa
confusedly_adverb	saMxigXawaH/saMBramiwa_ho_kara/aspaRtawaH
confusing_adjective	pecIxA/aspaRta
confusingly_adverb	saMxigXawaH/saMBramiwa_karawe_hue/aspaRtawaH
confusion_noun	Brama/BOcakkA/BAnwi/aswavyaswawA
confutable_adjective	KaNdanIya
confutative_adjective	KaNdanIya
congenial_adjective	sOhArxapUrNa/anukUla
congenital_adjective	janmajAwa
congested_adjective	saMkuliwa/BIdZa_BarA
congestion_noun	saMkulawA/saMkulana
conglomerate_noun	saMpiMdana/saMgutikA/miSra_saMgutikASma
conglomeration_noun	saMgutikASmana/saMgutIkaraNaa
congratulate_verb	baXAI_xenA
congratulation_noun	baXAI_sUcaka_vAkya/baXAI
congratulatory_adjective	baXAI_kA
congregate_verb	ekawra_honA
congregation_noun	saBA/ekawrIkaraNa/Bakwa-maMdalI/BakwagaNa
congregational_adjective	sAmuxAyika
congress_noun	sAlAnA_bETaka/prawiniXi_saBA/mahAsammelana/amarIkA_ke_prajAwantroM_kI_rARtrIya_vyavasWApikA_saBA
congressional_adjective	sammelana_saMbaMXI/kaMgresa_saMbaMXI
congressman_noun	amarIkA_ke_rARtrIya_vyavasWApikA_saBA_kA_saxasya
congresswomen_noun	amarIkA_ke_rARtrIya_vyavasWApikA_saBA_kI_saxasyA
congruence_noun	samaSeRawA/sAmaMjasya
congruent_adjective	samaSeRa/samanurUpa
conifer_noun	SaMku_vqkRa
coniferous_adjective	SaMkuXArI
conjectural_adjective	anumAna_para_AXAriwa
conjecture_noun	atakalabAjZI
conjecture_verb	anumAna_lagAnA
conjugal_adjective	vEvAhika
conjugate_verb	saMyugmana_karanA/kriyArUpa_calAnA
conjugation_noun	kriyArUpa_saMyojana
conjugational_adjective	saMyugmana_saMbaMXI/kriyApaxa_ke_rUpa_se_saMbaMXiwa
conjunction_noun	saMyoga/samuccayaboXaka
conjunctivitis_noun	newraSoWa
conjure_verb	jAxU_karanA
conjurer_noun	jAxUgara
conjuring_noun	jAdU_kA_Kela
conjuror_noun	jAxUgara
conk_verb	behoSa_ho_jAnA
connect_verb	telIPona_para_milAnA/satAnA/saMbaMXa_sWApiwa_karanA/saMbaMXa_jodZanA/Pona_para_milAnA/milAnA/laganA/judZA_honA/jodZanA
connecting_adjective	saMyojaka
connecting-rod_noun	saMyojI_SalAkA
connection_noun	saMyojana/saMparka/sambanXa/nAwA/agalI_mela
connective_adjective	jodZane_vAlA
connivance_noun	mOna_sahamawi
connive_verb	gupwa_rUpa_se_sahayoga_xenA/anaxeKI_karanA
conniving_adjective	XUrwa/XoKebAjZa/RadyaMwrakArI
connoisseur_noun	pAraKI
connote_verb	saMkewa_honA
conquer_verb	vijaya_prApwa_kara_lenA/parAswa_karanA/jIwanA
conqueror_noun	vijewAA
conquest_noun	vijiwa-hqxaya_vyakwi/vijaya/jIwa
conscience_noun	viveka/saccAI/aMwaHkaraNa/acCe-bure_kI_samaJa
conscience-stricken_adjective	anwarAwmA_se_prawAdZiwa
conscienceless_adjective	avivekapUrNa
conscientious_adjective	karwavyaniRTa
conscientiously_adverb	niRTApUrvaka/ImAnaxArI_se
conscientiousness_noun	karwavyaniRTA
conscious_adjective	sawarka/sacewa/sABiprAya/jAnabUJa_kara_kiyA_gayA/jAgrawa/jAgarUka/aBijFa
consciousness_noun	jAnakArI/hoSa/cewanA
consciousness-raising_noun	jAgqwi
conscript_noun	jabarana_BarawI_kiyA_gayA_sEnika
conscript_verb	anivArya_BarwI__karanA
conscription_noun	senA_meM_anivArya_BarawI
consecutive_adjective	lagAwAra
consecutively_adverb	kramAnusAra
consensus_noun	mawEkya
consent_noun	svIkqwi/sahamawi
consent_verb	rAjI_honA/anumawi_xenA
consequence_noun	sAmAjika_prawiRTA/pariNAma/nawIjA
consequent_adjective	pariNAmI/pariNAmasvarUpa_hone_vAlA
consequential_adjective	pariNAmasvarUpa_hone_vAlA
consequentially_adverb	pariNAmasvarUpa
consequently_adverb	pariNAmasvarUpa/isake_pariNAma_svarUpa
conservancy_noun	saMrakRaNa_saMsWA
conservation_noun	saMrakRaNa/saMrakRana/prAkqwika_saMrakRaNa/avinASiwA
conservationist_noun	saMrakRaNa_meM_ruci_raKane_vAlA
conservatism_noun	rUDZivAxa
conservative_adjective	xakiyAnUsI/sawarka/rUDZivAxI/britena_kA_rAjanIwika_xala/anuxAravAxI
conservatively_adverb	xakiyAnUsI_DaMga_se
consider_verb	XyAna_raKanA/vicAra-vimarSa_karanA/vicAra_karanA/socanA/samaJanA/mAnanA/gZOra_karanA/gOra_karanA
considerable_adjective	mahawvapUrNa/bahuwa
considerably_adverb	awyAXika
considerate_adjective	xUsaroM_kA_XyAna_raKane_vAlA
considerately_adverb	XyAna_raKawe_hue
consideration_noun	XyAna/vicAra/muAvajA/kAraNa
considered_adjective	suviveciwa/suvicAriwa
considering_adverb	yaha_xeKawe_hue
consign_verb	sOMpa_xenA/havAle_kara_xenA/BejanA
consignment_noun	mAla_preRaNa/mAla/BejA_gayA_mAla
consist_verb	SAmila_honA/honA/banA_honA/anusAra_honA
consistency_noun	saMgawawA/saMGanawA
consistent_adjective	eka_sA/atala/anurUpa
consistently_adverb	lagAwAra
consolation_noun	wasallI/sAMxvanA
consolatory_adjective	sAMwvanApraxa
console_noun	xIvAragIra/SoBAkoRTaka/kansAla/DAzcA
console_verb	sAnwvanAenA
consolidate_verb	mila_jAnA/majabUwa_banAnA
consolidation_noun	xqDZIkaraNa
consonant_adjective	surIlA/maXUra/anurUpa/anukUla
consonant_noun	vyaMjana/sama-svara/eka_Xvani/eka_svara/akRara
consort_verb	sAWa_jAnA/mela_KAnA
consortium_noun	saMGa
conspicuous_noun	viSiRta
conspicuously_adverb	suspaRta_rUpa_se/praXAna_rUpa_se
conspicuousness_noun	spaRtawAI
conspiracy_noun	RadyaMwra
conspirator_noun	RadyaMwrakArI
conspiratorial_adjective	Radyamwra_saMbaMXI/RadyaMwrapUrNa
conspiratorially_adverb	RadyaMwrapUrNa_DaMga_se
conspire_verb	sammiliwa_ho_kara_kAma_karanA/RadyaMwra_karanA
constable_noun	kaMstebala
constabulary_noun	pulisa
