#TODO ::	Hindi meaning spellings need to be checked
#Giving category as 'UNKNOWN' for the words whose category is not known
#######################################################################
#Eng-wrd_Category	IIT-Bombay/Shabdanjali meaning
########################################################################
A_noun	e
Assoc_noun	saMGa/sahAyaka
Athens_noun	eWeMsa
Atlantic_adjective	etalAMtikIya
Atlantic_noun	etalAMtika
Attorney-General_noun	mahAnyAyavAxI
Aug_noun	agaswa
August_noun	agaswa
Aussie_adjective	oYstreliyAI
Aussie_noun	oYstreliyAI
Australia_noun	oYstreliyA
Australian_adjective	oYstreliyAI
Australian_noun	oYstreliyAI
Austria_noun	oYstriyA
Autocue_noun	xUra_anuboXaka/BARaNa-saMkewana
Av_noun	oYva
Ave_noun	mArgaa
Averroes_noun	averoIjZa
Avestan_noun	aveswI
Avicenna_noun	EvisinA
Azaan_noun	ajZAna/ajAna
B-road_noun	gONa-mArga
B.Ed_noun	bI_eda
B.Sc_noun	bI.esa_sI
BA_noun	kalA-snAwaka/bI_e
BASIC_ACRONYM	besika
BASIC_noun	besika
BBC_noun	bI_bI_sI
BC_noun	IsA_pUrva/I.pU.U
BIN_noun	bina
BRC_noun	bI_Ara_sII/bI_Ara_sI
BS_noun	bI_esa
BSE_noun	bI_esa_I
BSI_noun	bI_esa_AI
BST_noun	bI_esa_tI
BTS_noun	bI_tI_esaa
Ba_noun	bI_e
Babygro_noun	bebIgro
Bakelite_noun	bEkalAita
Baldwin_noun	bAldavina
Bali_noun	bAlI
Band-aid_noun	cepaxAra_pattI
Baptist_noun	bapawismA-xAwAA
Barcelona_noun	bArsilonA
Bart_noun	upasAmaMw
Beaumont_noun	bomOMta
Belarus_noun	belarUsa
Belarusian_noun	belorUs
Belgium_noun	beljiyama
Belorussia_noun	beloraSiyA
Belorussian_noun	belorUsI
Berlin_noun	barlina
Besos_noun	besasa
Bhutan_noun	BUtAna
Bible-bashing_noun	IsAI_mawa_kA_jZabaraxaswI_pracAra
Birmingham_noun	baramiMGama
Black_adjective	kAlA
Blackpool_noun	blEkapUla
Blake_noun	bleka
Bligh_noun	blAI
Bodhi_noun	boXi
Bodhivriksha_noun	boXivqkRa
Boer_noun	boara
Bolshevik_adjective	sAmyavAxa-saMbaMXI
Bolshevik_noun	krAMwikArI_sAmyavAxI
Bolshevism_noun	sAmyavAxa
Bosnia_noun	bosniA
Bradford_noun	brEdaPZorda
Brahmanadi_noun	brahmanaxI
Brandt_noun	brAMta
Brasil_noun	brAjZIla
Brazil_noun	brAjZIla
Brighton_noun	britana
Bristol_noun	bristala
Britain_noun	britena
British_adjective	britena_kA/AMgla_xeSIya
British_noun	britene_vAsI/aMgrejZI
Britisher_noun	britenavAsI
Briton_noun	britenavAsI
Brussels_noun	brUselsa
Buddha_noun	buxXa
Bull_noun	vqRa_rASi_meM_janmA_vyakwi/vqRa_rASi
Burgundy_noun	baragaMdI
Burma_noun	barmA
Burroughs_noun	barojZa
Burundi_adjective	buruMdI_kA
Burundi_noun	buruMdI
Burundian_adjective	buruMdI_kA
Bushman_noun	oYstreliyAI_buSamEna/buSamEna
Byelarus_noun	bAilarUsa
Byelorussia_noun	bAiloraSiyA
Byelorussian_noun	bAilorUsI/bAilorUs
Byzantine_adjective	pecIxA/bAijZEMtInI/bAijZeMtAina
C_noun	C
C-section_noun	SalyakriyAwmaka_prasava
CA_noun	kEliPZorniyA
CBE_noun	sI_bI_I
CBI_noun	sI_bI_AI
CBS_noun	sI_bI_esa
CD_noun	sI_dII/sI_dI
CD-ROM_noun	sI_dI-rOm
CFC_noun	sI_ePZa_sI
CIA_noun	sI_AI_e
CID_noun	sI_AI_dI
COM_noun	COM
CONDIR_noun	kandIra
CPCJ_noun	sI_pI_sI_je
CRO_noun	xolana-xarSI
CV_noun	SEkRika_evaM_kAryAnuBava_sAr
CXX_noun	eka_sO_bIsa
Caesarism_noun	wAnASAhI/niraMkuSawA/ekawaMwra
Calif._noun	kEliPZorniyA
California_noun	kEliPZorniyA
Calvinism_noun	kElvinavAxa
Calvinist_noun	kElvinavAxI
Calvinistic_adjective	kElvinavAxa_saMbaMXI/bahuwa_saKwa
Cambridge_noun	keMbrija
Cameroon_noun	kEmarUna
Cameroun_noun	kEmarUna
Canada_noun	kanAdA
Canadian_adjective	kanAdA_saMbaMXI/kanAdA_kA
Canadian_noun	kEnediyana/kanAdA_vAsI
Canella-alba_noun	kEnelA_albA
Canterbury_noun	kEMtarabarI
Capricorn_noun	makara_rASi_meM_uwpanna_vyakwi/makara_rASi/makararASi/makarAkAra_rASicakrIya_wArAmaNdala/makara
Caribbean_noun	kEribiyana
Carmelite_noun	romana_kEWolika_wapasvI/kArmelAita_sAXu
Catalan_adjective	kEtaloniyAI
Catalonia_noun	kEtaloniyA
Caucasian_adjective	saPZexa_nasla_kA
Caucasian_noun	kAkeSasI
Caxton_noun	kEksatana
Cd_noun	sI_dI/kEdmiyama
Cdr_noun	kamAMdara
Celt_noun	keltaBARI/kelta
Celtic_adjective	kelta_jAwi_se_saMbaMXiwa
Celtic_noun	kelta_BARA
Cervantes_noun	serventIjZa
Chablis_noun	SEblI
Chang_noun	cAMga
Changjiang_noun	cAMgajyAMga
Chaos_noun	keoYsa
Cheddar_noun	cedara_panIra
Cheshire_noun	ceSara_panIra/ceSara
Chester_noun	cestara
Chicago_noun	SikAgo
China_noun	cIna
Chinese_adjective	cInI/cIna_saMbaMXI
Chinese_noun	cInI_BARA/cInI
Chinese-red_adjective	siMxUrI_raMga_kA
Christ_noun	IsA_masIha/IsA
Christianity_noun	IsAIyawaa/IsAI_Xarmaa/IsAI_Xarma/IsAI_viSeRawAA
Christmassy_adjective	krisamasa_jEsA
Christmastide_noun	krisamasa-kAla
Christmastime_noun	krisamasa-kAla
Churchill_noun	carcila
Clark_noun	klArka
Classics_noun	grIka-romaIya_BARA-sAhiwya_kA_aXyayana
Cleveland_noun	klIvalEMda
Clinton_noun	kliMtana
Co_noun	sI_o
Coca-Cola_noun	kokA-kolA
Collins_noun	kaliMjZa
Commons_noun	lokasaBA
Commonwealth_noun	rARtramaMdala
Conservatism_noun	anuxAravAxa
Conservative_noun	anuxAravAxI
Cornish_adjective	kArnavala_saMbaMXI
Cornish_noun	karniSa_BARA
Cornwall_noun	karnavala
Council_noun	pariRaxa/pariRax
Covenant_noun	ISvara_Ora_mAnava_ke_bIca_kA_samaJOwA
Coventry_noun	koveMtrI
Craigie_noun	kregI
Crookes_noun	kruksa
Crotonbug_noun	krotanabaga
Crown-prince_noun	yuvarAja
Crown-princess_noun	yuvarAjFI
Cuba_noun	kyUbA
Curtain-raiser_noun	nAtakIya_praswuwi
Czechoslovakia_noun	cekoslovAkiA
D_noun	dI
DA_noun	jZilA_aXivakwA
DC_noun	dI_sI
DES_noun	dI_I_esa_a
DNA_noun	dI_ena_e
DOS_noun	dasa
DVD_noun	dI_vI_dI
Dacron_noun	dEkarana
Dafla_noun	dapZalA
Dane_noun	denmArka_vAsI
Danish_adjective	denmArka_k
Danish_noun	deniSa_pestrI
Darlington_noun	dArliMgatana
Darwin_noun	dArvina
December_noun	xisambara
Deliverer_noun	uxXArakarwA/mukwixAwA
Dem_noun	lokawaMwravAxI
Denmark_noun	denmArka
Derby_noun	dArbI_
Deutschmark_noun	jarmanI_kI_muxrA
Devon_noun	dIvOna
Dewar_noun	dyUara
Dickensian_adjective	dikansa_ke_upanyAsoM_jesA
Dipper_noun	sapwarRi
Discomfort_noun	asuviXA
Disney_noun	dijZnI
Disneyland_noun	dijZnIlENda
Dissenter_noun	BinnamawAvalaMbI
DoT_noun	parivahana_viBAga
Dominican_adjective	saMwa_daminika_se_saMbaMXiwa/daminika_kA
Dominican_noun	daminikI
Dominion_noun	svawaMwra-upaniveSa
Druid_noun	purohiwa
Dublin_noun	dablina
Dumpster_noun	tokarA
Durham_noun	darahamaa
Dutch_adjective	hAlEMda_kA/daca_saMbaMXI
Dutch_noun	daca_nivAsI/daca_BARA/daca
E_noun	aMgrejI_varNamAlA_kA_pAzcavA_akRara
E-number_noun	I-nambara
ECG_noun	I_sI_jI
ECOSOC_noun	ikosaka/Ikosak
EU_noun	yUropIya_saMGa
Easter_noun	Istara/Istara{IsA_masIha_ke_punaruwWAna_xina}
Eau-de-Cologne_noun	kolona_kA_iwra
Edinburgh_noun	edinabarA
Egypt_noun	misra/ijipta
Egyptian_adjective	misra_saMbaMXI
Egyptian_noun	misrI_BARA/misra_vAsI
Elizabethan_adjective	elijZAbeWa-yugIna/elijZabeWa_kA
Elizabethan_noun	elijZAbeWa-kAla_meM_janmA_vyakwi/rAnI_elijabeWa_kAla_ke_vyakwi
Emerita_adjective	avakASaprApwa
Endesa_noun	eMdesA
England_noun	iMglEMda
English_adjective	aMgrejI/aMgreja_kA
English_noun	aMgrejI_BARA/aMgrejIa/aMgreja
English-Gothic_noun	aMgrejZI-gaWika_Silpa
Englishman_noun	aMgarejZa
Englishwoman_noun	aMgarejZa_mahilA
Entry-phone_noun	kisI_imArawa_ke_praveSa_xvAra_para_lagA_xUraBARa
Epicurean_adjective	epikyurasa_saMbaMXI
Epistle_noun	Xarmapawra
Er_noun	ara
Eskimo_noun	eskimo
Espana_noun	spena
Essex_noun	esEksa
Esthonia_noun	estoniyA
Estonia_noun	estoniyA
Ethiopia_noun	iWiyopiyA
Euro_adjective	yUro
Euro-election_noun	yUropIyana_pArliameMta-saxasya_cunAva/yUropIya_saMsaxa_kA_cunAva
