Gita	gIwA
Amravati	amarAvawI
Amreli	amarelI
Amrita	amqwA
Amrit	amqwa
Amritraj	amqwarAja
Amritsar	amqwasara
Amshula	amSulA
Amulya	amulyA
Anaam	anAma
Anamika	anAmikA
Anand	AnaMxa
Anandita	AnaMxiwA
Anantapur	anaMwapura
Anantnaag	anaMwanAga
Anantram	ananwarama
Ananya	ananyA
Anarghya	anArGyA
ANAS	anasa
ANASS	anAsa
Anchal	aMcala
Anchita	anciwA
Andaaz	aMxAjZa
Andolan	Anxolana
Andorra	andorrA
Aneja	anejA
Angaar	aMgAra
Angaaray	aMgAre
Angada	anagaxA
Angola	aMgolA
Angom	angoma
Angomjambam	angomajambAma
Angoor	aMgUra
Angrakshak	aMgarakRaka
Angul	aMgula
Angulimaal	aMgulimAla
Anhonee	anahonI
A.N.I.	E._ena._AI.
ANI	EenaAI
Anil	anila
Anirudhha	aniruXhA
Anisha	aniRA
Anish	aniSa
Anita	anIwA
Anjaam	aMjAma
Anjaan	anajAna
Anjaane	anajAne
Anjali	aMjali
Anju	aMjU
Ankahee	anakahI
Ankita	aMkiwA
Ankit	aMkiwa
Anklesvar	aMkaleSvara
Ankur	aMkura
Ankush	aMkuSa
Anmol	anamola
Anna	annA
Annadata	annaxAwA
Annarth	annArWa
Anoop	anUpa
Anpadh	anapaDZa
Ansari	aMsArI
Ansh	aMSa
Anshul	aMSula
Anshuman	aMSumana
Anth	aMwa
Anthony	eMWonI
Anto	ento
Antony	aMtonI
Anu	anu
Anubhav	anuBava
Anupama	anupamA
Anupam	anupama
anuppur	anupapura
Anuppur	anupapura
Anuppur	anUpapura
Anuprabha	anupraBA
Anupriya	anupriyA
Anuradha	anurAXA
Anurag	anurAga
Anuragini	anurAginI
Anurati	anurawi
Anurodh	anuroXa
Anusha	anuRA
Anushri	anuSrI
Anvekar	anvekara
Anwar	anavara
ANWAR	anavara
ANWER	anvera
ANZ	EenajI
ANZ	E._ena._jI.
Apaharan	apaharaNa
Apala	apAlA
Aparajita	aparAjiwA
Aparichit	apariciwa
Aparna	aparNA
A.P.J.	E._pI._je.
APJ	EpIje
Apmaan	apamAna
Apnapan	apanApana
Apne	apane
Apoorva	apUrva
Apradh	aparAXa
Apradhi	aparAXI
Apte	apwe
Ara	ara
Aradhana	ArAXanA
A.Raja	e._rajA
Arakkonam	arAkkonama
Arambam	arambama
Arati	ArawI
Archana	arcanA
Archisha	arciRA
Archita	arciwA
Arcot	arakota
Argentina	arjeMtInA
Aribam	aribama
Arifwala	ariPavAlA
Arihan	arihana
Arjun	arjuna
Arlab	arlaba
Armaan	aramAna
Armenia	ArmeniyA
Army	ArmI
Arnav	arnava
Arondekar	aroMxekara
Arora	arorA
Arpan	arpaNa
Arrah	arrAha
Arsikere	arasIkere
Arte	arwe
Arth	arWa
Arubam	arubama
Aruna	aruNA
Arun	aruNa
Arunima	aruNimA
Aruppukkottai	aruppukkowwaI
Arvankadu	arvanakadU
Arvind	aravinxa
Aryan	Aryana
Arzoo	ArajU
Asaan	asAna
AS'AD	aSaxa
Asambhahav	asaMBava
Asansol	Asanasola
Aseem	asIma
Aseen	asina
Asem	asema
Asha	ASA
Ashak	aSka
Ashakiran	aSakiraNa
Ashalata	ASAlawA
Ashanti	aSAMwi
Ashavari	ASAvarI
Asher	ESera
Ash	eSa
Ashok	aSoka
Ashruful	aSruPula
Ashtamichira	aSwAmIcirA
Ashvin	aSvina
Ashwarya	eSvaryA
Ashwatthama	aSvawWAmA
Ashwini	aSvinI
A.S.I.	e._esa._Ai.
ASI	eesaAi
Asif	AsiPa
Asoka	aSokA
Asrani	asarAnI
Asthana	asWAnA
Astitva	aswiwva
Athani	aWAnI
Athawale	aTAvale
Athokpam	aWokpama
Atishbaz	AwiSabAjZa
Atmajyoti	Awmajyowi
A.T.M.	e._tI._ema.
ATM	etIema
Atom	atoma
Attari	atArI
Attock	BalavAla
Atul	awula
Atulya	awulya
Aulad	OlAxa
Aurangabad	OraMgAbAxa
Australia	oYstreliyA
Austria	oYstriyA
Auzaar	OjZAra
Avani	avanI
Avanindra	avanIMxra
Avanish	avanISa
Avantika	avaMwikA
Avchat	avacata
Avinash	avinASa
Avishkaar	AviRkAra
A.V.M.	E._vI._ema.
AVM	EvIema
Avneet	avanIwa
Avtaar	avawAra
Awaam	avAma
Awaargi	AvAragI
Awaaz	AvAjZa
Awarapan	avArApana
Awasthi	avasWI
Ayaar	ayAra
Ayekpam	ayekpama
Ayodya	ayoXyA
AZAAD	AjZAxa
Azamgarh	AjamagaDZa
Azamgarh	AjZamagaDZa
Azerbaijan	ajZarabaIjAna
Azharuddin	ajaharuxxIna
Azimganj	ajZImagaMja
AZIZ	ajZIjZa
Baabarr	bAbarra
Baabul	bAbula
Baadshah	bAxaSAha
Baag	bAgZa
Baawri	bAvarI
Baazi	bAjZI
Baazigar	bAjZIgara
Babar	bAbara
Babarpur	bAbarapura
Babbar	babbara
Babina	babInA
Bablu	babalU
Babu	bAbu
Baby	bebI
Bachchan	baccana
Badal	bAxala
Badam	baxAma
Badanikai	baxAnikaI
Badaputia	baxaputiyA
Badarpur	baxarapura
Badatasia	baxAwAsiyA
Badli	
Badmaash	baxamASa
Badnayak	baxanAyaka
Badnera	baxanerA
Badni	baxanI
Badrinath	baxrInAWa
Badriprasad	baxrIprasAxa
Badtameez	baxawamIjZa
Bagaha	bAgAhA
Bagawe	bagAve
Bag	bAga
Bagchi	bAgacI
Bagderia	bagaxeriyA
Bageshri	bAgeSrI
Bagga	baggA
Baghawat	bagZAvawa
Bagh	bAGa
Baghban	bAgavAna
Bagri	bAgarI
bagyashree	BAgyaSrI
Bahaana	bahAnA
BAHA	bahA
Bahadur	bahAxura
