lAgU_kara	lAgU_kara
lAgU_kara	lAgU
niyukwa_kara	niyukwa
niyawa_kara	niyawa
saMviBAjiwa_kara	saMviBAjiwa
_sAmanA_karanA,_mukAbalA_kara	_sAmanA_karanA,_mukAbalA
mUlyAMkana_kara	mUlyAMkana
giraPwAra_kara	giraPwAra
sUciwa_kara	sUciwa
anumoxana_kara	anumoxana
pasanxa_kara	pasanxa
maXyasWawA_karanA/paMca_PEsalA_xenA/nirNaya_kara	maXyasWawA_karanA/paMca_PEsalA_xenA/nirNaya
bahasa_kara	bahasa
pramANiwa_kara	pramANiwa
Saswra_yukwa_kara	Saswra_yukwa
haWiyAralesa_kara	haWiyAralesa
kuCa_nahIM_karawe_hue	kuCa_nahIM_karawe_hue
GUma_kara	GUma_kara
uwwejiwa_kara	uwwejiwa
prabanXa_kara	prabanXa
giraPwAra_karanA/pakadZa	giraPwAra_karanA/pakadZanA
AkarRiwa_kara	AkarRiwa
jAzca_kara_pawA_lagA	jAzca_kara_pawA_lagAnA
AropaNa_kara	AropaNa
raxxa_kara	raxxa
ha'XvanI_se_uccAraNa_kara	ha'XvanI_se_uccAraNa
hawyA_kara	hawyA
hamalA_karanA/AkramaNa_kara	hamalA_karanA/AkramaNa
paraKa_kara	paraKa
ekawriwa_kara	ekawriwa_kara
ikatTA_kara	ikatTA
Azkalana_karanevAlA	Azkalana_karanevAlA
niSciwa_kara	niSciwa
niyukwa_kara	niyukwa
AwmasAwa_kara	AwmasAwa
sahAyawA_karanA/maxaxa_kara	sahAyawA_karanA/maxaxa
SAnwa_kara	SAnwa
kalpanA_karanA/mAna_le	kalpanA_karanA/mAna_lenA
rUpa_XAraNa_kara	rUpa_XAraNa
kalpanA_kara_le	kalpanA_kara_lenA
aMgIkAra_kara	aMgIkAra
cakiwa_kara	cakiwa
cakiwa_kara	cakiwa
anwarikRa_yAna_me_prayANa_karane_vAlA	anwarikRa_yAna_me_prayANa_karane_vAlA
prAyaSciwa_kara	prAyaSciwa
nawWI_kara	nawWI
kurka_kara	kurka
XAvA_kara	XAvA
AkramaNa_kara	AkramaNa
prApwa_kara	prApwa
prayAsa_kara	prayAsa
sevA_kara	sevA
kama_kara	kama
haswAkRara_kara	haswAkRara
AkarRiwa_kara	AkarRiwa
nIlAma_kara	nIlAma
nIlAma_karane_vAlA	nIlAma_karane_vAlA
pramANiwa_kara	pramANiwa
racanA_kara	racanA
vAxA_kara	vAxA
vismayapUrNa_Axara_uwpanna_kara	vismayapUrNa_Axara_uwpanna
kAta	kAta
buxabuxAnA_karanevAlA	buxabuxAnA_karanevAlA
ke_sAWa_bacce_jEsA_vyavahAra_kara	ke_sAWa_bacce_jEsA_vyavahAra
bacce_kI_xeKaBAla_kara	bacce_kI_xeKaBAla
bacce_kI_xeKaBAla_karanevAlA	bacce_kI_xeKaBAla_karanevAlA
pITa_pICe_niMxA_kara	pITa_pICe_niMxA
palata_kara_javAba_xe	palata_kara_javAba_xenA
XamAkexAra_AGAwa_kara	XamAkexAra_AGAwa
kisI_kI_ArWika_sahAyawA_kara	kisI_kI_ArWika_sahAyawA
xillagI_kara	xillagI
argalA_se_baMxa_kara	argalA_se_baMxa
prawibaMXiwa_kara	prawibaMXiwa
ko_CodZa_kara	ko_CodZa_kara
nirvaswra_kara	nirvaswra
prakata_kara	prakata
mola-BAva_kara	mola-BAva
vaswu-vinimaya_kara	vaswu-vinimaya
AXAriwa_kara	AXAriwa
XUpa_mez_garama_karanA_yA_sezka	XUpa_mez_garama_karanA_yA_sezkanA
ballebAjZI_kara	ballebAjZI
benata_se_vAra_kara	benata_se_vAra
XAraNa_kara	XAraNa
barxASwa_kara	barxASwa
vahana_kara	vahana
vAra_kara	vAra
kadZI_mehanawa_kara	kadZI_mehanawa
saMkewa_kara	saMkewa
saMBoga_kara	saMBoga
AvAjZa_kara	AvAjZa
xoswI_kara	xoswI
yAcanA_kara	yAcanA_kara
prArWanA_kara	prArWanA
uwpanna_kara	uwpanna
kaMgAla_kara_xe	kaMgAla_kara_xenA
prAramBa_kara	prAramBa
prAramBa_karane_vAlA	prAramBa_karane_vAlA
xene_meM_saMkoca_kara	xene_meM_saMkoca
kisI_ko_KuSa_kara	kisI_ko_KuSa
